Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,AEHL,AEHL,AEHL,AEHL,AEHL,,
Date,,,,,,,
2007-12-17,1932.7984619140625,1932.7984619140625,1932.7984619140625,1932.7984619140625,314,AEHL,115
2007-12-18,1922.060791015625,1932.798560797835,1922.060791015625,1932.798560797835,1,AEHL,115
2007-12-19,1930.6513671875,1932.7988340633638,1930.6513671875,1932.7988340633638,314,AEHL,115
2007-12-20,1930.6513671875,1930.6513671875,1930.6513671875,1930.6513671875,0,AEHL,115
2007-12-21,1922.060791015625,1922.060791015625,1922.060791015625,1922.060791015625,4,AEHL,115
2007-12-24,1922.060791015625,1922.060791015625,1922.060791015625,1922.060791015625,0,AEHL,115
2007-12-26,1922.060791015625,1922.060791015625,1922.060791015625,1922.060791015625,0,AEHL,115
2007-12-27,1922.060791015625,1922.060791015625,1922.060791015625,1922.060791015625,0,AEHL,115
2007-12-28,1900.5853271484375,1911.3230973583156,1883.4049385047313,1911.3230973583156,7,AEHL,115
2007-12-31,1904.8804931640625,1904.8804931640625,1900.5853413559048,1900.5853413559048,19,AEHL,115
2008-01-02,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,63,AEHL,115
2008-01-03,1904.8804931640625,1911.3231116460513,1904.8804931640625,1911.3231116460513,5587,AEHL,115
2008-01-04,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-07,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-08,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,10,AEHL,115
2008-01-09,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-10,1909.1756591796875,1911.3231258694993,1909.1756591796875,1909.1756591796875,571,AEHL,115
2008-01-11,1909.1756591796875,1909.1756591796875,1909.1756591796875,1909.1756591796875,0,AEHL,115
2008-01-14,1911.3232421875,1915.6183942890123,1909.1757753669992,1911.3232421875,21,AEHL,115
2008-01-15,1922.060791015625,1922.060791015625,1922.060791015625,1922.060791015625,0,AEHL,115
2008-01-16,1932.7984619140625,1932.7984619140625,1924.208159143588,1924.208159143588,1272,AEHL,115
2008-01-17,1932.7984619140625,1932.7984619140625,1932.7984619140625,1932.7984619140625,0,AEHL,115
2008-01-18,1943.536376953125,1943.536376953125,1943.536376953125,1943.536376953125,0,AEHL,115
2008-01-22,1943.536376953125,1943.536376953125,1943.536376953125,1943.536376953125,0,AEHL,115
2008-01-23,1924.208251953125,1924.208251953125,1922.0607853871659,1922.0607853871659,15,AEHL,115
2008-01-24,1904.8804931640625,1924.2083486100285,1904.8804931640625,1924.2083486100285,5,AEHL,115
2008-01-25,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-28,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-29,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-30,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-01-31,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-02-01,1904.8804931640625,1904.8804931640625,1904.8804931640625,1904.8804931640625,0,AEHL,115
2008-02-04,1911.3232421875,1954.2743262816011,1911.3232421875,1954.2743262816011,24,AEHL,115
2008-02-05,1907.028076171875,1907.028076171875,1907.028076171875,1907.028076171875,0,AEHL,115
2008-02-06,1913.4705810546875,1915.6182661920839,1913.4705810546875,1915.6182661920839,4,AEHL,115
2008-02-07,1947.8316650390625,1947.8316650390625,1911.3232006601936,1922.0609714504194,95,AEHL,115
2008-02-08,1937.0938720703125,1937.0938720703125,1911.3231787767277,1911.3231787767277,1,AEHL,115
2008-02-11,1932.7984619140625,1932.7984619140625,1930.650995451681,1930.650995451681,13,AEHL,115
2008-02-12,1932.7984619140625,1932.7984619140625,1932.7984619140625,1932.7984619140625,0,AEHL,115
2008-02-13,1932.7984619140625,1932.7984619140625,1932.7984619140625,1932.7984619140625,0,AEHL,115
2008-02-14,1932.7984619140625,1954.2740003797742,1932.7984619140625,1954.2740003797742,9,AEHL,115
2008-02-15,1932.7984619140625,1932.7984619140625,1930.650995451681,1932.7984619140625,398,AEHL,115
2008-02-19,1932.7984619140625,1932.7984619140625,1932.7984619140625,1932.7984619140625,0,AEHL,115
