Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,ALZN,ALZN,ALZN,ALZN,ALZN,,
Date,,,,,,,
2021-06-15,2025.0,5032.5,1650.0,4350.0,34181,ALZN,264
2021-06-16,1552.5,1918.5,1482.0,1918.5,8281,ALZN,264
2021-06-17,1513.5,1795.5,1471.5,1656.0,3531,ALZN,264
2021-06-18,1354.5,1570.5,1291.5,1498.5,2628,ALZN,264
2021-06-21,1218.0,1378.5,1126.5,1378.5,2681,ALZN,264
2021-06-22,1260.0,1327.5,1059.0,1218.0,7041,ALZN,264
2021-06-23,1341.0,1422.0,1257.0,1350.0,10199,ALZN,264
2021-06-24,1239.0,1354.5,1207.5,1260.0,3001,ALZN,264
2021-06-25,1290.0,1408.5,1239.0,1255.5,7431,ALZN,264
2021-06-28,1440.0,1821.0,1311.0,1357.5,35959,ALZN,264
2021-06-29,1659.0,1704.0,1363.5,1408.5,39379,ALZN,264
2021-06-30,1311.0,1819.5,1290.0,1600.5,90105,ALZN,264
2021-07-01,1152.0,1387.5,1129.5,1380.75,18162,ALZN,264
2021-07-02,1092.0,1170.0,1021.5,1080.0,7281,ALZN,264
2021-07-06,1045.5,1119.0,1036.5,1110.0,5626,ALZN,264
2021-07-07,975.0,1065.0,843.1500244140625,1044.0,11251,ALZN,264
2021-07-08,942.0,967.5,886.5,909.0,6381,ALZN,264
2021-07-09,919.5,1011.0,912.2999877929688,931.5,8221,ALZN,264
2021-07-12,916.5,961.5,867.0,937.5,2902,ALZN,264
2021-07-13,930.0,999.0,900.0,906.0,9063,ALZN,264
2021-07-14,961.5,1073.4000244140625,870.0,930.0,17606,ALZN,264
2021-07-15,1047.0,1075.5,915.0,967.5,25953,ALZN,264
2021-07-16,925.5,1030.5,919.5,994.5,16001,ALZN,264
2021-07-19,790.5,895.5,727.5,895.5,13261,ALZN,264
2021-07-20,787.5,819.0,760.5,787.5,6626,ALZN,264
2021-07-21,829.5,858.0,780.0,786.0,10415,ALZN,264
2021-07-22,861.0,997.5,834.0,894.0,30275,ALZN,264
2021-07-23,859.5,1242.0,844.5,1221.0,187903,ALZN,264
2021-07-26,736.5,793.5,730.5,792.0,14993,ALZN,264
2021-07-27,663.0,726.0,645.0,720.0,10173,ALZN,264
2021-07-28,783.0,1011.0,649.5,663.0,73134,ALZN,264
2021-07-29,699.0,785.7000122070312,690.0,762.0,16115,ALZN,264
2021-07-30,663.75,729.0,660.0,690.0,7635,ALZN,264
2021-08-02,670.5,726.0,667.5,684.0,9389,ALZN,264
2021-08-03,645.0,682.3499755859375,640.5,681.9000244140625,6069,ALZN,264
2021-08-04,652.5,681.0,631.5,667.5,7324,ALZN,264
2021-08-05,633.0,651.0,627.1500244140625,643.5,3831,ALZN,264
2021-08-06,624.0,640.5,591.0,634.5,5577,ALZN,264
2021-08-09,606.0,628.5,603.0,621.0,2890,ALZN,264
2021-08-10,610.5,649.5,591.0,615.0,7163,ALZN,264
