Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,AVNW,AVNW,AVNW,AVNW,AVNW,,
Date,,,,,,,
1987-05-19,48.0,49.5,48.0,0.0,235600,AVNW,536
1987-05-20,52.5,53.25,52.5,0.0,37633,AVNW,536
1987-05-21,53.25,54.75,53.25,0.0,22067,AVNW,536
1987-05-22,57.0,58.5,57.0,0.0,57567,AVNW,536
1987-05-26,61.5,63.0,61.5,0.0,45333,AVNW,536
1987-05-27,62.25,63.0,62.25,0.0,62133,AVNW,536
1987-05-28,62.25,63.0,62.25,0.0,27800,AVNW,536
1987-05-29,62.25,63.0,62.25,0.0,34300,AVNW,536
1987-06-01,54.75,56.25,54.75,0.0,23867,AVNW,536
1987-06-02,59.25,59.25,54.75,0.0,14100,AVNW,536
1987-06-03,56.25,59.25,56.25,0.0,13600,AVNW,536
1987-06-04,54.0,57.0,53.25,0.0,23133,AVNW,536
1987-06-05,56.25,56.25,53.25,0.0,10867,AVNW,536
1987-06-08,57.0,57.75,54.75,0.0,16533,AVNW,536
1987-06-09,59.25,59.25,57.75,0.0,6967,AVNW,536
1987-06-10,57.75,59.25,57.0,0.0,11200,AVNW,536
1987-06-11,57.0,57.75,56.25,0.0,5400,AVNW,536
1987-06-12,57.0,57.75,56.25,0.0,5933,AVNW,536
1987-06-15,56.25,57.75,56.25,0.0,4633,AVNW,536
1987-06-16,56.25,57.0,56.25,0.0,3367,AVNW,536
1987-06-17,56.25,57.75,56.25,0.0,2833,AVNW,536
1987-06-18,56.25,57.0,56.25,0.0,3467,AVNW,536
1987-06-19,56.25,57.75,56.25,0.0,2333,AVNW,536
1987-06-22,54.75,57.0,54.75,0.0,8133,AVNW,536
1987-06-23,54.0,56.25,53.25,0.0,16300,AVNW,536
1987-06-24,54.0,54.75,54.0,0.0,3867,AVNW,536
1987-06-25,54.0,54.75,54.0,0.0,2267,AVNW,536
1987-06-26,54.75,54.75,54.0,0.0,4600,AVNW,536
1987-06-29,54.0,54.75,54.0,0.0,10533,AVNW,536
1987-06-30,54.0,54.75,54.0,0.0,7167,AVNW,536
1987-07-01,54.0,54.75,54.0,0.0,2467,AVNW,536
1987-07-02,54.75,54.75,54.0,0.0,2867,AVNW,536
1987-07-06,54.75,54.75,54.0,0.0,1900,AVNW,536
1987-07-07,54.0,54.75,54.0,0.0,1833,AVNW,536
1987-07-08,53.25,54.75,53.25,0.0,4667,AVNW,536
1987-07-09,52.5,53.25,52.5,0.0,7933,AVNW,536
1987-07-10,50.25,52.5,50.25,0.0,15233,AVNW,536
1987-07-13,50.25,51.75,50.25,0.0,5967,AVNW,536
1987-07-14,53.25,53.25,50.25,0.0,3767,AVNW,536
1987-07-15,53.25,54.75,52.5,0.0,7867,AVNW,536
1987-07-16,54.75,54.75,54.0,0.0,867,AVNW,536
1987-07-17,55.5,55.5,54.75,0.0,1033,AVNW,536
1987-07-20,55.5,55.5,54.0,0.0,800,AVNW,536
1987-07-21,54.0,55.5,54.0,0.0,3900,AVNW,536
1987-07-22,54.0,54.75,54.0,0.0,467,AVNW,536
1987-07-23,53.25,54.75,53.25,0.0,1600,AVNW,536
1987-07-24,52.5,53.25,51.0,0.0,2800,AVNW,536
1987-07-27,51.0,51.75,51.0,0.0,1333,AVNW,536
1987-07-28,50.25,51.75,50.25,0.0,19467,AVNW,536
1987-07-29,51.75,51.75,50.25,0.0,600,AVNW,536
1987-07-30,51.75,53.25,51.0,0.0,11300,AVNW,536
1987-07-31,52.875,53.25,51.75,0.0,2867,AVNW,536
1987-08-03,54.0,54.0,52.5,0.0,6333,AVNW,536
1987-08-04,52.5,54.0,52.5,0.0,933,AVNW,536
1987-08-05,54.0,54.0,52.5,0.0,700,AVNW,536
1987-08-06,54.0,54.0,52.5,0.0,2667,AVNW,536
1987-08-07,54.0,55.5,52.5,0.0,12533,AVNW,536
1987-08-10,56.25,57.75,54.75,0.0,10100,AVNW,536
1987-08-11,57.0,57.75,56.25,0.0,5767,AVNW,536
1987-08-12,55.5,57.0,54.0,0.0,6733,AVNW,536
1987-08-13,54.0,55.5,54.0,0.0,1833,AVNW,536
1987-08-14,54.0,55.5,54.0,0.0,533,AVNW,536
1987-08-17,54.0,54.0,54.0,0.0,133,AVNW,536
1987-08-18,56.25,57.0,54.75,0.0,21467,AVNW,536
1987-08-19,58.5,58.5,54.75,0.0,19300,AVNW,536
1987-08-20,57.75,59.25,57.75,0.0,17000,AVNW,536
1987-08-21,58.5,60.0,58.5,0.0,3267,AVNW,536
1987-08-24,60.0,60.0,58.5,0.0,4767,AVNW,536
1987-08-25,60.0,60.0,58.5,0.0,5633,AVNW,536
1987-08-26,57.375,60.0,56.25,0.0,11833,AVNW,536
1987-08-27,57.0,57.75,56.25,0.0,5133,AVNW,536
1987-08-28,57.75,57.75,55.5,0.0,5300,AVNW,536
1987-08-31,58.125,58.125,56.25,0.0,2633,AVNW,536
1987-09-01,57.0,58.5,56.25,0.0,7267,AVNW,536
1987-09-02,56.25,57.75,56.25,0.0,867,AVNW,536
1987-09-03,57.0,57.75,56.25,0.0,1033,AVNW,536
1987-09-04,55.5,57.0,55.5,0.0,3867,AVNW,536
1987-09-08,53.25,56.25,52.5,0.0,9633,AVNW,536
1987-09-09,53.25,54.75,53.25,0.0,23333,AVNW,536
1987-09-10,53.25,54.0,53.25,0.0,867,AVNW,536
1987-09-11,54.75,55.5,53.25,0.0,25767,AVNW,536
1987-09-14,53.25,54.75,53.25,0.0,933,AVNW,536
1987-09-15,54.75,54.75,52.5,0.0,193200,AVNW,536
