Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,BCS,BCS,BCS,BCS,BCS,,
Date,,,,,,,
1986-09-09,1.1974784135818481,1.207253707804281,1.1974784135818481,0.0,198685,BCS,645
1986-09-10,1.2121412754058838,1.2121412754058838,1.2023658685378296,1.2023658685378296,3646,BCS,645
1986-09-11,1.1901469230651855,1.2072539174995263,1.1901469230651855,1.2072539174995263,159191,BCS,645
1986-09-12,1.1632647514343262,1.1632647514343262,1.1534894564202605,1.1632647514343262,12760,BCS,645
1986-09-15,1.1730400323867798,1.1901466835174077,1.1730400323867798,1.1730400323867798,31595,BCS,645
1986-09-16,1.1632647514343262,1.1632647514343262,1.1534894564202605,1.1632647514343262,4253,BCS,645
1986-09-17,1.1632647514343262,1.1632647514343262,1.1632647514343262,1.1632647514343262,0,BCS,645
1986-09-18,1.143714427947998,1.143714427947998,1.1339392429744262,1.143714427947998,17620,BCS,645
1986-09-19,1.143714427947998,1.143714427947998,1.143714427947998,1.143714427947998,0,BCS,645
1986-09-22,1.1339389085769653,1.1339389085769653,1.1241633866255467,1.1339389085769653,16405,BCS,645
1986-09-23,1.1339389085769653,1.1339389085769653,1.1339389085769653,1.1339389085769653,0,BCS,645
1986-09-24,1.1095006465911865,1.114388408461328,1.1095006465911865,1.114388408461328,69266,BCS,645
1986-09-25,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,33418,BCS,645
1986-09-26,1.0655112266540527,1.075286633840344,1.0655112266540527,1.0655112266540527,36456,BCS,645
1986-09-29,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,0,BCS,645
1986-09-30,1.0703990459442139,1.0703990459442139,1.0655112854379973,1.0655112854379973,18836,BCS,645
1986-10-01,1.0703990459442139,1.0703990459442139,1.0703990459442139,1.0703990459442139,0,BCS,645
1986-10-02,1.0557358264923096,1.0557358264923096,1.0557358264923096,1.0557358264923096,13367,BCS,645
1986-10-03,1.0606237649917603,1.0606237649917603,1.0606237649917603,1.0606237649917603,42532,BCS,645
1986-10-06,1.0508480072021484,1.0606234117967668,1.0508480072021484,1.0606234117967668,19443,BCS,645
1986-10-07,1.0606237649917603,1.0606237649917603,1.0557361177102305,1.0557361177102305,62583,BCS,645
1986-10-08,1.0557358264923096,1.0557358264923096,1.0508480672722,1.0557358264923096,51646,BCS,645
1986-10-09,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,7899,BCS,645
1986-10-10,1.0508480072021484,1.0508480072021484,1.0508480072021484,1.0508480072021484,30380,BCS,645
1986-10-13,1.0655112266540527,1.0655112266540527,1.0557360460414196,1.0557360460414196,64406,BCS,645
1986-10-14,1.0557358264923096,1.0655110050721126,1.0557358264923096,1.0655110050721126,164052,BCS,645
1986-10-15,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,5468,BCS,645
1986-10-16,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,30380,BCS,645
1986-10-17,1.0557358264923096,1.0557358264923096,1.0508480672722,1.0557358264923096,94178,BCS,645
1986-10-20,1.045960545539856,1.0508483058697429,1.0410731250704626,1.0508483058697429,97824,BCS,645
1986-10-21,1.0655112266540527,1.075286633840344,1.0410731051922262,1.0459605255682993,303192,BCS,645
1986-10-22,1.0655112266540527,1.0655112266540527,1.0557360460414196,1.0655112266540527,33418,BCS,645
1986-10-23,1.0361851453781128,1.0361851453781128,1.0361851453781128,1.0361851453781128,608,BCS,645
1986-10-24,1.0361851453781128,1.0459603241079682,1.0361851453781128,1.0361851453781128,1215,BCS,645
1986-10-27,1.041073203086853,1.041073203086853,1.041073203086853,1.041073203086853,3038,BCS,645
1986-10-28,1.045960545539856,1.045960545539856,1.045960545539856,1.045960545539856,1823,BCS,645
1986-10-29,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,1823,BCS,645
1986-10-30,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,0,BCS,645
1986-10-31,1.0655112266540527,1.0655112266540527,1.0655112266540527,1.0655112266540527,0,BCS,645
1986-11-03,1.0948373079299927,1.0948373079299927,1.08506190098474,1.08506190098474,14582,BCS,645
1986-11-04,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-05,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-06,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-07,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,4253,BCS,645
1986-11-10,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,608,BCS,645
1986-11-11,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-12,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-13,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-14,1.0948373079299927,1.0948373079299927,1.0948373079299927,1.0948373079299927,0,BCS,645
1986-11-17,1.0557358264923096,1.0557358264923096,1.0557358264923096,1.0557358264923096,608,BCS,645
1986-11-18,1.0606237649917603,1.0606237649917603,1.0606237649917603,1.0606237649917603,608,BCS,645
1986-11-19,1.0508480072021484,1.0606234117967668,1.0508480072021484,1.0606234117967668,29165,BCS,645
1986-11-20,1.0508480072021484,1.0508480072021484,1.0508480072021484,1.0508480072021484,0,BCS,645
1986-11-21,1.0508480072021484,1.0508480072021484,1.0508480072021484,1.0508480072021484,0,BCS,645
1986-11-24,1.0850622653961182,1.0850622653961182,1.080174730212283,1.080174730212283,1215,BCS,645
1986-11-25,1.0752865076065063,1.085061800358393,1.0752865076065063,1.085061800358393,1215,BCS,645
1986-11-26,1.0850622653961182,1.0850622653961182,1.080174730212283,1.080174730212283,1823,BCS,645
1986-11-28,1.0850622653961182,1.0850622653961182,1.0850622653961182,1.0850622653961182,0,BCS,645
1986-12-01,1.0850622653961182,1.0850622653961182,1.0850622653961182,1.0850622653961182,0,BCS,645
1986-12-02,1.0899498462677002,1.0899498462677002,1.0752869017650035,1.0850621981001347,128811,BCS,645
1986-12-03,1.0850622653961182,1.0850622653961182,1.0850622653961182,1.0850622653961182,37064,BCS,645
1986-12-04,1.0752865076065063,1.0752865076065063,1.0752865076065063,1.0752865076065063,30380,BCS,645
1986-12-05,1.0850622653961182,1.0850622653961182,1.0850622653961182,1.0850622653961182,100254,BCS,645
1986-12-08,1.0850622653961182,1.0850622653961182,1.0850622653961182,1.0850622653961182,0,BCS,645
1986-12-09,1.1095006465911865,1.1095006465911865,1.1046128847210448,1.1046128847210448,9722,BCS,645
1986-12-10,1.1143882274627686,1.1143882274627686,1.1143882274627686,1.1143882274627686,1215,BCS,645
1986-12-11,1.1143882274627686,1.1192759885390418,1.1143882274627686,1.1143882274627686,161622,BCS,645
1986-12-12,1.1095006465911865,1.1095006465911865,1.0948377008413621,1.1095006465911865,36456,BCS,645
1986-12-15,1.1095006465911865,1.1095006465911865,1.1095006465911865,1.1095006465911865,0,BCS,645
1986-12-16,1.1046125888824463,1.1046125888824463,1.1046125888824463,1.1046125888824463,1215,BCS,645
1986-12-17,1.1046125888824463,1.1046125888824463,1.1046125888824463,1.1046125888824463,0,BCS,645
1986-12-18,1.1046125888824463,1.1046125888824463,1.1046125888824463,1.1046125888824463,64406,BCS,645
1986-12-19,1.1143882274627686,1.1143882274627686,1.1143882274627686,1.1143882274627686,3038,BCS,645
1986-12-22,1.148601770401001,1.148601770401001,1.148601770401001,1.148601770401001,46178,BCS,645
1986-12-23,1.1583768129348755,1.1583768129348755,1.1583768129348755,1.1583768129348755,1823,BCS,645
1986-12-24,1.1583768129348755,1.1583768129348755,1.1583768129348755,1.1583768129348755,0,BCS,645
1986-12-26,1.1583768129348755,1.1583768129348755,1.1583768129348755,1.1583768129348755,0,BCS,645
1986-12-29,1.1583768129348755,1.1583768129348755,1.1583768129348755,1.1583768129348755,0,BCS,645
1986-12-30,1.1632647514343262,1.1730401597352336,1.1632647514343262,1.1632647514343262,42532,BCS,645
1986-12-31,1.2023659944534302,1.2023659944534302,1.1925908131353382,1.1925908131353382,5468,BCS,645
1987-01-02,1.2121412754058838,1.2121412754058838,1.2121412754058838,1.2121412754058838,6076,BCS,645
1987-01-05,1.1901469230651855,1.1901469230651855,1.1901469230651855,1.1901469230651855,4253,BCS,645
1987-01-06,1.1730400323867798,1.1730400323867798,1.1730400323867798,1.1730400323867798,1823,BCS,645
1987-01-07,1.1632647514343262,1.1632647514343262,1.1632647514343262,1.1632647514343262,1215,BCS,645
1987-01-08,1.1901469230651855,1.1901469230651855,1.158377324610857,1.1632648592841863,6076,BCS,645
1987-01-09,1.1901469230651855,1.1901469230651855,1.1901469230651855,1.1901469230651855,0,BCS,645
1987-01-12,1.1901469230651855,1.1901469230651855,1.1901469230651855,1.1901469230651855,0,BCS,645
1987-01-13,1.2316923141479492,1.2316923141479492,1.2316923141479492,1.2316923141479492,608,BCS,645
1987-01-14,1.2414675951004028,1.2414675951004028,1.2414675951004028,1.2414675951004028,608,BCS,645
1987-01-15,1.2512426376342773,1.2512426376342773,1.2512426376342773,1.2512426376342773,608,BCS,645
1987-01-16,1.280568242073059,1.2903436465367053,1.280568242073059,1.280568242073059,1823,BCS,645
1987-01-19,1.336776852607727,1.336776852607727,1.319669862041605,1.319669862041605,12152,BCS,645
1987-01-20,1.324557900428772,1.3294456615973451,1.3196701392601988,1.3294456615973451,29772,BCS,645
1987-01-21,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,12152,BCS,645
1987-01-22,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,0,BCS,645
1987-01-23,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,0,BCS,645
1987-01-26,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,0,BCS,645
1987-01-27,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,0,BCS,645
1987-01-28,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,0,BCS,645
1987-01-29,1.3098946809768677,1.3098946809768677,1.3098946809768677,1.3098946809768677,608,BCS,645
1987-01-30,1.3098946809768677,1.3196698613952351,1.3098946809768677,1.3098946809768677,3038,BCS,645
1987-02-02,1.3050072193145752,1.3050072193145752,1.3050072193145752,1.3050072193145752,4861,BCS,645
1987-02-03,1.3001197576522827,1.3098951682809286,1.3001197576522827,1.3050074063231711,12152,BCS,645
1987-02-04,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-05,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-06,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-09,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-10,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-11,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-02-12,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,608,BCS,645
1987-02-13,1.3294459581375122,1.3294459581375122,1.3196704336198821,1.3196704336198821,3646,BCS,645
1987-02-17,1.3636595010757446,1.3636595010757446,1.3489965553766126,1.3489965553766126,1215,BCS,645
1987-02-18,1.3880972862243652,1.3880972862243652,1.368546586713836,1.368546586713836,4861,BCS,645
1987-02-19,1.3587713241577148,1.3587713241577148,1.3587713241577148,1.3587713241577148,4253,BCS,645
1987-02-20,1.368546962738037,1.368546962738037,1.348996371142575,1.358771553653455,15190,BCS,645
1987-02-23,1.3489961624145508,1.3489961624145508,1.3489961624145508,1.3489961624145508,1215,BCS,645
1987-02-24,1.3489961624145508,1.3489961624145508,1.3489961624145508,1.3489961624145508,0,BCS,645
1987-02-25,1.3294459581375122,1.3294459581375122,1.3245581958786972,1.3294459581375122,6076,BCS,645
1987-02-26,1.2952319383621216,1.2952319383621216,1.2952319383621216,1.2952319383621216,3038,BCS,645
1987-02-27,1.2561308145523071,1.2561308145523071,1.2561308145523071,1.2561308145523071,1215,BCS,645
1987-03-02,1.2610177993774414,1.2610177993774414,1.2610177993774414,1.2610177993774414,1215,BCS,645
1987-03-03,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,1215,BCS,645
1987-03-04,1.3098946809768677,1.3098946809768677,1.2903439802796528,1.2903439802796528,4253,BCS,645
1987-03-05,1.280568242073059,1.3001189377135538,1.280568242073059,1.3001189377135538,10329,BCS,645
1987-03-06,1.2903449535369873,1.2903449535369873,1.2903449535369873,1.2903449535369873,1215,BCS,645
1987-03-09,1.2903449535369873,1.2903449535369873,1.2805695391717493,1.2903449535369873,4861,BCS,645
1987-03-10,1.280568242073059,1.280568242073059,1.280568242073059,1.280568242073059,6684,BCS,645
1987-03-11,1.3098946809768677,1.3098946809768677,1.3098946809768677,1.3098946809768677,1823,BCS,645
1987-03-12,1.3147823810577393,1.3196700285293492,1.3147823810577393,1.3147823810577393,1215,BCS,645
1987-03-13,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,1215,BCS,645
1987-03-16,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-03-17,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-03-18,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-03-19,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,0,BCS,645
1987-03-20,1.3001197576522827,1.3098951682809286,1.3001197576522827,1.3001197576522827,3038,BCS,645
1987-03-23,1.3196700811386108,1.3196700811386108,1.3196700811386108,1.3196700811386108,1215,BCS,645
1987-03-24,1.3196700811386108,1.3196700811386108,1.3196700811386108,1.3196700811386108,1215,BCS,645
1987-03-25,1.2903449535369873,1.2903449535369873,1.2903449535369873,1.2903449535369873,5468,BCS,645
1987-03-26,1.2903449535369873,1.2903449535369873,1.2903449535369873,1.2903449535369873,0,BCS,645
1987-03-27,1.3001197576522827,1.3001197576522827,1.3001197576522827,1.3001197576522827,1823,BCS,645
1987-03-30,1.2903449535369873,1.2903449535369873,1.2903449535369873,1.2903449535369873,1215,BCS,645
1987-03-31,1.2903449535369873,1.2903449535369873,1.2903449535369873,1.2903449535369873,0,BCS,645
