Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,BTBT,BTBT,BTBT,BTBT,BTBT,,
Date,,,,,,,
2018-03-20,4.619999885559082,5.599999904632568,4.599999904632568,5.199999809265137,304300,BTBT,898
2018-03-21,4.742000102996826,4.900000095367432,4.610000133514404,4.889999866485596,23200,BTBT,898
2018-03-22,4.599999904632568,4.75,4.599999904632568,4.671000003814697,54100,BTBT,898
2018-03-23,4.65500020980835,4.75,4.599999904632568,4.599999904632568,8400,BTBT,898
2018-03-26,4.5,4.679999828338623,4.5,4.679999828338623,42100,BTBT,898
2018-03-27,4.5,4.699999809265137,4.5,4.690000057220459,9200,BTBT,898
2018-03-28,4.5,4.513999938964844,4.5,4.5,27800,BTBT,898
2018-03-29,4.5,4.690000057220459,4.5,4.690000057220459,15900,BTBT,898
2018-04-02,4.400000095367432,4.5920000076293945,4.400000095367432,4.5920000076293945,43400,BTBT,898
2018-04-03,4.848999977111816,4.848999977111816,4.409999847412109,4.409999847412109,35100,BTBT,898
2018-04-04,4.679999828338623,4.829999923706055,4.49399995803833,4.829999923706055,19700,BTBT,898
2018-04-05,4.716000080108643,4.800000190734863,4.590000152587891,4.789999961853027,36600,BTBT,898
2018-04-06,4.75,5.21999979019165,4.6579999923706055,4.684000015258789,64700,BTBT,898
2018-04-09,4.828999996185303,4.900000095367432,4.730000019073486,4.900000095367432,20800,BTBT,898
2018-04-10,4.889999866485596,5.0,4.889999866485596,4.9039998054504395,26600,BTBT,898
2018-04-11,4.861000061035156,4.889999866485596,4.854000091552734,4.888999938964844,5900,BTBT,898
2018-04-12,4.949999809265137,4.949999809265137,4.75,4.75,3800,BTBT,898
2018-04-13,4.926000118255615,5.0,4.800000190734863,5.0,16000,BTBT,898
2018-04-16,4.671000003814697,5.0,4.671000003814697,4.929999828338623,3200,BTBT,898
2018-04-17,4.926000118255615,4.988999843597412,4.760000228881836,4.760000228881836,3600,BTBT,898
2018-04-18,4.949999809265137,5.0,4.789999961853027,4.789999961853027,51600,BTBT,898
2018-04-19,4.860000133514404,4.960000038146973,4.860000133514404,4.900000095367432,1200,BTBT,898
2018-04-20,4.889999866485596,4.949999809265137,4.889999866485596,4.949999809265137,2600,BTBT,898
2018-04-23,4.900000095367432,4.980000019073486,4.900000095367432,4.980000019073486,14900,BTBT,898
2018-04-24,4.949999809265137,4.980000019073486,4.880000114440918,4.900000095367432,4100,BTBT,898
2018-04-25,5.013000011444092,5.099999904632568,4.800000190734863,4.810999870300293,9200,BTBT,898
2018-04-26,5.429999828338623,8.5,5.099999904632568,5.099999904632568,442700,BTBT,898
2018-04-27,5.699999809265137,6.098999977111816,5.420000076293945,5.420000076293945,110000,BTBT,898
2018-04-30,5.809999942779541,6.289999961853027,5.550000190734863,5.769999980926514,84400,BTBT,898
2018-05-01,5.159999847412109,5.880000114440918,5.130000114440918,5.769999980926514,33200,BTBT,898
2018-05-02,5.590000152587891,5.989999771118164,5.010000228881836,5.989999771118164,52400,BTBT,898
2018-05-03,5.519999980926514,5.798999786376953,5.215000152587891,5.215000152587891,29800,BTBT,898
2018-05-04,5.0,5.699999809265137,4.660999774932861,5.5,56900,BTBT,898
2018-05-07,5.300000190734863,5.400000095367432,5.10699987411499,5.300000190734863,25900,BTBT,898
2018-05-08,5.400000095367432,5.409999847412109,5.260000228881836,5.28000020980835,13800,BTBT,898
2018-05-09,5.589000225067139,5.659999847412109,5.349999904632568,5.389999866485596,7700,BTBT,898
2018-05-10,5.159999847412109,5.989999771118164,5.159999847412109,5.5,23600,BTBT,898
2018-05-11,5.609000205993652,5.689000129699707,5.341000080108643,5.689000129699707,19700,BTBT,898
2018-05-14,5.550000190734863,5.610000133514404,5.389999866485596,5.389999866485596,8100,BTBT,898
2018-05-15,5.550000190734863,5.550000190734863,5.360000133514404,5.539999961853027,4200,BTBT,898
2018-05-16,5.826000213623047,5.826000213623047,5.550000190734863,5.550000190734863,17300,BTBT,898
2018-05-17,5.995999813079834,6.099999904632568,5.520999908447266,5.520999908447266,30900,BTBT,898
2018-05-18,6.199999809265137,6.349999904632568,5.260000228881836,5.699999809265137,39200,BTBT,898
2018-05-21,6.340000152587891,6.340000152587891,6.031000137329102,6.239999771118164,5100,BTBT,898
2018-05-22,6.199999809265137,6.25,6.0,6.0,5700,BTBT,898
2018-05-23,6.880000114440918,7.0,6.0,6.230000019073486,53400,BTBT,898
2018-05-24,6.570000171661377,6.880000114440918,6.389999866485596,6.880000114440918,45300,BTBT,898
2018-05-25,6.71999979019165,6.739999771118164,6.10099983215332,6.570000171661377,14300,BTBT,898
2018-05-29,6.730000019073486,6.75,6.420000076293945,6.559999942779541,4500,BTBT,898
2018-05-30,6.39900016784668,6.53000020980835,6.10099983215332,6.53000020980835,5300,BTBT,898
2018-05-31,6.510000228881836,6.519000053405762,6.050000190734863,6.289999961853027,9400,BTBT,898
2018-06-01,6.460000038146973,6.480000019073486,5.9710001945495605,6.230000019073486,17100,BTBT,898
2018-06-04,6.150000095367432,6.360000133514404,5.809999942779541,6.2230000495910645,26900,BTBT,898
2018-06-05,6.050000190734863,6.198999881744385,6.010000228881836,6.019999980926514,8300,BTBT,898
2018-06-06,6.309999942779541,6.580999851226807,6.0,6.0,25700,BTBT,898
2018-06-07,6.468999862670898,6.658999919891357,6.260000228881836,6.658999919891357,16400,BTBT,898
2018-06-08,6.590000152587891,6.739999771118164,6.3420000076293945,6.739999771118164,1400,BTBT,898
2018-06-11,6.480000019073486,6.5,6.159999847412109,6.5,2500,BTBT,898
2018-06-12,6.699999809265137,6.699999809265137,6.230000019073486,6.46999979019165,10300,BTBT,898
2018-06-13,6.598999977111816,6.75,6.060999870300293,6.75,35700,BTBT,898
2018-06-14,6.550000190734863,6.590000152587891,6.210000038146973,6.400000095367432,19100,BTBT,898
2018-06-15,7.39900016784668,7.510000228881836,6.619999885559082,6.619999885559082,56500,BTBT,898
2018-06-18,7.21999979019165,7.949999809265137,6.8420000076293945,7.389999866485596,55400,BTBT,898
2018-06-19,7.063000202178955,7.199999809265137,6.800000190734863,6.949999809265137,14600,BTBT,898
2018-06-20,6.985000133514404,7.099999904632568,6.860000133514404,7.099999904632568,2800,BTBT,898
2018-06-21,6.210000038146973,6.900000095367432,5.730999946594238,6.900000095367432,23200,BTBT,898
2018-06-22,6.449999809265137,6.880000114440918,6.409999847412109,6.630000114440918,7000,BTBT,898
2018-06-25,7.090000152587891,7.090000152587891,6.119999885559082,6.400000095367432,2200,BTBT,898
2018-06-26,6.784999847412109,7.068999767303467,6.539999961853027,6.539999961853027,1500,BTBT,898
2018-06-27,6.2210001945495605,7.019999980926514,6.210000038146973,6.510000228881836,3300,BTBT,898
2018-06-28,6.010000228881836,6.150000095367432,6.010000228881836,6.150000095367432,400,BTBT,898
2018-06-29,5.75,5.989999771118164,5.710000038146973,5.900000095367432,6700,BTBT,898
2018-07-02,6.125999927520752,6.171000003814697,5.699999809265137,5.855000019073486,9500,BTBT,898
2018-07-03,6.056000232696533,6.190000057220459,6.0,6.190000057220459,12500,BTBT,898
2018-07-05,6.0,6.25,5.949999809265137,6.25,6900,BTBT,898
2018-07-06,6.489999771118164,6.578999996185303,6.130000114440918,6.578999996185303,15400,BTBT,898
2018-07-09,6.559999942779541,6.599999904632568,6.360000133514404,6.550000190734863,12700,BTBT,898
2018-07-10,6.710000038146973,6.800000190734863,6.659999847412109,6.659999847412109,6100,BTBT,898
2018-07-11,6.699999809265137,6.701000213623047,6.699999809265137,6.701000213623047,700,BTBT,898
2018-07-12,6.929999828338623,6.980000019073486,6.824999809265137,6.900000095367432,5500,BTBT,898
2018-07-13,7.230000019073486,7.440000057220459,6.980000019073486,6.980000019073486,7500,BTBT,898
2018-07-16,7.494999885559082,7.64900016784668,7.199999809265137,7.639999866485596,1800,BTBT,898
2018-07-17,7.590000152587891,7.650000095367432,7.563000202178955,7.590000152587891,2400,BTBT,898
2018-07-18,7.599999904632568,7.650000095367432,7.25,7.590000152587891,5100,BTBT,898
2018-07-19,7.821000099182129,8.199999809265137,7.349999904632568,7.650000095367432,16300,BTBT,898
2018-07-20,7.989999771118164,8.5,7.079999923706055,8.5,9200,BTBT,898
2018-07-23,8.048999786376953,8.75,7.75,8.0,16700,BTBT,898
2018-07-24,7.7789998054504395,8.0,7.144000053405762,8.0,20100,BTBT,898
2018-07-25,8.0,9.0,7.800000190734863,8.0,2100,BTBT,898
2018-07-26,7.880000114440918,8.59000015258789,7.880000114440918,8.505999565124512,1500,BTBT,898
2018-07-27,8.17300033569336,8.199999809265137,7.739999771118164,7.789999961853027,16300,BTBT,898
2018-07-30,8.270000457763672,8.399999618530273,7.650000095367432,8.130000114440918,16400,BTBT,898
2018-07-31,9.0,9.460000038146973,7.639999866485596,8.949999809265137,15100,BTBT,898
2018-08-01,8.5,8.5,8.039999961853027,8.039999961853027,600,BTBT,898
2018-08-02,8.420000076293945,8.975000381469727,7.547999858856201,8.010000228881836,8300,BTBT,898
2018-08-03,8.34000015258789,8.383000373840332,7.03000020980835,7.550000190734863,3800,BTBT,898
2018-08-06,7.877999782562256,8.170000076293945,7.420000076293945,8.170000076293945,5500,BTBT,898
2018-08-07,7.377999782562256,7.76200008392334,7.0,7.610000133514404,2200,BTBT,898
2018-08-08,7.2170000076293945,8.0,7.0,8.0,11100,BTBT,898
2018-08-09,7.460000038146973,7.599999904632568,7.190000057220459,7.190000057220459,13900,BTBT,898
2018-08-10,7.455999851226807,7.699999809265137,7.1529998779296875,7.400000095367432,1500,BTBT,898
2018-08-13,7.050000190734863,7.630000114440918,7.0,7.630000114440918,8100,BTBT,898
