Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,BTCM,BTCM,BTCM,BTCM,BTCM,,
Date,,,,,,,
2013-11-22,200.10000610351562,220.39999389648438,181.39999389648438,200.0,690030,BTCM,899
2013-11-25,203.10000610351562,208.10000610351562,182.5,198.10000610351562,140480,BTCM,899
2013-11-26,200.3000030517578,209.0,195.0,205.0,52050,BTCM,899
2013-11-27,208.0,208.0,201.3000030517578,203.0,28720,BTCM,899
2013-11-29,202.1999969482422,208.89999389648438,202.1999969482422,206.0,31620,BTCM,899
2013-12-02,206.60000610351562,207.6999969482422,199.39999389648438,205.5,27490,BTCM,899
2013-12-03,202.3000030517578,210.0,202.0,210.0,27320,BTCM,899
2013-12-04,201.89999389648438,207.0,200.10000610351562,207.0,22920,BTCM,899
2013-12-05,203.60000610351562,204.60000610351562,201.0,201.5,8430,BTCM,899
2013-12-06,243.3000030517578,243.8000030517578,205.0,206.8000030517578,95330,BTCM,899
2013-12-09,264.0,268.0,243.0,245.0,83580,BTCM,899
2013-12-10,261.8999938964844,268.0,245.0,267.5,27790,BTCM,899
2013-12-11,248.60000610351562,262.0,248.0,262.0,32420,BTCM,899
2013-12-12,271.70001220703125,276.20001220703125,249.1999969482422,249.1999969482422,54600,BTCM,899
2013-12-13,315.70001220703125,319.3999938964844,262.5,277.0,84030,BTCM,899
2013-12-16,278.0,324.79998779296875,271.20001220703125,315.0,86280,BTCM,899
2013-12-17,272.5,275.20001220703125,266.1000061035156,266.1000061035156,52030,BTCM,899
2013-12-18,283.3999938964844,296.6000061035156,280.0,294.0,31040,BTCM,899
2013-12-19,286.0,294.3999938964844,278.70001220703125,286.0,24200,BTCM,899
2013-12-20,299.29998779296875,303.1000061035156,289.70001220703125,291.79998779296875,34640,BTCM,899
2013-12-23,310.6000061035156,312.6000061035156,300.3999938964844,302.20001220703125,19450,BTCM,899
2013-12-24,335.5,349.29998779296875,315.0,315.0,32500,BTCM,899
2013-12-26,345.8999938964844,350.0,318.70001220703125,342.29998779296875,32550,BTCM,899
2013-12-27,348.3999938964844,356.0,335.29998779296875,346.0,22320,BTCM,899
