Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,EEFT,EEFT,EEFT,EEFT,EEFT,,
Date,,,,,,,
1997-03-07,15.0,16.25,14.375,16.25,2860800,EEFT,1770
1997-03-10,13.875,15.125,13.625,14.875,493600,EEFT,1770
1997-03-11,14.25,14.5,14.125,14.125,72400,EEFT,1770
1997-03-12,14.0,14.375,13.875,14.375,131600,EEFT,1770
1997-03-13,13.75,14.0,13.5,13.875,177700,EEFT,1770
1997-03-14,14.125,14.375,13.5,13.5,122700,EEFT,1770
1997-03-17,14.125,14.25,13.875,14.125,407400,EEFT,1770
1997-03-18,14.125,14.125,14.0625,14.0625,43400,EEFT,1770
1997-03-19,14.0,14.25,14.0,14.25,120400,EEFT,1770
1997-03-20,13.75,14.375,13.625,14.375,89900,EEFT,1770
1997-03-21,13.875,13.875,13.75,13.875,19200,EEFT,1770
1997-03-24,13.75,13.875,13.625,13.75,42700,EEFT,1770
1997-03-25,13.875,13.875,13.625,13.875,32800,EEFT,1770
1997-03-26,13.875,14.0,13.75,13.75,53800,EEFT,1770
1997-03-27,13.5,14.0,13.5,13.875,90900,EEFT,1770
1997-03-31,12.75,13.875,12.75,13.875,43800,EEFT,1770
1997-04-01,13.0,13.0,12.625,12.75,223300,EEFT,1770
1997-04-02,13.125,13.125,12.75,12.875,270900,EEFT,1770
1997-04-03,13.375,13.5,13.25,13.25,96000,EEFT,1770
1997-04-04,14.0,14.0,13.25,13.25,121100,EEFT,1770
1997-04-07,14.25,14.625,14.125,14.5,168200,EEFT,1770
1997-04-08,13.75,14.25,13.75,14.25,101100,EEFT,1770
1997-04-09,13.75,13.875,13.75,13.875,4800,EEFT,1770
1997-04-10,14.125,14.25,13.75,14.0,79600,EEFT,1770
1997-04-11,14.0,14.0625,14.0,14.0,40000,EEFT,1770
1997-04-14,14.0,14.0625,14.0,14.0,27700,EEFT,1770
1997-04-15,14.0,14.625,14.0,14.625,77900,EEFT,1770
1997-04-16,14.0,14.25,14.0,14.25,56600,EEFT,1770
1997-04-17,13.875,13.875,13.875,13.875,300,EEFT,1770
1997-04-18,14.125,14.25,14.0,14.25,50200,EEFT,1770
1997-04-21,13.9375,13.9375,13.9375,13.9375,1000,EEFT,1770
1997-04-22,13.75,14.0,13.75,14.0,50000,EEFT,1770
1997-04-23,13.75,13.75,13.75,13.75,0,EEFT,1770
1997-04-24,13.25,13.75,13.25,13.75,8600,EEFT,1770
1997-04-25,13.125,13.25,13.125,13.25,11000,EEFT,1770
1997-04-28,12.875,13.25,12.875,13.125,24700,EEFT,1770
1997-04-29,12.75,13.125,12.75,13.125,52500,EEFT,1770
1997-04-30,12.5625,12.875,12.5625,12.625,45000,EEFT,1770
1997-05-01,13.0,13.0,13.0,13.0,10100,EEFT,1770
1997-05-02,13.0,13.0,13.0,13.0,10000,EEFT,1770
1997-05-05,12.6875,13.0,12.6875,13.0,48300,EEFT,1770
1997-05-06,12.625,12.625,12.625,12.625,100,EEFT,1770
1997-05-07,12.625,12.625,12.625,12.625,0,EEFT,1770
1997-05-08,12.625,12.75,12.5,12.5625,40000,EEFT,1770
1997-05-09,13.0,13.0,13.0,13.0,1300,EEFT,1770
1997-05-12,12.625,12.625,12.625,12.625,1000,EEFT,1770
1997-05-13,12.625,12.625,12.625,12.625,1000,EEFT,1770
1997-05-14,12.625,12.625,12.625,12.625,0,EEFT,1770
1997-05-15,12.625,12.625,12.625,12.625,0,EEFT,1770
1997-05-16,12.375,12.625,12.125,12.625,16000,EEFT,1770
1997-05-19,11.625,11.75,11.625,11.75,2300,EEFT,1770
1997-05-20,11.5,11.5,11.5,11.5,7500,EEFT,1770
1997-05-21,10.375,11.125,10.375,11.125,42500,EEFT,1770
1997-05-22,10.0,10.375,9.25,10.25,54400,EEFT,1770
1997-05-23,10.5,10.625,10.25,10.25,253700,EEFT,1770
1997-05-27,10.625,10.625,10.5,10.625,6300,EEFT,1770
1997-05-28,10.625,10.625,10.25,10.625,69100,EEFT,1770
1997-05-29,11.0,11.0,10.25,10.25,18500,EEFT,1770
1997-05-30,11.0,11.0,10.625,11.0,57400,EEFT,1770
1997-06-02,10.5,11.125,10.25,11.125,27400,EEFT,1770
1997-06-03,10.875,10.875,10.25,10.25,700,EEFT,1770
1997-06-04,9.875,10.375,9.75,10.375,46300,EEFT,1770
1997-06-05,9.625,10.125,9.625,10.125,13000,EEFT,1770
1997-06-06,9.875,9.875,9.5,9.875,16100,EEFT,1770
1997-06-09,9.75,10.0,9.75,10.0,50800,EEFT,1770
1997-06-10,10.0,10.125,9.75,10.0,64700,EEFT,1770
1997-06-11,10.75,10.75,10.125,10.125,4900,EEFT,1770
1997-06-12,11.625,12.625,11.375,11.375,58200,EEFT,1770
1997-06-13,11.0,11.625,11.0,11.5,22100,EEFT,1770
1997-06-16,12.0,12.0,11.25,11.375,28700,EEFT,1770
1997-06-17,12.125,12.125,12.0,12.0,4200,EEFT,1770
1997-06-18,12.125,12.125,12.125,12.125,400,EEFT,1770
1997-06-19,11.875,11.875,11.375,11.375,300,EEFT,1770
1997-06-20,11.875,11.875,11.875,11.875,0,EEFT,1770
1997-06-23,11.625,11.875,11.5,11.875,27000,EEFT,1770
1997-06-24,11.75,12.0,11.625,11.625,28900,EEFT,1770
1997-06-25,11.625,11.875,11.375,11.875,45300,EEFT,1770
1997-06-26,11.875,11.875,11.5,11.5,27200,EEFT,1770
1997-06-27,11.0,11.875,11.0,11.875,76800,EEFT,1770
1997-06-30,11.0625,11.25,11.0,11.0,39100,EEFT,1770
1997-07-01,11.0625,11.0625,11.0625,11.0625,0,EEFT,1770
1997-07-02,11.25,11.25,11.25,11.25,1700,EEFT,1770
1997-07-03,10.875,11.0625,10.875,11.0625,63300,EEFT,1770
1997-07-07,10.875,11.25,10.875,11.0,77200,EEFT,1770
1997-07-08,11.25,11.25,11.0,11.0,119400,EEFT,1770
1997-07-09,11.25,11.5,11.0625,11.1875,54600,EEFT,1770
1997-07-10,11.0,11.375,11.0,11.375,40400,EEFT,1770
1997-07-11,10.5,11.0,10.5,11.0,90700,EEFT,1770
1997-07-14,10.0,10.5,10.0,10.5,205200,EEFT,1770
1997-07-15,10.125,10.125,10.125,10.125,100,EEFT,1770
1997-07-16,10.5,10.5,10.0,10.125,86600,EEFT,1770
1997-07-17,10.5,10.5,10.5,10.5,0,EEFT,1770
1997-07-18,10.5,10.5,10.5,10.5,0,EEFT,1770
1997-07-21,10.75,11.0,10.625,10.625,31300,EEFT,1770
1997-07-22,11.25,11.25,11.125,11.125,5600,EEFT,1770
1997-07-23,11.25,11.375,11.125,11.375,65400,EEFT,1770
1997-07-24,11.25,11.25,11.25,11.25,0,EEFT,1770
1997-07-25,11.625,11.625,11.125,11.125,203400,EEFT,1770
1997-07-28,11.75,11.75,11.75,11.75,6000,EEFT,1770
1997-07-29,11.75,11.75,11.75,11.75,14600,EEFT,1770
1997-07-30,11.875,11.875,11.875,11.875,2300,EEFT,1770
1997-07-31,11.875,11.875,11.5,11.875,2500,EEFT,1770
1997-08-01,11.875,11.875,11.875,11.875,400,EEFT,1770
1997-08-04,11.375,11.375,11.375,11.375,1400,EEFT,1770
1997-08-05,14.25,14.25,11.375,11.875,113100,EEFT,1770
1997-08-06,14.0,14.25,13.75,14.25,1700,EEFT,1770
1997-08-07,14.375,14.75,14.0,14.5,24500,EEFT,1770
1997-08-08,13.875,14.625,13.875,14.375,32100,EEFT,1770
1997-08-11,14.25,14.25,13.25,13.25,21200,EEFT,1770
1997-08-12,13.75,14.375,13.75,14.125,30800,EEFT,1770
1997-08-13,14.375,14.375,13.625,14.375,30300,EEFT,1770
1997-08-14,13.625,14.375,13.625,14.375,1000,EEFT,1770
