Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,EGHT,EGHT,EGHT,EGHT,EGHT,,
Date,,,,,,,
1997-07-02,7.125,7.375,6.625,6.875,1113500,EGHT,1787
1997-07-03,6.9375,7.5,6.9375,7.25,187600,EGHT,1787
1997-07-07,6.625,7.0,6.375,7.0,342200,EGHT,1787
1997-07-08,6.75,7.0,6.5,6.625,99200,EGHT,1787
1997-07-09,7.75,8.0,6.75,7.0,605000,EGHT,1787
1997-07-10,8.75,8.875,8.125,8.125,369400,EGHT,1787
1997-07-11,9.125,9.875,9.0,9.125,353500,EGHT,1787
1997-07-14,9.5,10.0,9.0,9.125,329000,EGHT,1787
1997-07-15,9.875,9.875,9.4375,9.75,243900,EGHT,1787
1997-07-16,11.125,11.5,9.8125,9.875,456500,EGHT,1787
1997-07-17,11.125,11.625,11.0,11.25,435500,EGHT,1787
1997-07-18,10.5,11.375,10.0,11.375,298200,EGHT,1787
1997-07-21,10.0,10.375,9.625,10.375,193900,EGHT,1787
1997-07-22,10.25,10.25,9.75,10.0,72900,EGHT,1787
1997-07-23,10.625,10.625,10.25,10.375,56700,EGHT,1787
1997-07-24,10.875,11.125,10.125,10.625,80800,EGHT,1787
1997-07-25,11.25,11.625,10.875,11.125,143100,EGHT,1787
1997-07-28,10.625,12.25,10.5,11.875,342300,EGHT,1787
1997-07-29,10.25,10.75,10.0,10.75,115000,EGHT,1787
1997-07-30,9.75,10.375,9.5,10.375,125600,EGHT,1787
1997-07-31,9.375,9.75,8.875,9.75,160300,EGHT,1787
1997-08-01,9.125,9.375,8.5,9.375,57600,EGHT,1787
1997-08-04,9.5,10.125,8.875,9.125,124900,EGHT,1787
1997-08-05,9.875,10.125,9.625,9.625,108800,EGHT,1787
1997-08-06,9.875,10.25,9.625,10.0,125800,EGHT,1787
1997-08-07,9.75,10.0,9.5,9.875,72100,EGHT,1787
1997-08-08,9.75,9.875,9.5,9.75,50500,EGHT,1787
1997-08-11,9.5,9.875,9.25,9.75,71100,EGHT,1787
1997-08-12,9.125,9.5,9.0,9.5,156300,EGHT,1787
1997-08-13,9.125,9.125,8.875,8.875,96600,EGHT,1787
1997-08-14,9.0,9.125,8.9375,9.125,91200,EGHT,1787
1997-08-15,9.0,9.125,8.9375,9.0,82600,EGHT,1787
1997-08-18,9.125,9.125,9.0,9.125,39300,EGHT,1787
1997-08-19,9.0,9.125,8.875,9.125,60100,EGHT,1787
1997-08-20,9.25,9.3125,8.9375,8.9375,54000,EGHT,1787
1997-08-21,9.125,9.375,9.125,9.375,19100,EGHT,1787
1997-08-22,9.125,9.125,8.625,9.0,39600,EGHT,1787
1997-08-25,9.375,9.375,8.75,9.125,28000,EGHT,1787
1997-08-26,8.75,9.375,8.75,9.375,16900,EGHT,1787
1997-08-27,8.875,9.1875,8.75,9.1875,13200,EGHT,1787
1997-08-28,8.9375,9.1875,8.875,9.0,20500,EGHT,1787
1997-08-29,10.375,10.625,9.125,9.1875,116200,EGHT,1787
1997-09-02,10.9375,11.375,10.5,10.5,75700,EGHT,1787
1997-09-03,10.125,11.125,10.0,11.125,87000,EGHT,1787
1997-09-04,9.625,10.375,9.125,10.375,39600,EGHT,1787
1997-09-05,9.5,10.0,8.875,9.625,167700,EGHT,1787
1997-09-08,9.75,10.0,9.5,9.625,69200,EGHT,1787
1997-09-09,9.75,10.0,9.625,10.0,10100,EGHT,1787
1997-09-10,10.25,10.375,9.875,10.0,39600,EGHT,1787
1997-09-11,10.0,10.25,9.75,10.25,21100,EGHT,1787
1997-09-12,9.9375,10.125,9.875,10.125,54100,EGHT,1787
1997-09-15,9.890625,10.125,9.875,10.125,35500,EGHT,1787
1997-09-16,9.5625,10.0,9.5625,9.9375,22700,EGHT,1787
1997-09-17,10.484375,10.5,9.5625,9.59375,134400,EGHT,1787
1997-09-18,10.0625,10.625,10.0625,10.5,116100,EGHT,1787
1997-09-19,9.625,10.25,9.625,10.0,45300,EGHT,1787
1997-09-22,10.125,10.125,9.4375,9.75,155400,EGHT,1787
1997-09-23,10.875,11.25,10.125,10.125,390000,EGHT,1787
1997-09-24,11.0625,11.125,10.875,11.0,352000,EGHT,1787
1997-09-25,11.0,11.125,10.875,11.125,255800,EGHT,1787
