Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,FWRG,FWRG,FWRG,FWRG,FWRG,,
Date,,,,,,,
2021-10-01,22.1299991607666,23.43000030517578,20.399999618530273,21.0,3652000,FWRG,2260
2021-10-04,21.5,25.459999084472656,21.5,25.280000686645508,873400,FWRG,2260
2021-10-05,21.299999237060547,22.850000381469727,21.0,21.950000762939453,845400,FWRG,2260
2021-10-06,22.18000030517578,23.190000534057617,20.0,20.770000457763672,520000,FWRG,2260
2021-10-07,21.709999084472656,23.19499969482422,21.5,22.450000762939453,245200,FWRG,2260
2021-10-08,22.309999465942383,22.86199951171875,21.780000686645508,22.15999984741211,172500,FWRG,2260
2021-10-11,20.829999923706055,22.732999801635742,20.540000915527344,22.5,274100,FWRG,2260
2021-10-12,21.309999465942383,21.799999237060547,20.3700008392334,20.850000381469727,497200,FWRG,2260
2021-10-13,22.0,22.739999771118164,21.520000457763672,22.239999771118164,324600,FWRG,2260
2021-10-14,21.649999618530273,22.420000076293945,21.010000228881836,22.420000076293945,297000,FWRG,2260
2021-10-15,21.59000015258789,21.899999618530273,21.079999923706055,21.3700008392334,107000,FWRG,2260
2021-10-18,21.709999084472656,21.860000610351562,20.7549991607666,21.59000015258789,233300,FWRG,2260
2021-10-19,21.229999542236328,22.5,21.219999313354492,21.719999313354492,328600,FWRG,2260
2021-10-20,21.110000610351562,22.190000534057617,20.90999984741211,21.15999984741211,485700,FWRG,2260
2021-10-21,21.799999237060547,22.200000762939453,21.049999237060547,21.209999084472656,162300,FWRG,2260
2021-10-22,22.520000457763672,22.878999710083008,21.399999618530273,21.739999771118164,310700,FWRG,2260
2021-10-25,21.479999542236328,22.599000930786133,21.360000610351562,22.3799991607666,216400,FWRG,2260
2021-10-26,21.899999618530273,22.389999389648438,21.520000457763672,21.520000457763672,282200,FWRG,2260
2021-10-27,21.84000015258789,22.479999542236328,21.5,22.25,146300,FWRG,2260
2021-10-28,21.8799991607666,22.399999618530273,21.110000610351562,21.940000534057617,282300,FWRG,2260
2021-10-29,21.579999923706055,22.25,20.950000762939453,21.739999771118164,216900,FWRG,2260
2021-11-01,20.989999771118164,21.979999542236328,20.889999389648438,21.860000610351562,317000,FWRG,2260
2021-11-02,21.079999923706055,21.344999313354492,20.5,20.899999618530273,321000,FWRG,2260
2021-11-03,20.600000381469727,21.200000762939453,20.149999618530273,21.200000762939453,267400,FWRG,2260
2021-11-04,20.3700008392334,20.760000228881836,19.56999969482422,20.010000228881836,639300,FWRG,2260
2021-11-05,20.1200008392334,20.714000701904297,19.81999969482422,20.3700008392334,567200,FWRG,2260
2021-11-08,20.690000534057617,20.979999542236328,19.959999084472656,20.329999923706055,355200,FWRG,2260
2021-11-09,20.489999771118164,21.68000030517578,20.3700008392334,21.68000030517578,352200,FWRG,2260
2021-11-10,20.049999237060547,20.639999389648438,19.780000686645508,20.40999984741211,303300,FWRG,2260
2021-11-11,19.420000076293945,20.149999618530273,18.75,20.1200008392334,365500,FWRG,2260
2021-11-12,20.059999465942383,20.299999237060547,19.354999542236328,19.579999923706055,142600,FWRG,2260
2021-11-15,20.3799991607666,20.454999923706055,19.781999588012695,20.43000030517578,203300,FWRG,2260
2021-11-16,20.43000030517578,21.0,20.229999542236328,20.469999313354492,385000,FWRG,2260
2021-11-17,20.030000686645508,20.579999923706055,19.760000228881836,20.579999923706055,209500,FWRG,2260
2021-11-18,20.0,20.15999984741211,19.520000457763672,20.0,149200,FWRG,2260
2021-11-19,21.139999389648438,21.989999771118164,19.649999618530273,20.0,366400,FWRG,2260
2021-11-22,20.65999984741211,21.1299991607666,20.09000015258789,20.969999313354492,137400,FWRG,2260
2021-11-23,19.780000686645508,20.920000076293945,19.1299991607666,20.6299991607666,198300,FWRG,2260
2021-11-24,20.290000915527344,20.80500030517578,19.427000045776367,19.90999984741211,122200,FWRG,2260
2021-11-26,20.3700008392334,20.469999313354492,19.666000366210938,20.0,104800,FWRG,2260
2021-11-29,20.40999984741211,20.68899917602539,19.65999984741211,20.229999542236328,215800,FWRG,2260
2021-11-30,19.93000030517578,20.889999389648438,19.579999923706055,20.40999984741211,143900,FWRG,2260
2021-12-01,19.760000228881836,20.559999465942383,19.451000213623047,20.200000762939453,156900,FWRG,2260
2021-12-02,20.280000686645508,20.6200008392334,19.520000457763672,19.75,192700,FWRG,2260
2021-12-03,20.149999618530273,20.760000228881836,19.709999084472656,20.18000030517578,193800,FWRG,2260
2021-12-06,20.239999771118164,21.485000610351562,20.079999923706055,20.100000381469727,184900,FWRG,2260
2021-12-07,21.1200008392334,21.479999542236328,20.239999771118164,20.239999771118164,220700,FWRG,2260
2021-12-08,20.520000457763672,21.479999542236328,20.270000457763672,21.049999237060547,199900,FWRG,2260
2021-12-09,19.969999313354492,20.610000610351562,19.905000686645508,20.290000915527344,131200,FWRG,2260
2021-12-10,19.520000457763672,20.700000762939453,19.399999618530273,20.406999588012695,369400,FWRG,2260
2021-12-13,18.0,19.75,17.78499984741211,19.59000015258789,409100,FWRG,2260
2021-12-14,17.469999313354492,18.049999237060547,16.540000915527344,17.899999618530273,520800,FWRG,2260
2021-12-15,17.75,18.024999618530273,16.989999771118164,17.3799991607666,289400,FWRG,2260
2021-12-16,16.360000610351562,18.010000228881836,16.114999771118164,18.010000228881836,367300,FWRG,2260
2021-12-17,16.079999923706055,17.260000228881836,15.550000190734863,16.450000762939453,2079500,FWRG,2260
2021-12-20,15.670000076293945,16.565000534057617,15.470000267028809,15.970000267028809,300000,FWRG,2260
2021-12-21,15.350000381469727,15.994999885559082,14.899999618530273,15.979999542236328,456200,FWRG,2260
2021-12-22,15.579999923706055,16.260000228881836,15.0600004196167,15.430000305175781,164000,FWRG,2260
2021-12-23,15.970000267028809,16.399999618530273,15.755999565124512,16.139999389648438,243500,FWRG,2260
2021-12-27,16.75,16.799999237060547,15.600000381469727,16.110000610351562,207100,FWRG,2260
2021-12-28,16.389999389648438,17.09000015258789,16.290000915527344,16.709999084472656,157400,FWRG,2260
2021-12-29,15.9399995803833,16.53499984741211,15.755000114440918,16.290000915527344,280300,FWRG,2260
2021-12-30,16.59000015258789,16.6299991607666,15.8100004196167,16.09000015258789,308900,FWRG,2260
2021-12-31,16.760000228881836,17.139999389648438,16.010000228881836,16.010000228881836,130900,FWRG,2260
2022-01-03,17.43000030517578,17.479999542236328,16.6299991607666,16.90999984741211,184900,FWRG,2260
2022-01-04,16.989999771118164,17.760000228881836,16.559999465942383,17.360000610351562,304300,FWRG,2260
2022-01-05,16.049999237060547,17.280000686645508,16.030000686645508,16.90999984741211,150500,FWRG,2260
2022-01-06,15.789999961853027,16.280000686645508,15.670000076293945,16.040000915527344,176100,FWRG,2260
2022-01-07,15.300000190734863,16.155000686645508,15.260000228881836,15.8100004196167,309300,FWRG,2260
2022-01-10,15.6899995803833,15.8149995803833,14.90999984741211,15.460000038146973,507700,FWRG,2260
2022-01-11,15.529999732971191,15.920000076293945,15.350000381469727,15.529999732971191,123000,FWRG,2260
2022-01-12,14.800000190734863,15.75,14.760000228881836,15.670000076293945,167900,FWRG,2260
2022-01-13,15.180000305175781,15.479999542236328,14.970000267028809,15.199999809265137,130600,FWRG,2260
2022-01-14,15.529999732971191,15.569999694824219,14.899999618530273,15.300000190734863,157000,FWRG,2260
2022-01-18,14.619999885559082,15.800000190734863,14.40999984741211,15.800000190734863,249900,FWRG,2260
2022-01-19,13.539999961853027,14.829999923706055,13.529999732971191,14.819999694824219,210200,FWRG,2260
2022-01-20,13.789999961853027,14.09000015258789,13.529999732971191,13.9399995803833,299500,FWRG,2260
2022-01-21,13.680000305175781,13.989999771118164,13.335000038146973,13.609999656677246,166600,FWRG,2260
2022-01-24,14.739999771118164,14.800000190734863,13.0600004196167,13.449999809265137,276600,FWRG,2260
2022-01-25,14.109999656677246,14.699999809265137,13.710000038146973,14.40999984741211,187000,FWRG,2260
2022-01-26,13.729999542236328,14.510000228881836,13.550000190734863,14.510000228881836,137100,FWRG,2260
2022-01-27,13.720000267028809,14.364999771118164,13.5600004196167,14.220000267028809,141400,FWRG,2260
2022-01-28,14.0,14.085000038146973,13.234999656677246,13.779999732971191,126100,FWRG,2260
2022-01-31,15.039999961853027,15.380000114440918,13.760000228881836,13.760000228881836,236500,FWRG,2260
2022-02-01,15.479999542236328,15.680000305175781,14.579999923706055,14.890000343322754,141000,FWRG,2260
2022-02-02,15.199999809265137,15.805000305175781,15.109999656677246,15.649999618530273,120700,FWRG,2260
2022-02-03,14.949999809265137,15.220000267028809,14.789999961853027,14.930000305175781,106700,FWRG,2260
2022-02-04,14.710000038146973,15.079999923706055,14.40999984741211,15.079999923706055,251600,FWRG,2260
2022-02-07,14.720000267028809,15.09000015258789,14.5600004196167,14.6899995803833,214200,FWRG,2260
2022-02-08,15.109999656677246,15.119999885559082,14.510000228881836,14.539999961853027,221200,FWRG,2260
2022-02-09,15.930000305175781,16.049999237060547,15.079999923706055,15.390000343322754,266900,FWRG,2260
2022-02-10,16.3700008392334,17.1200008392334,15.569999694824219,15.789999961853027,507200,FWRG,2260
2022-02-11,16.40999984741211,17.059999465942383,16.09000015258789,16.5,185700,FWRG,2260
2022-02-14,16.09000015258789,16.554000854492188,15.854999542236328,16.290000915527344,97500,FWRG,2260
2022-02-15,16.520000457763672,16.719999313354492,16.229999542236328,16.280000686645508,94800,FWRG,2260
2022-02-16,16.290000915527344,16.584999084472656,16.1299991607666,16.469999313354492,136400,FWRG,2260
2022-02-17,15.539999961853027,16.219999313354492,15.329999923706055,16.219999313354492,69100,FWRG,2260
2022-02-18,15.4399995803833,15.717000007629395,15.09000015258789,15.479999542236328,63200,FWRG,2260
2022-02-22,14.829999923706055,15.449999809265137,14.6899995803833,15.119999885559082,93900,FWRG,2260
2022-02-23,14.180000305175781,15.272000312805176,14.079999923706055,15.020000457763672,112800,FWRG,2260
2022-02-24,14.420000076293945,14.460000038146973,13.600000381469727,13.600000381469727,507200,FWRG,2260
2022-02-25,14.789999961853027,14.850000381469727,14.25,14.529999732971191,99000,FWRG,2260
2022-02-28,14.510000228881836,15.220000267028809,14.359999656677246,14.579999923706055,172800,FWRG,2260
2022-03-01,14.130000114440918,14.819999694824219,13.880000114440918,14.369999885559082,188700,FWRG,2260
2022-03-02,14.1899995803833,14.835000038146973,13.600000381469727,14.109999656677246,180700,FWRG,2260
2022-03-03,13.880000114440918,14.380000114440918,13.640000343322754,14.3100004196167,104000,FWRG,2260
2022-03-04,13.470000267028809,13.779999732971191,13.350000381469727,13.6899995803833,80200,FWRG,2260
2022-03-07,12.430000305175781,13.430000305175781,12.385000228881836,13.399999618530273,190500,FWRG,2260
2022-03-08,12.34000015258789,12.84000015258789,12.020000457763672,12.4399995803833,365500,FWRG,2260
2022-03-09,12.600000381469727,13.170000076293945,12.350000381469727,12.869999885559082,461800,FWRG,2260
2022-03-10,12.4399995803833,12.59000015258789,11.90999984741211,12.34000015258789,282400,FWRG,2260
2022-03-11,12.260000228881836,12.630000114440918,12.220000267028809,12.630000114440918,204900,FWRG,2260
2022-03-14,11.819999694824219,12.449999809265137,11.569999694824219,12.34000015258789,168100,FWRG,2260
2022-03-15,12.369999885559082,12.463000297546387,11.75,11.859999656677246,201600,FWRG,2260
2022-03-16,13.039999961853027,13.100000381469727,12.489999771118164,12.489999771118164,154300,FWRG,2260
2022-03-17,12.960000038146973,13.335000038146973,12.75,13.050000190734863,112300,FWRG,2260
2022-03-18,13.460000038146973,13.569999694824219,12.675000190734863,12.880000114440918,290300,FWRG,2260
2022-03-21,12.800000190734863,13.34000015258789,12.460000038146973,13.300000190734863,168900,FWRG,2260
2022-03-22,13.050000190734863,13.237000465393066,12.680000305175781,12.90999984741211,200600,FWRG,2260
2022-03-23,12.710000038146973,14.232999801635742,12.319999694824219,14.15999984741211,447900,FWRG,2260
2022-03-24,12.829999923706055,13.0,12.25,12.59000015258789,145100,FWRG,2260
2022-03-25,12.579999923706055,12.9399995803833,12.520999908447266,12.90999984741211,165500,FWRG,2260
2022-03-28,12.619999885559082,12.739999771118164,12.241000175476074,12.630000114440918,193900,FWRG,2260
2022-03-29,13.510000228881836,13.770000457763672,12.84000015258789,12.84000015258789,298400,FWRG,2260
2022-03-30,13.489999771118164,13.829999923706055,13.100000381469727,13.4399995803833,211600,FWRG,2260
2022-03-31,13.050000190734863,13.512999534606934,13.020000457763672,13.369999885559082,111500,FWRG,2260
2022-04-01,12.75,13.359999656677246,12.510000228881836,13.039999961853027,171600,FWRG,2260
2022-04-04,13.460000038146973,13.529999732971191,12.569999694824219,12.819999694824219,422900,FWRG,2260
2022-04-05,12.880000114440918,13.460000038146973,12.805000305175781,13.460000038146973,167200,FWRG,2260
2022-04-06,12.529999732971191,12.739999771118164,12.260000228881836,12.6899995803833,155900,FWRG,2260
2022-04-07,12.180000305175781,12.524999618530273,11.850000381469727,12.420000076293945,153400,FWRG,2260
2022-04-08,12.020000457763672,12.329999923706055,11.89799976348877,12.3100004196167,61900,FWRG,2260
2022-04-11,12.170000076293945,12.210000038146973,11.850000381469727,11.899999618530273,119000,FWRG,2260
2022-04-12,12.270000457763672,12.739999771118164,12.109999656677246,12.579999923706055,98400,FWRG,2260
2022-04-13,12.760000228881836,12.812999725341797,12.350000381469727,12.430000305175781,48000,FWRG,2260
2022-04-14,12.649999618530273,12.9399995803833,12.539999961853027,12.84000015258789,60300,FWRG,2260
2022-04-18,12.430000305175781,12.847000122070312,12.164999961853027,12.720000267028809,95500,FWRG,2260
2022-04-19,12.710000038146973,12.869999885559082,12.399999618530273,12.550000190734863,83000,FWRG,2260
2022-04-20,12.649999618530273,12.989999771118164,12.569999694824219,12.760000228881836,93600,FWRG,2260
2022-04-21,12.3100004196167,12.819999694824219,12.279999732971191,12.760000228881836,68300,FWRG,2260
2022-04-22,12.270000457763672,12.479999542236328,12.1899995803833,12.289999961853027,62400,FWRG,2260
2022-04-25,12.470000267028809,12.520000457763672,12.109999656677246,12.220000267028809,134600,FWRG,2260
2022-04-26,12.279999732971191,12.609999656677246,12.069999694824219,12.609999656677246,122000,FWRG,2260
2022-04-27,12.539999961853027,12.739999771118164,12.100000381469727,12.25,125800,FWRG,2260
2022-04-28,13.039999961853027,13.34000015258789,12.520000457763672,12.649999618530273,112600,FWRG,2260
2022-04-29,13.0,13.390000343322754,12.800000190734863,13.109999656677246,122700,FWRG,2260
2022-05-02,13.390000343322754,13.390000343322754,12.850000381469727,12.9399995803833,133100,FWRG,2260
2022-05-03,13.229999542236328,14.079999923706055,13.100000381469727,13.479999542236328,223800,FWRG,2260
2022-05-04,13.170000076293945,13.300000190734863,12.430000305175781,13.239999771118164,124300,FWRG,2260
2022-05-05,12.550000190734863,13.074000358581543,12.34000015258789,13.0,76500,FWRG,2260
2022-05-06,12.670000076293945,13.241999626159668,12.0600004196167,12.609999656677246,95500,FWRG,2260
2022-05-09,11.890000343322754,12.635000228881836,11.859999656677246,12.550000190734863,154900,FWRG,2260
2022-05-10,13.430000305175781,13.541999816894531,11.800000190734863,12.420000076293945,200600,FWRG,2260
2022-05-11,12.949999809265137,13.710000038146973,12.72599983215332,13.300000190734863,234500,FWRG,2260
2022-05-12,13.380000114440918,13.510000228881836,12.619999885559082,12.970000267028809,65400,FWRG,2260
2022-05-13,14.220000267028809,14.255000114440918,13.529999732971191,13.529999732971191,94600,FWRG,2260
2022-05-16,13.539999961853027,14.260000228881836,13.489999771118164,14.149999618530273,189600,FWRG,2260
2022-05-17,13.850000381469727,13.989999771118164,13.569999694824219,13.84000015258789,134800,FWRG,2260
2022-05-18,12.8100004196167,13.970000267028809,12.6850004196167,13.760000228881836,130000,FWRG,2260
2022-05-19,13.5,13.645000457763672,12.779999732971191,12.850000381469727,122700,FWRG,2260
2022-05-20,14.239999771118164,14.260000228881836,13.510000228881836,13.65999984741211,169500,FWRG,2260
2022-05-23,14.510000228881836,14.600000381469727,13.899999618530273,14.380000114440918,174700,FWRG,2260
2022-05-24,14.069999694824219,14.470000267028809,13.5,14.239999771118164,213900,FWRG,2260
2022-05-25,14.59000015258789,14.737000465393066,13.920000076293945,13.920000076293945,80500,FWRG,2260
2022-05-26,15.289999961853027,16.420000076293945,14.539999961853027,14.539999961853027,185600,FWRG,2260
2022-05-27,15.729999542236328,15.979999542236328,15.08899974822998,15.399999618530273,182000,FWRG,2260
2022-05-31,15.899999618530273,16.43000030517578,15.489999771118164,15.789999961853027,284200,FWRG,2260
2022-06-01,15.829999923706055,16.010000228881836,15.470000267028809,16.0,125100,FWRG,2260
2022-06-02,15.949999809265137,16.058000564575195,15.630000114440918,15.800000190734863,48500,FWRG,2260
2022-06-03,15.9399995803833,16.170000076293945,15.550000190734863,15.859999656677246,75600,FWRG,2260
2022-06-06,15.460000038146973,16.139999389648438,15.420000076293945,16.110000610351562,93400,FWRG,2260
2022-06-07,15.5,15.770000457763672,15.163999557495117,15.3100004196167,71100,FWRG,2260
2022-06-08,15.640000343322754,15.989999771118164,15.420000076293945,15.479999542236328,61000,FWRG,2260
2022-06-09,15.760000228881836,15.880000114440918,15.3100004196167,15.720000267028809,110700,FWRG,2260
2022-06-10,14.880000114440918,15.62399959564209,14.550000190734863,15.569999694824219,130300,FWRG,2260
2022-06-13,13.75,14.670000076293945,13.430000305175781,14.380000114440918,198200,FWRG,2260
2022-06-14,12.829999923706055,13.899999618530273,12.75,13.899999618530273,96900,FWRG,2260
2022-06-15,13.470000267028809,13.569999694824219,12.8100004196167,12.829999923706055,112200,FWRG,2260
2022-06-16,12.979999542236328,13.069999694824219,12.449999809265137,13.069999694824219,124600,FWRG,2260
2022-06-17,13.390000343322754,13.472000122070312,13.020000457763672,13.050000190734863,103300,FWRG,2260
2022-06-21,13.40999984741211,13.850000381469727,13.149999618530273,13.619999885559082,152400,FWRG,2260
2022-06-22,13.430000305175781,13.59000015258789,13.119999885559082,13.119999885559082,132800,FWRG,2260
2022-06-23,13.770000457763672,13.90999984741211,12.9399995803833,13.619999885559082,78200,FWRG,2260
2022-06-24,14.5,14.8100004196167,13.739999771118164,13.989999771118164,339200,FWRG,2260
2022-06-27,14.1899995803833,14.550000190734863,13.949999809265137,14.550000190734863,80900,FWRG,2260
2022-06-28,14.600000381469727,14.760000228881836,14.029999732971191,14.220000267028809,130500,FWRG,2260
2022-06-29,14.40999984741211,14.739999771118164,14.010000228881836,14.569999694824219,93300,FWRG,2260
2022-06-30,14.420000076293945,14.460000038146973,13.34000015258789,14.149999618530273,273400,FWRG,2260
2022-07-01,14.890000343322754,14.9399995803833,13.715999603271484,14.359999656677246,78900,FWRG,2260
2022-07-05,14.720000267028809,14.8100004196167,14.100000381469727,14.5,74500,FWRG,2260
2022-07-06,14.399999618530273,14.864999771118164,14.319999694824219,14.75,58100,FWRG,2260
2022-07-07,14.970000267028809,15.09000015258789,14.430000305175781,14.460000038146973,103300,FWRG,2260
2022-07-08,14.899999618530273,15.12399959564209,14.5600004196167,14.59000015258789,50400,FWRG,2260
2022-07-11,14.34000015258789,15.140000343322754,13.989999771118164,14.649999618530273,155300,FWRG,2260
2022-07-12,14.069999694824219,14.569999694824219,14.0600004196167,14.479999542236328,31800,FWRG,2260
2022-07-13,14.229999542236328,14.3100004196167,13.640000343322754,13.75,101500,FWRG,2260
2022-07-14,14.039999961853027,14.119999885559082,13.699999809265137,14.109999656677246,47700,FWRG,2260
2022-07-15,14.510000228881836,14.720000267028809,13.72700023651123,14.300000190734863,41900,FWRG,2260
2022-07-18,14.600000381469727,14.890000343322754,14.489999771118164,14.770000457763672,29800,FWRG,2260
2022-07-19,15.1899995803833,15.350000381469727,14.890000343322754,14.890000343322754,67000,FWRG,2260
2022-07-20,15.3100004196167,15.505000114440918,15.119999885559082,15.130000114440918,44400,FWRG,2260
2022-07-21,15.460000038146973,15.475000381469727,14.020000457763672,15.329999923706055,68800,FWRG,2260
2022-07-22,14.960000038146973,15.65999984741211,14.75,15.5,75000,FWRG,2260
2022-07-25,14.880000114440918,15.09000015258789,14.760000228881836,15.09000015258789,22400,FWRG,2260
2022-07-26,14.710000038146973,15.199999809265137,14.619999885559082,14.640000343322754,56400,FWRG,2260
2022-07-27,15.380000114440918,15.475000381469727,14.699999809265137,14.930000305175781,59800,FWRG,2260
2022-07-28,15.529999732971191,15.539999961853027,15.067000389099121,15.329999923706055,80800,FWRG,2260
2022-07-29,16.6200008392334,16.8799991607666,15.390000343322754,15.449999809265137,220400,FWRG,2260
2022-08-01,16.09000015258789,16.735000610351562,16.0,16.639999389648438,88600,FWRG,2260
2022-08-02,16.440000534057617,17.104999542236328,16.114999771118164,16.270000457763672,100100,FWRG,2260
2022-08-03,16.549999237060547,16.959999084472656,16.3799991607666,16.670000076293945,69200,FWRG,2260
