Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,HBT,HBT,HBT,HBT,HBT,,
Date,,,,,,,
2019-10-11,12.78499698638916,13.451396790069635,12.768543086766293,13.327989796789282,3754600,HBT,2559
2019-10-14,12.752090454101562,13.04826775638503,12.562866262682233,12.834362319259409,419200,HBT,2559
2019-10-15,12.834362030029297,12.941314353880545,12.752090166725496,12.793226098377398,317700,HBT,2559
2019-10-16,12.99890422821045,13.015358129168101,12.768544122585176,12.768544122585176,144200,HBT,2559
2019-10-17,13.040040969848633,13.114084705674571,12.875497242406173,13.040040969848633,140900,HBT,2559
2019-10-18,13.04826831817627,13.237493302345307,12.88372536537886,13.023587071407329,177000,HBT,2559
2019-10-21,13.03181266784668,13.185660680770054,12.990676739012306,13.138765768975022,71800,HBT,2559
2019-10-22,13.138765335083008,13.16344657772753,13.02358489507097,13.048266137715494,107500,HBT,2559
2019-10-23,13.278624534606934,13.492530702437897,13.122308971716588,13.122308971716588,60800,HBT,2559
2019-10-24,13.163448333740234,13.286855348027984,13.163448333740234,13.253947543180402,20300,HBT,2559
2019-10-25,13.253946304321289,13.377353307074067,13.14699241785175,13.171674446084378,29700,HBT,2559
2019-10-28,13.410261154174805,13.49253301268981,13.16756003461839,13.311536179320946,29400,HBT,2559
2019-10-29,13.311538696289062,13.443173067120645,13.122313699766606,13.369128537377195,353300,HBT,2559
2019-10-30,13.229264259338379,13.418488434600064,13.221036916604586,13.253946287539755,25100,HBT,2559
2019-10-31,13.188131332397461,13.253948516129473,12.974225092967062,13.221039139660748,77400,HBT,2559
2019-11-01,13.138765335083008,13.30330826038409,13.12231065025162,13.16344657772753,173200,HBT,2559
2019-11-04,13.212808609008789,13.319762487532628,13.089401615424027,13.319762487532628,54100,HBT,2559
2019-11-05,13.295080184936523,13.327989552784821,12.949539668554547,12.949539668554547,121100,HBT,2559
2019-11-06,13.369128227233887,13.369128227233887,13.27862901093456,13.327993075755343,108800,HBT,2559
2019-11-07,13.870985984802246,13.990278558219401,13.410264103474406,13.418491448055853,307900,HBT,2559
2019-11-08,14.051979064941406,14.093114207539545,13.731120558901631,13.78048304386042,68500,HBT,2559
2019-11-11,13.92034912109375,13.98616631155638,13.60771785869766,13.945031155969337,189800,HBT,2559
2019-11-12,13.895665168762207,13.903892512585449,13.698213624620559,13.805167525117316,75600,HBT,2559
2019-11-13,13.945026397705078,13.986161539256159,13.71466552508586,13.821617834641708,145100,HBT,2559
2019-11-14,13.903890609741211,13.903890609741211,13.718779322065503,13.903890609741211,130900,HBT,2559
2019-11-15,14.232976913452148,14.418088206874417,13.755802006633198,13.994390244645281,209600,HBT,2559
2019-11-18,14.224753379821777,14.232979154864637,13.986165104236763,14.200071347076804,108200,HBT,2559
2019-11-19,14.34815788269043,14.471564886309078,13.523796336716718,14.134251677455682,53500,HBT,2559
2019-11-20,14.208296775817871,14.504473282800864,14.101342884214224,14.307021755077118,76400,HBT,2559
2019-11-21,14.208296775817871,14.339931127633701,13.936800729047063,14.224751462096162,45100,HBT,2559
2019-11-22,14.290566444396973,14.364609382873164,13.83807205643351,14.232975051263251,25100,HBT,2559
2019-11-25,14.34815788269043,14.413975055900721,13.698211924184253,14.191841507864039,53800,HBT,2559
2019-11-26,14.479793548583984,14.52915604068857,13.945028771369204,14.232977949650396,69900,HBT,2559
2019-11-27,14.562064170837402,14.693698518007476,14.348157964384736,14.512700113744728,27300,HBT,2559
2019-11-29,14.644331932067871,14.710149094287313,14.019069675585628,14.710149094287313,17000,HBT,2559
2019-12-02,14.397522926330566,14.784198691438048,14.084891690380651,14.718381506543041,81000,HBT,2559
2019-12-03,13.895665168762207,15.689185322888903,13.615941755593527,15.689185322888903,157100,HBT,2559
2019-12-04,14.265881538391113,14.339926031122237,13.936795775810952,13.936795775810952,102200,HBT,2559
2019-12-05,14.200069427490234,14.479792817297982,13.936800723954766,14.372838925733415,68500,HBT,2559
2019-12-06,14.42220401763916,14.463339167061195,13.953254840519012,14.068436083470361,103200,HBT,2559
2019-12-09,14.290566444396973,14.545607765740554,14.142477429034567,14.422200776006887,141900,HBT,2559
2019-12-10,14.446884155273438,14.520928677935068,14.035526393466748,14.315249797031722,162700,HBT,2559
2019-12-11,14.57851791381836,14.586745257020697,14.298794521759987,14.479792933800855,119800,HBT,2559
2019-12-12,14.364608764648438,14.751285970165112,14.166335012340761,14.586742278131853,88300,HBT,2559
2019-12-13,14.315248489379883,14.533269150281567,14.200068828741006,14.389293005277786,142500,HBT,2559
2019-12-16,14.681356430053711,14.891149745553728,14.446882655698516,14.446882655698516,247800,HBT,2559
2019-12-17,14.88292407989502,15.532868533335732,14.701927228006351,14.784197525734164,227200,HBT,2559
2019-12-18,14.948741912841797,15.080376278004966,14.821220435062608,14.915832536948297,224300,HBT,2559
2019-12-19,14.775971412658691,14.973424537424238,14.71838157177102,14.973424537424238,266700,HBT,2559
2019-12-20,14.808876037597656,15.34364069178102,14.644332342831248,14.800648695938838,1494600,HBT,2559
2019-12-23,14.850013732910156,14.915830908305237,14.767743440570236,14.907605134435437,82700,HBT,2559
2019-12-24,14.940510749816895,14.98987323183383,14.78419439269075,14.874693584059308,46900,HBT,2559
2019-12-26,15.072147369384766,15.146191888253128,14.767743519997275,14.989875507397112,47100,HBT,2559
2019-12-27,15.425915718078613,15.602799677182338,14.858241580275838,15.187327468420456,72100,HBT,2559
