Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,HURN,HURN,HURN,HURN,HURN,,
Date,,,,,,,
2004-10-13,18.899999618530273,20.010000228881836,18.010000228881836,18.5,3803900,HURN,2726
2004-10-14,19.600000381469727,19.649999618530273,18.899999618530273,19.260000228881836,347600,HURN,2726
2004-10-15,19.100000381469727,19.899999618530273,18.899999618530273,19.700000762939453,254600,HURN,2726
2004-10-18,19.25,19.690000534057617,19.049999237060547,19.190000534057617,102000,HURN,2726
2004-10-19,19.200000762939453,19.799999237060547,19.100000381469727,19.3700008392334,136000,HURN,2726
2004-10-20,19.209999084472656,19.5,19.010000228881836,19.5,123200,HURN,2726
2004-10-21,19.420000076293945,19.799999237060547,19.0,19.0,59500,HURN,2726
2004-10-22,19.299999237060547,19.5,19.100000381469727,19.389999389648438,137500,HURN,2726
2004-10-25,19.350000381469727,19.350000381469727,19.0,19.100000381469727,70200,HURN,2726
2004-10-26,20.079999923706055,20.079999923706055,19.06999969482422,19.06999969482422,74700,HURN,2726
2004-10-27,21.0,21.489999771118164,19.200000762939453,19.200000762939453,110600,HURN,2726
2004-10-28,20.1299991607666,21.06999969482422,20.0,20.479999542236328,37300,HURN,2726
2004-10-29,19.5,20.309999465942383,19.5,19.850000381469727,164500,HURN,2726
2004-11-01,19.549999237060547,19.75,19.100000381469727,19.350000381469727,23300,HURN,2726
2004-11-02,19.489999771118164,19.739999771118164,19.0,19.0,35800,HURN,2726
2004-11-03,19.59000015258789,20.15999984741211,19.399999618530273,19.5,47700,HURN,2726
2004-11-04,19.799999237060547,19.799999237060547,19.280000686645508,19.280000686645508,9900,HURN,2726
2004-11-05,20.0,20.229999542236328,19.350000381469727,19.350000381469727,88000,HURN,2726
2004-11-08,19.920000076293945,20.0,19.399999618530273,19.950000762939453,44200,HURN,2726
2004-11-09,19.0,19.950000762939453,18.049999237060547,19.5,86000,HURN,2726
2004-11-10,19.5,19.5,18.75,18.75,55400,HURN,2726
2004-11-11,19.899999618530273,19.899999618530273,19.25,19.479999542236328,8300,HURN,2726
2004-11-12,19.25,19.75,19.25,19.75,27900,HURN,2726
2004-11-15,19.1200008392334,19.450000762939453,19.0,19.25,162100,HURN,2726
2004-11-16,19.84000015258789,19.989999771118164,19.0,19.0,125000,HURN,2726
2004-11-17,20.100000381469727,20.149999618530273,19.65999984741211,19.809999465942383,33000,HURN,2726
2004-11-18,20.450000762939453,21.0,20.100000381469727,20.239999771118164,36600,HURN,2726
2004-11-19,21.020000457763672,21.049999237060547,20.18000030517578,20.6200008392334,82900,HURN,2726
2004-11-22,20.040000915527344,20.969999313354492,19.520000457763672,20.549999237060547,76000,HURN,2726
2004-11-23,19.81999969482422,20.09000015258789,19.020000457763672,19.020000457763672,102400,HURN,2726
2004-11-24,20.059999465942383,20.709999084472656,18.93000030517578,19.059999465942383,176500,HURN,2726
2004-11-26,19.84000015258789,20.75,19.40999984741211,20.610000610351562,26600,HURN,2726
2004-11-29,20.420000076293945,20.469999313354492,19.209999084472656,19.209999084472656,79700,HURN,2726
2004-11-30,21.149999618530273,21.670000076293945,19.950000762939453,20.389999389648438,28700,HURN,2726
2004-12-01,22.450000762939453,22.65999984741211,21.0,21.0,72900,HURN,2726
2004-12-02,22.709999084472656,23.18000030517578,22.010000228881836,22.190000534057617,35100,HURN,2726
2004-12-03,23.950000762939453,23.950000762939453,22.290000915527344,23.18000030517578,60600,HURN,2726
