Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,HZO,HZO,HZO,HZO,HZO,,
Date,,,,,,,
1998-06-03,12.5625,13.0,12.5,12.5,843700,HZO,2749
1998-06-04,12.875,13.0,12.5625,12.5625,103600,HZO,2749
1998-06-05,13.75,14.1875,13.125,13.125,103000,HZO,2749
1998-06-08,13.4375,14.0,13.4375,13.875,56900,HZO,2749
1998-06-09,13.375,13.4375,12.875,13.4375,48400,HZO,2749
1998-06-10,12.75,13.25,12.75,13.25,32600,HZO,2749
1998-06-11,12.625,12.75,12.5,12.75,32600,HZO,2749
1998-06-12,12.5625,12.75,12.5,12.75,53500,HZO,2749
1998-06-15,12.5,12.75,12.5,12.5,21100,HZO,2749
1998-06-16,12.75,12.75,12.5,12.5625,99800,HZO,2749
1998-06-17,12.625,12.625,12.5,12.625,46200,HZO,2749
1998-06-18,12.5,12.625,12.5,12.5625,58300,HZO,2749
1998-06-19,12.5,12.5625,12.5,12.5,87500,HZO,2749
1998-06-22,12.625,12.6875,12.5,12.5,43400,HZO,2749
1998-06-23,12.625,12.75,12.5,12.625,11500,HZO,2749
1998-06-24,12.5,12.625,12.5,12.5625,11900,HZO,2749
1998-06-25,12.5,12.5,12.5,12.5,22200,HZO,2749
1998-06-26,12.5,12.625,12.5,12.5,83400,HZO,2749
1998-06-29,12.5,12.5625,12.5,12.5,13400,HZO,2749
1998-06-30,12.375,12.625,12.375,12.5,101300,HZO,2749
1998-07-01,12.25,12.375,12.25,12.3125,35300,HZO,2749
1998-07-02,12.0,12.125,12.0,12.125,47200,HZO,2749
1998-07-06,12.0,12.25,12.0,12.0,29000,HZO,2749
1998-07-07,12.0,12.25,12.0,12.0,18300,HZO,2749
1998-07-08,12.25,12.375,12.0,12.0,27000,HZO,2749
1998-07-09,12.125,12.25,12.0,12.125,14000,HZO,2749
1998-07-10,12.0,12.0625,12.0,12.0,24300,HZO,2749
1998-07-13,11.9375,12.0,11.875,12.0,14800,HZO,2749
1998-07-14,10.625,11.8125,10.375,11.8125,186600,HZO,2749
1998-07-15,11.5,11.5625,11.25,11.25,33300,HZO,2749
1998-07-16,11.5,11.625,11.375,11.5,4900,HZO,2749
1998-07-17,11.8125,12.0,11.625,11.625,22400,HZO,2749
1998-07-20,11.8125,12.0,11.6875,12.0,14800,HZO,2749
1998-07-21,11.75,12.0,11.75,12.0,35100,HZO,2749
1998-07-22,11.875,12.0,11.5625,11.6875,23000,HZO,2749
1998-07-23,11.5625,11.9375,11.5625,11.9375,7800,HZO,2749
1998-07-24,11.125,11.5,11.0,11.5,35700,HZO,2749
1998-07-27,10.8125,11.0,10.625,11.0,24700,HZO,2749
1998-07-28,10.875,11.125,10.8125,11.0,29000,HZO,2749
1998-07-29,10.9375,11.0625,10.75,11.0625,10000,HZO,2749
1998-07-30,10.625,10.8125,10.375,10.8125,9900,HZO,2749
1998-07-31,10.75,10.75,10.5,10.5,19200,HZO,2749
1998-08-03,10.875,10.875,10.625,10.625,13100,HZO,2749
1998-08-04,9.5,10.875,9.5,10.875,34400,HZO,2749
1998-08-05,9.9375,9.9375,9.3125,9.5625,37200,HZO,2749
1998-08-06,10.1875,10.1875,10.0,10.0,10700,HZO,2749
1998-08-07,10.0625,10.3125,9.9375,10.0625,31900,HZO,2749
1998-08-10,9.5,9.9375,9.5,9.9375,23100,HZO,2749
1998-08-11,9.125,9.1875,8.6875,9.0625,29600,HZO,2749
1998-08-12,9.0625,9.0625,9.0,9.0,17700,HZO,2749
1998-08-13,8.8125,9.0,8.8125,9.0,7500,HZO,2749
1998-08-14,8.4375,8.9375,8.1875,8.8125,15100,HZO,2749
1998-08-17,8.5,8.5,8.0,8.375,26400,HZO,2749
1998-08-18,8.375,8.375,8.25,8.375,6100,HZO,2749
1998-08-19,8.5,8.625,8.25,8.25,31900,HZO,2749
1998-08-20,8.875,8.875,8.5,8.5,44300,HZO,2749
1998-08-21,8.375,8.625,8.3125,8.5625,34500,HZO,2749
1998-08-24,8.5625,8.5625,8.25,8.5,22000,HZO,2749
1998-08-25,9.0,9.125,8.625,8.625,13800,HZO,2749
1998-08-26,8.625,8.875,8.5,8.875,31500,HZO,2749
1998-08-27,8.25,8.5,8.125,8.5,8300,HZO,2749
1998-08-28,8.375,8.75,8.25,8.25,18800,HZO,2749
1998-08-31,8.0,8.5,8.0,8.375,8600,HZO,2749
1998-09-01,7.5625,7.9375,7.5625,7.875,12800,HZO,2749
1998-09-02,7.8125,7.8125,7.5625,7.5625,1400,HZO,2749
1998-09-03,7.625,7.75,7.5625,7.75,6400,HZO,2749
1998-09-04,8.1875,8.25,7.6875,7.6875,9900,HZO,2749
1998-09-08,8.9375,8.9375,8.3125,8.3125,12400,HZO,2749
1998-09-09,9.125,9.3125,8.9375,8.9375,10300,HZO,2749
