Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,ICAD,ICAD,ICAD,ICAD,ICAD,,
Date,,,,,,,
1984-12-13,38.75,41.25,38.75,0.0,30460,ICAD,2770
1984-12-14,40.0,42.5,40.0,0.0,18600,ICAD,2770
1984-12-17,37.5,38.75,37.5,0.0,10460,ICAD,2770
1984-12-18,37.5,38.75,37.5,0.0,7960,ICAD,2770
1984-12-19,37.5,38.75,37.5,0.0,6200,ICAD,2770
1984-12-20,41.25,42.5,41.25,0.0,12600,ICAD,2770
1984-12-21,38.75,40.0,38.75,0.0,5360,ICAD,2770
1984-12-24,37.5,38.75,37.5,0.0,1900,ICAD,2770
1984-12-26,36.25,37.5,36.25,0.0,4300,ICAD,2770
1984-12-27,35.0,37.5,35.0,0.0,5420,ICAD,2770
1984-12-28,35.0,36.25,35.0,0.0,2740,ICAD,2770
1984-12-31,36.25,37.5,36.25,0.0,2700,ICAD,2770
1985-01-02,35.0,37.5,35.0,0.0,5640,ICAD,2770
1985-01-03,32.5,35.0,32.5,0.0,3980,ICAD,2770
1985-01-04,33.75,35.0,33.75,0.0,5080,ICAD,2770
1985-01-07,33.75,34.375,33.75,0.0,5580,ICAD,2770
1985-01-08,33.75,36.25,33.75,0.0,6960,ICAD,2770
1985-01-09,37.5,38.75,37.5,0.0,10620,ICAD,2770
1985-01-10,42.5,43.75,42.5,0.0,29980,ICAD,2770
1985-01-11,42.5,45.0,42.5,0.0,4440,ICAD,2770
1985-01-14,43.75,45.0,43.75,0.0,7260,ICAD,2770
1985-01-15,38.75,41.25,38.75,0.0,4000,ICAD,2770
1985-01-16,40.0,41.25,40.0,0.0,3980,ICAD,2770
1985-01-17,40.0,41.25,40.0,0.0,2740,ICAD,2770
1985-01-18,40.0,40.625,40.0,0.0,1580,ICAD,2770
1985-01-21,41.25,42.5,41.25,0.0,3200,ICAD,2770
1985-01-22,40.625,41.875,40.625,0.0,6860,ICAD,2770
1985-01-23,41.25,41.875,41.25,0.0,1380,ICAD,2770
1985-01-24,41.25,42.5,41.25,0.0,3980,ICAD,2770
1985-01-25,42.5,43.75,42.5,0.0,2700,ICAD,2770
1985-01-28,43.125,43.75,43.125,0.0,3160,ICAD,2770
1985-01-29,45.0,46.25,45.0,0.0,8260,ICAD,2770
1985-01-30,45.625,46.25,45.625,0.0,7200,ICAD,2770
1985-01-31,42.5,43.75,42.5,0.0,3280,ICAD,2770
1985-02-01,42.5,43.75,42.5,0.0,1940,ICAD,2770
1985-02-04,41.25,43.75,41.25,0.0,2820,ICAD,2770
1985-02-05,41.25,43.75,41.25,0.0,2180,ICAD,2770
1985-02-06,41.25,43.75,41.25,0.0,320,ICAD,2770
1985-02-07,41.25,42.5,41.25,0.0,1960,ICAD,2770
1985-02-08,40.0,41.25,40.0,0.0,1900,ICAD,2770
1985-02-11,41.25,41.875,41.25,0.0,2880,ICAD,2770
1985-02-12,41.25,41.875,41.25,0.0,2480,ICAD,2770
1985-02-13,41.25,42.5,41.25,0.0,1520,ICAD,2770
1985-02-14,42.5,43.75,42.5,0.0,3600,ICAD,2770
1985-02-15,44.375,45.0,44.375,0.0,4580,ICAD,2770
1985-02-19,44.375,45.625,44.375,0.0,2120,ICAD,2770
1985-02-20,44.375,45.0,44.375,0.0,1860,ICAD,2770
1985-02-21,42.5,44.375,42.5,0.0,1680,ICAD,2770
1985-02-22,42.5,44.375,42.5,0.0,920,ICAD,2770
1985-02-25,42.5,43.75,42.5,0.0,1660,ICAD,2770
1985-02-26,38.75,41.25,38.75,0.0,3580,ICAD,2770
1985-02-27,38.75,41.25,38.75,0.0,1120,ICAD,2770
1985-02-28,38.125,39.375,38.125,0.0,2080,ICAD,2770
1985-03-01,40.625,42.5,40.625,0.0,3460,ICAD,2770
1985-03-04,40.625,41.875,40.625,0.0,1660,ICAD,2770
1985-03-05,40.625,41.25,40.625,0.0,2360,ICAD,2770
1985-03-06,40.625,42.5,40.625,0.0,3540,ICAD,2770
1985-03-07,41.25,41.875,41.25,0.0,3360,ICAD,2770
1985-03-08,42.5,43.75,42.5,0.0,13520,ICAD,2770
1985-03-11,45.0,45.625,45.0,0.0,4240,ICAD,2770
1985-03-12,43.75,45.625,43.75,0.0,6040,ICAD,2770
1985-03-13,43.75,45.0,43.75,0.0,1740,ICAD,2770
1985-03-14,42.5,44.375,42.5,0.0,3000,ICAD,2770
1985-03-15,42.5,43.125,42.5,0.0,740,ICAD,2770
1985-03-18,43.75,45.0,43.75,0.0,3720,ICAD,2770
1985-03-19,41.875,43.125,41.875,0.0,2600,ICAD,2770
1985-03-20,42.5,44.375,42.5,0.0,2080,ICAD,2770
1985-03-21,43.75,45.0,43.75,0.0,3440,ICAD,2770
1985-03-22,43.75,45.0,43.75,0.0,2300,ICAD,2770
1985-03-25,42.5,43.75,42.5,0.0,2120,ICAD,2770
1985-03-26,42.5,43.75,42.5,0.0,620,ICAD,2770
1985-03-27,42.5,43.75,42.5,0.0,980,ICAD,2770
1985-03-28,45.625,46.875,45.625,0.0,7260,ICAD,2770
1985-03-29,48.75,50.625,48.75,0.0,7600,ICAD,2770
1985-04-01,48.125,49.375,48.125,0.0,1400,ICAD,2770
1985-04-02,48.75,50.0,48.75,0.0,1760,ICAD,2770
1985-04-03,50.0,51.25,50.0,0.0,4740,ICAD,2770
1985-04-04,48.125,49.375,48.125,0.0,5400,ICAD,2770
1985-04-08,48.125,48.125,48.125,48.125,0,ICAD,2770
1985-04-09,44.375,45.625,44.375,0.0,3320,ICAD,2770
1985-04-10,44.375,45.625,44.375,0.0,400,ICAD,2770
1985-04-11,44.375,45.625,44.375,0.0,340,ICAD,2770
1985-04-12,43.125,45.0,43.125,0.0,1540,ICAD,2770
1985-04-15,43.75,45.0,43.75,0.0,1400,ICAD,2770
1985-04-16,43.125,44.375,43.125,0.0,1200,ICAD,2770
1985-04-17,43.125,43.75,43.125,0.0,2200,ICAD,2770
1985-04-18,41.25,42.5,41.25,0.0,3320,ICAD,2770
1985-04-19,40.0,41.25,40.0,0.0,2680,ICAD,2770
1985-04-22,38.75,40.625,38.75,0.0,660,ICAD,2770
1985-04-23,38.75,40.0,38.75,0.0,580,ICAD,2770
1985-04-24,38.75,40.0,38.75,0.0,360,ICAD,2770
1985-04-25,38.75,40.0,38.75,0.0,300,ICAD,2770
1985-04-26,40.0,41.25,40.0,0.0,2960,ICAD,2770
1985-04-29,38.75,40.0,38.75,0.0,1200,ICAD,2770
1985-04-30,38.75,40.0,38.75,0.0,440,ICAD,2770
1985-05-01,37.5,39.375,37.5,0.0,660,ICAD,2770
1985-05-02,38.75,40.0,38.75,0.0,920,ICAD,2770
1985-05-03,39.375,40.0,39.375,0.0,1000,ICAD,2770
1985-05-06,35.0,36.875,35.0,0.0,1720,ICAD,2770
1985-05-07,35.0,36.875,35.0,0.0,460,ICAD,2770
1985-05-08,35.625,37.5,35.625,0.0,560,ICAD,2770
1985-05-09,35.0,36.875,35.0,0.0,1220,ICAD,2770
1985-05-10,37.5,38.75,37.5,0.0,1640,ICAD,2770
1985-05-13,36.25,38.125,36.25,0.0,960,ICAD,2770
1985-05-14,37.5,39.375,37.5,0.0,2400,ICAD,2770
1985-05-15,37.5,38.75,37.5,0.0,860,ICAD,2770
1985-05-16,37.5,38.75,37.5,0.0,680,ICAD,2770
1985-05-17,37.5,38.75,37.5,0.0,2000,ICAD,2770
1985-05-20,38.75,40.0,38.75,0.0,1360,ICAD,2770
1985-05-21,41.25,41.875,41.25,0.0,2660,ICAD,2770
1985-05-22,41.25,42.5,41.25,0.0,2000,ICAD,2770
1985-05-23,42.5,43.75,42.5,0.0,1620,ICAD,2770
1985-05-24,43.125,44.375,43.125,0.0,2940,ICAD,2770
1985-05-28,42.5,43.75,42.5,0.0,540,ICAD,2770
1985-05-29,41.25,43.125,41.25,0.0,2000,ICAD,2770
1985-05-30,40.0,41.25,40.0,0.0,2580,ICAD,2770
1985-05-31,39.375,41.25,39.375,0.0,1160,ICAD,2770
1985-06-03,40.0,40.625,40.0,0.0,1340,ICAD,2770
1985-06-04,41.875,42.5,41.875,0.0,1300,ICAD,2770
1985-06-05,42.5,43.125,42.5,0.0,1880,ICAD,2770
1985-06-06,42.5,43.75,42.5,0.0,1900,ICAD,2770
1985-06-07,44.375,45.625,44.375,0.0,4700,ICAD,2770
1985-06-10,45.625,46.25,45.625,0.0,2540,ICAD,2770
1985-06-11,45.0,46.25,45.0,0.0,3220,ICAD,2770
1985-06-12,44.375,45.625,44.375,0.0,1060,ICAD,2770
1985-06-13,42.5,44.375,42.5,0.0,3220,ICAD,2770
1985-06-14,42.5,43.75,42.5,0.0,4000,ICAD,2770
1985-06-17,40.0,42.5,40.0,0.0,4980,ICAD,2770
1985-06-18,39.375,41.25,39.375,0.0,1440,ICAD,2770
1985-06-19,39.375,40.0,39.375,0.0,1580,ICAD,2770
1985-06-20,38.75,41.25,38.75,0.0,1020,ICAD,2770
1985-06-21,38.75,40.0,38.75,0.0,1720,ICAD,2770
1985-06-24,38.75,40.0,38.75,0.0,560,ICAD,2770
1985-06-25,38.75,40.0,38.75,0.0,3260,ICAD,2770
1985-06-26,35.0,36.25,35.0,0.0,5660,ICAD,2770
1985-06-27,33.125,33.75,33.125,0.0,3040,ICAD,2770
1985-06-28,35.625,36.25,35.625,0.0,6640,ICAD,2770
1985-07-01,35.0,36.25,35.0,0.0,3660,ICAD,2770
1985-07-02,35.625,36.25,35.625,0.0,1820,ICAD,2770
1985-07-03,35.625,36.25,35.625,0.0,400,ICAD,2770
1985-07-05,36.25,37.5,36.25,0.0,840,ICAD,2770
1985-07-08,36.25,37.5,36.25,0.0,1420,ICAD,2770
1985-07-09,36.25,37.5,36.25,0.0,920,ICAD,2770
1985-07-10,36.25,38.125,36.25,0.0,1460,ICAD,2770
1985-07-11,38.125,38.75,38.125,0.0,2660,ICAD,2770
1985-07-12,36.875,38.75,36.875,0.0,1440,ICAD,2770
1985-07-15,36.875,38.75,36.875,0.0,460,ICAD,2770
1985-07-16,36.25,37.5,36.25,0.0,1880,ICAD,2770
1985-07-17,36.25,37.5,36.25,0.0,340,ICAD,2770
1985-07-18,35.625,36.875,35.625,0.0,4360,ICAD,2770
1985-07-19,35.0,35.625,35.0,0.0,3100,ICAD,2770
1985-07-22,33.125,34.375,33.125,0.0,2420,ICAD,2770
1985-07-23,33.125,34.375,33.125,0.0,660,ICAD,2770
1985-07-24,34.375,36.25,34.375,0.0,2780,ICAD,2770
1985-07-25,34.375,35.625,34.375,0.0,520,ICAD,2770
1985-07-26,33.75,35.0,33.75,0.0,1200,ICAD,2770
1985-07-29,33.75,34.375,33.75,0.0,1780,ICAD,2770
1985-07-30,33.75,35.0,33.75,0.0,1760,ICAD,2770
1985-07-31,34.375,35.0,34.375,0.0,1500,ICAD,2770
1985-08-01,34.375,35.0,34.375,0.0,1860,ICAD,2770
1985-08-02,34.375,35.0,34.375,0.0,1740,ICAD,2770
1985-08-05,41.25,41.875,41.25,0.0,8620,ICAD,2770
1985-08-06,43.75,45.0,43.75,0.0,8280,ICAD,2770
1985-08-07,47.5,49.375,47.5,0.0,9240,ICAD,2770
1985-08-08,50.0,51.25,50.0,0.0,15960,ICAD,2770
1985-08-09,47.5,48.125,47.5,0.0,6320,ICAD,2770
1985-08-12,46.25,47.5,46.25,0.0,7260,ICAD,2770
