Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,ICLR,ICLR,ICLR,ICLR,ICLR,,
Date,,,,,,,
1998-05-15,6.359375,6.40625,5.625,5.65625,12074000,ICLR,2781
1998-05-18,6.125,6.28125,5.953125,6.21875,2134000,ICLR,2781
1998-05-19,6.28125,6.34375,6.0625,6.09375,1376400,ICLR,2781
1998-05-20,6.1875,6.3125,6.03125,6.1875,451200,ICLR,2781
1998-05-21,6.1875,6.25,6.125,6.1875,1262400,ICLR,2781
1998-05-22,6.1875,6.28125,6.171875,6.25,199200,ICLR,2781
1998-05-26,6.21875,6.25,6.15625,6.1875,468000,ICLR,2781
1998-05-27,5.984375,6.25,5.890625,6.21875,864000,ICLR,2781
1998-05-28,6.03125,6.078125,5.953125,5.96875,196000,ICLR,2781
1998-05-29,6.375,6.421875,6.0,6.03125,225600,ICLR,2781
1998-06-01,6.375,6.53125,6.375,6.5,494000,ICLR,2781
1998-06-02,6.3125,6.46875,6.28125,6.453125,336800,ICLR,2781
1998-06-03,6.3125,6.40625,6.1875,6.40625,288800,ICLR,2781
1998-06-04,6.1875,6.3125,6.1875,6.1875,76000,ICLR,2781
1998-06-05,6.3125,6.3125,6.21875,6.25,109600,ICLR,2781
1998-06-08,6.75,6.8125,6.3125,6.3125,487200,ICLR,2781
1998-06-09,7.0,7.078125,6.8125,6.8125,199200,ICLR,2781
1998-06-10,7.078125,7.078125,7.0,7.0,547200,ICLR,2781
1998-06-11,7.0,7.125,7.0,7.0625,264000,ICLR,2781
1998-06-12,7.0625,7.0625,7.015625,7.046875,47200,ICLR,2781
1998-06-15,6.890625,7.09375,6.890625,7.03125,407200,ICLR,2781
1998-06-16,6.921875,6.96875,6.875,6.96875,105200,ICLR,2781
1998-06-17,6.6875,6.90625,6.6875,6.890625,260400,ICLR,2781
1998-06-18,6.5,6.75,6.5,6.6875,101600,ICLR,2781
1998-06-19,6.21875,6.4375,6.21875,6.4375,188400,ICLR,2781
1998-06-22,6.21875,6.3125,6.21875,6.3125,374000,ICLR,2781
1998-06-23,6.21875,6.3125,6.203125,6.21875,528800,ICLR,2781
1998-06-24,6.5,6.75,6.21875,6.3125,284400,ICLR,2781
1998-06-25,6.4375,6.625,6.4375,6.4375,470000,ICLR,2781
1998-06-26,6.46875,6.625,6.421875,6.625,203600,ICLR,2781
1998-06-29,6.3125,6.5625,6.15625,6.46875,252800,ICLR,2781
1998-06-30,6.3125,6.34375,6.25,6.25,38800,ICLR,2781
1998-07-01,6.21875,6.375,6.125,6.375,375600,ICLR,2781
1998-07-02,6.15625,6.1875,6.09375,6.125,298800,ICLR,2781
1998-07-06,6.75,6.875,6.09375,6.15625,328400,ICLR,2781
1998-07-07,6.59375,6.75,6.59375,6.65625,201600,ICLR,2781
1998-07-08,6.75,6.75,6.59375,6.75,56400,ICLR,2781
1998-07-09,6.625,6.71875,6.53125,6.5625,258800,ICLR,2781
1998-07-10,6.75,6.75,6.53125,6.75,230000,ICLR,2781
1998-07-13,6.625,6.765625,6.53125,6.765625,30800,ICLR,2781
1998-07-14,6.640625,6.65625,6.59375,6.65625,118400,ICLR,2781
1998-07-15,6.6875,6.6875,6.59375,6.59375,16000,ICLR,2781
1998-07-16,6.4375,6.625,6.375,6.59375,448000,ICLR,2781
1998-07-17,6.6875,6.84375,6.5625,6.5625,65200,ICLR,2781
1998-07-20,7.125,7.125,6.71875,6.8125,590000,ICLR,2781
1998-07-21,7.3125,7.5625,6.9375,7.125,332000,ICLR,2781
1998-07-22,7.40625,7.59375,7.34375,7.5,709600,ICLR,2781
1998-07-23,7.5625,7.59375,7.34375,7.34375,269600,ICLR,2781
1998-07-24,7.5625,7.59375,7.5,7.59375,44000,ICLR,2781
1998-07-27,7.5625,7.5625,7.25,7.3125,108400,ICLR,2781
1998-07-28,7.5625,7.5625,7.34375,7.375,79200,ICLR,2781
1998-07-29,7.625,7.78125,7.375,7.5625,75200,ICLR,2781
