Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,IFBD,IFBD,IFBD,IFBD,IFBD,,
Date,,,,,,,
2021-04-20,24120.0,45000.0,21200.0,28200.0,2107,IFBD,2799
2021-04-21,18960.0,20800.0,16600.0,20280.0,980,IFBD,2799
2021-04-22,17960.0,19960.0,17200.0,18120.0,524,IFBD,2799
2021-04-23,16880.0,18760.0,16800.0,17920.0,342,IFBD,2799
2021-04-26,17320.0,18600.0,16456.0,17280.0,298,IFBD,2799
2021-04-27,17320.0,17640.0,17040.0,17360.0,178,IFBD,2799
2021-04-28,17560.0,17880.0,17200.0,17280.0,176,IFBD,2799
2021-04-29,17200.0,17816.0,16840.0,17800.0,133,IFBD,2799
2021-04-30,16240.0,16920.0,15600.0,16760.0,171,IFBD,2799
2021-05-03,14840.0,15960.0,14640.0,15960.0,166,IFBD,2799
2021-05-04,15560.0,15840.0,14096.0,14320.0,126,IFBD,2799
2021-05-05,15320.0,16160.0,15060.0,15480.0,126,IFBD,2799
2021-05-06,16840.0,20800.0,15560.0,17152.0,4453,IFBD,2799
2021-05-07,17560.0,17600.0,16160.0,16160.0,269,IFBD,2799
2021-05-10,16280.0,17600.0,16280.0,17560.0,116,IFBD,2799
2021-05-11,15480.0,15840.0,14920.0,15480.0,150,IFBD,2799
2021-05-12,15240.0,15840.0,14800.0,14920.0,133,IFBD,2799
2021-05-13,15172.0,15760.0,14820.0,15160.0,96,IFBD,2799
2021-05-14,15480.0,15680.0,14800.0,15320.0,62,IFBD,2799
2021-05-17,15200.0,15360.0,14840.0,15120.0,60,IFBD,2799
2021-05-18,14840.0,15120.0,14720.0,14880.0,96,IFBD,2799
2021-05-19,15160.0,15160.0,14600.0,14680.0,29,IFBD,2799
2021-05-20,15960.0,16800.0,14960.0,15200.0,157,IFBD,2799
2021-05-21,15760.0,16240.0,15400.0,16240.0,44,IFBD,2799
2021-05-24,15280.0,15920.0,15200.0,15600.0,26,IFBD,2799
2021-05-25,15280.0,15560.0,15040.0,15240.0,21,IFBD,2799
2021-05-26,15360.0,15600.0,14840.0,15120.0,72,IFBD,2799
2021-05-27,14920.0,15440.0,14880.0,15240.0,45,IFBD,2799
2021-05-28,15280.0,15520.0,14880.0,14880.0,66,IFBD,2799
2021-06-01,15080.0,15480.0,14880.0,15280.0,41,IFBD,2799
2021-06-02,14960.0,15400.0,14840.0,14920.0,63,IFBD,2799
2021-06-03,14960.0,15400.0,14480.0,14920.0,53,IFBD,2799
2021-06-04,15120.0,15360.0,14840.0,15160.0,80,IFBD,2799
2021-06-07,15040.0,15360.0,15000.0,15160.0,83,IFBD,2799
2021-06-08,16360.0,16360.0,14960.0,15200.0,108,IFBD,2799
2021-06-09,15680.0,16520.0,15664.0,16200.0,54,IFBD,2799
2021-06-10,15720.0,16320.0,15280.0,16320.0,118,IFBD,2799
2021-06-11,15760.0,15960.0,15440.0,15960.0,33,IFBD,2799
2021-06-14,15920.0,16000.0,15400.0,15800.0,64,IFBD,2799
2021-06-15,15440.0,16120.0,15160.0,15960.0,131,IFBD,2799
2021-06-16,14760.0,15760.0,14600.0,15360.0,98,IFBD,2799
2021-06-17,14720.0,15072.0,14600.0,14760.0,29,IFBD,2799
2021-06-18,14240.0,14920.0,14240.0,14600.0,57,IFBD,2799
2021-06-21,13520.0,14480.0,13280.0,14400.0,107,IFBD,2799
2021-06-22,14920.0,15400.0,13000.0,13360.0,267,IFBD,2799
2021-06-23,14880.0,15560.0,14280.0,14960.0,276,IFBD,2799
2021-06-24,15320.0,18840.0,15120.0,17060.0,2237,IFBD,2799
2021-06-25,16240.0,16628.0,15160.0,15320.0,487,IFBD,2799
2021-06-28,15520.0,16280.0,14880.0,16280.0,336,IFBD,2799
2021-06-29,20280.0,24400.0,15480.0,15760.0,13398,IFBD,2799
2021-06-30,18680.0,21920.0,18000.0,19760.0,1999,IFBD,2799
2021-07-01,16720.0,19520.0,16080.0,17560.0,1053,IFBD,2799
2021-07-02,16200.0,17880.0,16000.0,16600.0,275,IFBD,2799
2021-07-06,14600.0,15920.0,14400.0,15800.0,578,IFBD,2799
2021-07-07,14160.0,15160.0,13684.0,14600.0,566,IFBD,2799
