Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,INVX,INVX,INVX,INVX,INVX,,
Date,,,,,,,
1997-10-23,18.5,20.0,15.75,16.0,8491800,INVX,2904
1997-10-24,19.0,20.21875,18.75,20.0,2214400,INVX,2904
1997-10-27,16.5,18.90625,15.5,18.875,937800,INVX,2904
1997-10-28,17.4375,18.125,14.875,14.875,1217400,INVX,2904
1997-10-29,18.5,18.5,17.75,18.0,687600,INVX,2904
1997-10-30,18.625,19.1875,17.5,17.625,494800,INVX,2904
1997-10-31,17.9375,18.96875,17.625,18.8125,189400,INVX,2904
1997-11-03,17.75,18.5,17.5625,18.0625,256000,INVX,2904
1997-11-04,17.625,17.75,17.1875,17.6875,224600,INVX,2904
1997-11-05,18.1875,18.1875,17.25,17.375,302800,INVX,2904
1997-11-06,17.9375,18.5,17.875,18.3125,217400,INVX,2904
1997-11-07,17.75,17.75,17.25,17.5,236000,INVX,2904
1997-11-10,17.8125,18.0625,17.75,17.75,68600,INVX,2904
1997-11-11,17.6875,18.21875,17.625,17.8125,244200,INVX,2904
1997-11-12,17.3125,18.125,17.3125,17.5625,100600,INVX,2904
1997-11-13,16.5625,17.3125,15.25,17.25,495800,INVX,2904
1997-11-14,16.5,17.0625,16.125,16.8125,99000,INVX,2904
1997-11-17,16.75,17.125,16.625,16.8125,98400,INVX,2904
1997-11-18,15.59375,16.75,15.46875,16.75,229800,INVX,2904
1997-11-19,15.1875,15.25,14.625,15.21875,830200,INVX,2904
1997-11-20,15.96875,16.25,15.75,16.0,382200,INVX,2904
1997-11-21,15.625,16.125,15.625,16.0625,75200,INVX,2904
1997-11-24,14.9375,15.625,14.9375,15.625,180000,INVX,2904
1997-11-25,14.6875,15.0,14.0,14.9375,391800,INVX,2904
1997-11-26,15.03125,15.3125,14.75,14.75,195400,INVX,2904
1997-11-28,14.96875,15.03125,14.96875,15.03125,79800,INVX,2904
1997-12-01,14.53125,14.96875,13.75,14.96875,466800,INVX,2904
1997-12-02,15.375,15.5625,14.5,14.5,85600,INVX,2904
1997-12-03,16.5625,17.0,16.0625,16.25,395000,INVX,2904
