Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,IRIX,IRIX,IRIX,IRIX,IRIX,,
Date,,,,,,,
1996-02-16,10.25,11.0,10.0,11.0,2256700,IRIX,2938
1996-02-20,10.0,10.5,10.0,10.0,162200,IRIX,2938
1996-02-21,9.75,10.25,9.75,10.25,147300,IRIX,2938
1996-02-22,10.0,10.25,9.75,9.75,286800,IRIX,2938
1996-02-23,10.75,10.75,10.0,10.125,55300,IRIX,2938
1996-02-26,10.5,10.75,10.25,10.25,55400,IRIX,2938
1996-02-27,10.125,10.75,10.0,10.75,41300,IRIX,2938
1996-02-28,10.375,10.5,10.0,10.0,167700,IRIX,2938
1996-02-29,10.3125,10.75,10.25,10.5,31600,IRIX,2938
1996-03-01,10.375,10.75,10.25,10.25,38000,IRIX,2938
1996-03-04,10.5,10.5,10.25,10.25,5200,IRIX,2938
1996-03-05,10.75,10.75,10.25,10.25,13100,IRIX,2938
1996-03-06,10.25,10.75,10.25,10.5,26400,IRIX,2938
1996-03-07,10.375,10.75,10.25,10.75,55700,IRIX,2938
1996-03-08,10.25,10.5,10.25,10.25,4500,IRIX,2938
1996-03-11,10.25,10.75,10.25,10.75,1000,IRIX,2938
1996-03-12,9.875,10.25,9.5,10.25,14400,IRIX,2938
1996-03-13,9.75,9.875,9.75,9.75,60800,IRIX,2938
1996-03-14,10.0,10.0,10.0,10.0,300,IRIX,2938
1996-03-15,10.0,10.0,10.0,10.0,0,IRIX,2938
1996-03-18,9.875,10.0,9.75,9.875,192700,IRIX,2938
1996-03-19,10.25,10.5,10.25,10.25,54000,IRIX,2938
1996-03-20,10.5,10.5,10.125,10.5,127600,IRIX,2938
1996-03-21,10.75,11.0,10.5,10.75,158100,IRIX,2938
1996-03-22,10.5,10.875,10.5,10.875,2700,IRIX,2938
1996-03-25,10.5,10.875,10.5,10.875,400,IRIX,2938
1996-03-26,10.875,10.875,10.25,10.5,5700,IRIX,2938
1996-03-27,10.375,10.375,10.25,10.25,24000,IRIX,2938
1996-03-28,10.375,10.375,10.375,10.375,0,IRIX,2938
1996-03-29,10.25,10.25,10.25,10.25,2000,IRIX,2938
1996-04-01,10.25,10.375,10.25,10.25,19700,IRIX,2938
1996-04-02,10.3125,10.5,10.25,10.25,60400,IRIX,2938
1996-04-03,10.25,10.25,10.25,10.25,1100,IRIX,2938
1996-04-04,10.5,10.75,10.25,10.25,52300,IRIX,2938
1996-04-08,10.25,10.375,10.25,10.375,8800,IRIX,2938
1996-04-09,10.375,10.75,10.125,10.75,34900,IRIX,2938
1996-04-10,10.25,10.25,10.25,10.25,1200,IRIX,2938
1996-04-11,10.625,11.0,10.625,10.75,42200,IRIX,2938
1996-04-12,10.75,10.875,10.75,10.75,21300,IRIX,2938
1996-04-15,10.75,10.875,10.75,10.875,2500,IRIX,2938
1996-04-16,10.625,11.25,10.5,10.875,331800,IRIX,2938
1996-04-17,10.75,10.75,10.75,10.75,200,IRIX,2938
1996-04-18,10.75,10.75,10.75,10.75,0,IRIX,2938
1996-04-19,11.0,11.25,11.0,11.25,2600,IRIX,2938
1996-04-22,12.0,12.5,11.4375,11.5,67500,IRIX,2938
1996-04-23,12.75,12.75,12.0,12.0,56100,IRIX,2938
1996-04-24,12.25,12.75,12.25,12.75,2400,IRIX,2938
1996-04-25,13.25,13.25,12.6875,12.75,46100,IRIX,2938
1996-04-26,14.75,15.0,13.0,13.125,120200,IRIX,2938
1996-04-29,15.25,15.25,14.5,14.5,226500,IRIX,2938
1996-04-30,15.0,15.75,15.0,15.25,69700,IRIX,2938
1996-05-01,14.125,14.75,14.0,14.75,21300,IRIX,2938
1996-05-02,12.5625,14.0,12.5625,14.0,25600,IRIX,2938
1996-05-03,12.5625,12.75,12.5,12.75,7200,IRIX,2938
1996-05-06,12.75,12.75,12.75,12.75,1300,IRIX,2938
1996-05-07,12.875,13.25,12.625,12.625,23300,IRIX,2938
1996-05-08,14.25,14.25,13.125,13.125,34200,IRIX,2938
1996-05-09,14.0,14.375,13.5,14.25,27700,IRIX,2938
1996-05-10,14.0,14.0,14.0,14.0,1300,IRIX,2938
1996-05-13,13.75,14.0,13.375,13.5,33200,IRIX,2938
1996-05-14,14.0,14.0,13.375,14.0,24800,IRIX,2938
1996-05-15,14.0,14.0,13.375,14.0,8300,IRIX,2938
1996-05-16,14.5,14.5,13.5,13.5,121100,IRIX,2938
1996-05-17,14.5,14.5,14.5,14.5,3800,IRIX,2938
1996-05-20,14.875,15.0,14.75,14.875,31600,IRIX,2938
1996-05-21,14.875,15.25,14.875,14.875,17100,IRIX,2938
1996-05-22,14.875,15.5,14.875,14.875,18900,IRIX,2938
1996-05-23,14.875,15.125,14.75,15.125,37700,IRIX,2938
1996-05-24,15.375,15.375,14.625,15.25,16300,IRIX,2938
1996-05-28,15.5,16.0,15.0,15.25,133300,IRIX,2938
1996-05-29,16.5,17.5,15.75,16.0,56000,IRIX,2938
1996-05-30,16.5,16.75,16.0,16.25,38200,IRIX,2938
1996-05-31,16.5,16.5,16.25,16.5,6300,IRIX,2938
1996-06-03,16.25,16.5,16.0,16.5,238300,IRIX,2938
1996-06-04,16.375,17.0,16.25,17.0,83300,IRIX,2938
1996-06-05,16.375,16.375,16.375,16.375,0,IRIX,2938
1996-06-06,16.25,16.75,16.25,16.25,6400,IRIX,2938
1996-06-07,16.0,16.25,15.5,16.0,14300,IRIX,2938
1996-06-10,15.75,16.25,15.75,15.75,10400,IRIX,2938
1996-06-11,16.75,16.75,16.0,16.0,63900,IRIX,2938
1996-06-12,16.75,16.75,16.5,16.75,38800,IRIX,2938
1996-06-13,16.375,16.5,16.25,16.5,6900,IRIX,2938
1996-06-14,15.75,16.0,15.75,16.0,3300,IRIX,2938
1996-06-17,16.0,16.125,15.875,15.875,9700,IRIX,2938
1996-06-18,15.5,16.25,15.5,16.0,11000,IRIX,2938
1996-06-19,16.125,16.125,15.75,15.75,66000,IRIX,2938
1996-06-20,15.75,16.125,15.75,16.125,3800,IRIX,2938
1996-06-21,15.75,16.0,15.75,16.0,3700,IRIX,2938
1996-06-24,15.75,15.75,15.75,15.75,2500,IRIX,2938
1996-06-25,15.75,16.25,15.75,16.25,2000,IRIX,2938
1996-06-26,15.375,15.75,15.375,15.75,5000,IRIX,2938
1996-06-27,14.875,15.375,14.875,15.375,11000,IRIX,2938
1996-06-28,15.0,15.0,14.75,14.75,3900,IRIX,2938
1996-07-01,14.875,15.25,14.75,14.75,311800,IRIX,2938
1996-07-02,15.5,15.5,15.0,15.125,32300,IRIX,2938
1996-07-03,15.25,15.5,15.0,15.25,10200,IRIX,2938
1996-07-05,15.25,15.25,15.125,15.25,27000,IRIX,2938
1996-07-08,15.0,15.0,15.0,15.0,1000,IRIX,2938
1996-07-09,15.375,15.5,14.75,15.5,80200,IRIX,2938
1996-07-10,15.0,15.0,14.5,15.0,13700,IRIX,2938
1996-07-11,15.0,15.0,14.5,14.5625,5000,IRIX,2938
1996-07-12,14.5,15.0,14.5,15.0,3900,IRIX,2938
1996-07-15,13.0,14.3125,12.75,14.25,15700,IRIX,2938
1996-07-16,12.5,12.5,12.5,12.5,500,IRIX,2938
1996-07-17,12.5,12.75,12.5,12.625,7000,IRIX,2938
1996-07-18,12.75,13.0,12.5,13.0,233400,IRIX,2938
1996-07-19,12.5,13.0,12.5,13.0,2400,IRIX,2938
1996-07-22,12.75,13.0,12.5,13.0,14000,IRIX,2938
1996-07-23,11.5,12.25,11.0,12.25,27000,IRIX,2938
1996-07-24,8.25,11.25,7.5,11.25,283300,IRIX,2938
1996-07-25,6.875,8.25,6.0625,8.25,87500,IRIX,2938
1996-07-26,7.125,7.125,6.5,6.875,205500,IRIX,2938
1996-07-29,8.0,8.0,7.5,7.75,27000,IRIX,2938
1996-07-30,7.625,8.0,7.5,8.0,24800,IRIX,2938
1996-07-31,8.0,8.0,8.0,8.0,115500,IRIX,2938
1996-08-01,8.0,8.0,7.5,8.0,14700,IRIX,2938
1996-08-02,8.0,8.0,7.5,7.5,306700,IRIX,2938
1996-08-05,8.5,8.5,7.75,7.75,54500,IRIX,2938
1996-08-06,8.5,8.5,8.0,8.0,10000,IRIX,2938
1996-08-07,8.25,8.5,8.25,8.5,1400,IRIX,2938
1996-08-08,8.25,8.25,8.25,8.25,0,IRIX,2938
1996-08-09,8.0,8.0,8.0,8.0,1900,IRIX,2938
1996-08-12,8.125,8.5,8.0,8.5,105200,IRIX,2938
1996-08-13,8.0,8.375,8.0,8.0,13000,IRIX,2938
1996-08-14,8.0,8.0,8.0,8.0,0,IRIX,2938
1996-08-15,8.25,8.25,8.25,8.25,8100,IRIX,2938
1996-08-16,8.625,8.625,8.5,8.5,600,IRIX,2938
1996-08-19,8.125,8.125,8.0,8.0,1400,IRIX,2938
1996-08-20,8.0,8.625,8.0,8.625,12000,IRIX,2938
1996-08-21,7.9375,8.625,7.9375,8.625,4600,IRIX,2938
1996-08-22,8.0,8.0,8.0,8.0,3000,IRIX,2938
1996-08-23,7.75,8.0,7.4375,8.0,566000,IRIX,2938
1996-08-26,7.75,8.0,7.75,8.0,11000,IRIX,2938
1996-08-27,8.0,8.0,8.0,8.0,3200,IRIX,2938
1996-08-28,8.0,8.0,7.4375,7.875,613000,IRIX,2938
1996-08-29,8.25,8.5,7.875,8.0,32100,IRIX,2938
1996-08-30,9.5,10.0,8.75,8.75,75600,IRIX,2938
1996-09-03,9.5,10.0,9.5,10.0,33600,IRIX,2938
1996-09-04,9.5,10.0,9.5,10.0,8700,IRIX,2938
1996-09-05,9.75,9.75,9.25,9.5,23400,IRIX,2938
1996-09-06,9.0,9.75,9.0,9.75,12100,IRIX,2938
1996-09-09,9.0,9.5,9.0,9.0,26500,IRIX,2938
1996-09-10,8.9375,9.125,8.75,9.125,51700,IRIX,2938
1996-09-11,8.5,9.0,8.0,8.75,53100,IRIX,2938
1996-09-12,8.0,8.5,8.0,8.5,1200,IRIX,2938
1996-09-13,8.0,8.5,8.0,8.0,25000,IRIX,2938
1996-09-16,7.75,8.5,7.75,8.5,4500,IRIX,2938
1996-09-17,7.5,8.125,7.5,8.0,23200,IRIX,2938
1996-09-18,7.25,7.5,7.25,7.5,1800,IRIX,2938
1996-09-19,7.25,8.0,7.25,7.875,9400,IRIX,2938
1996-09-20,7.25,7.5,7.25,7.25,4400,IRIX,2938
1996-09-23,7.0,7.5,6.0,7.25,514600,IRIX,2938
1996-09-24,7.75,8.0,6.625,6.625,63800,IRIX,2938
1996-09-25,7.5,7.75,7.25,7.75,17300,IRIX,2938
1996-09-26,8.0,8.0,7.0,7.0,70700,IRIX,2938
1996-09-27,7.75,8.25,7.75,8.0,31400,IRIX,2938
1996-09-30,8.25,8.25,7.75,8.25,5100,IRIX,2938
1996-10-01,7.625,8.0,7.5,7.75,5000,IRIX,2938
1996-10-02,7.0,7.75,7.0,7.75,1200,IRIX,2938
1996-10-03,7.25,7.25,6.5,7.25,19200,IRIX,2938
1996-10-04,7.0,7.0,6.75,6.75,26200,IRIX,2938
1996-10-07,6.75,7.25,6.75,6.75,1100,IRIX,2938
1996-10-08,6.75,7.25,6.5,6.75,226400,IRIX,2938
1996-10-09,6.75,7.25,6.75,7.25,6600,IRIX,2938
1996-10-10,7.125,7.5,7.0,7.25,12300,IRIX,2938
1996-10-11,7.0,7.5,7.0,7.5,24300,IRIX,2938
1996-10-14,7.5,7.5,7.0,7.0,3300,IRIX,2938
1996-10-15,6.75,7.0,6.75,6.75,6700,IRIX,2938
1996-10-16,6.375,6.75,6.25,6.75,67300,IRIX,2938
1996-10-17,6.25,7.0,6.25,7.0,30600,IRIX,2938
1996-10-18,8.0,8.0,6.75,7.0,61800,IRIX,2938
1996-10-21,7.25,8.0,7.25,7.75,7900,IRIX,2938
1996-10-22,7.25,7.5,7.0,7.0,8200,IRIX,2938
1996-10-23,7.0,7.5,7.0,7.25,5200,IRIX,2938
1996-10-24,7.0625,7.25,6.5,6.625,35700,IRIX,2938
1996-10-25,7.5,7.5,7.25,7.25,9100,IRIX,2938
1996-10-28,7.875,8.25,7.5,7.75,49700,IRIX,2938
1996-10-29,7.5,7.875,7.5,7.75,33800,IRIX,2938
