Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,LGHL,LGHL,LGHL,LGHL,LGHL,,
Date,,,,,,,
2019-06-21,490.0,537.5,480.5,500.0,248,LGHL,3257
2019-06-24,487.5,487.5,487.5,487.5,98,LGHL,3257
2019-06-25,487.5,488.0,487.5,487.75,11866,LGHL,3257
2019-06-26,487.5,488.0,486.0,487.5,5762,LGHL,3257
2019-06-27,487.0,487.5,487.0,487.0,130,LGHL,3257
2019-06-28,487.04998779296875,487.5,486.5,487.5,11266,LGHL,3257
2019-07-01,490.0,490.0,487.0,487.0,3454,LGHL,3257
2019-07-02,490.0,490.0,489.5,489.5,130,LGHL,3257
2019-07-03,490.0,500.0,490.0,500.0,190,LGHL,3257
2019-07-05,490.0,490.0,490.0,490.0,0,LGHL,3257
2019-07-08,490.5,490.5,490.5,490.5,30,LGHL,3257
2019-07-09,490.5,490.5,490.5,490.5,2,LGHL,3257
2019-07-10,490.5,490.5,490.5,490.5,0,LGHL,3257
2019-07-11,491.0,491.0,491.0,491.0,3382,LGHL,3257
2019-07-12,491.0,491.0,491.0,491.0,0,LGHL,3257
2019-07-15,500.0,500.0,500.0,500.0,200,LGHL,3257
2019-07-16,494.5,494.5,492.5,492.5,184,LGHL,3257
2019-07-17,494.0,494.0,494.0,494.0,4,LGHL,3257
2019-07-18,494.0,494.0,494.0,494.0,4,LGHL,3257
2019-07-19,492.5,492.5,491.5,491.5,92,LGHL,3257
2019-07-22,494.0,494.0,492.5,492.5,3040,LGHL,3257
2019-07-23,493.0,493.0,493.0,493.0,718,LGHL,3257
2019-07-24,493.0,493.0,493.0,493.0,0,LGHL,3257
2019-07-25,493.5,493.5,493.0,493.0,520,LGHL,3257
2019-07-26,493.5,493.5,493.5,493.5,564,LGHL,3257
2019-07-29,505.0,505.0,493.0,493.5,5414,LGHL,3257
2019-07-30,497.5,505.5,493.0,493.0,626,LGHL,3257
2019-07-31,494.0,494.0,492.5,493.5,7008,LGHL,3257
2019-08-01,496.5,505.0,496.5,505.0,6,LGHL,3257
2019-08-02,494.0,494.0,494.0,494.0,6,LGHL,3257
2019-08-05,495.0,496.0,492.5,496.0,338,LGHL,3257
2019-08-06,494.0,495.0,494.0,494.0,198,LGHL,3257
2019-08-07,491.20001220703125,493.0,491.20001220703125,493.0,16,LGHL,3257
2019-08-08,491.20001220703125,493.0,491.20001220703125,493.0,16,LGHL,3257
2019-08-09,493.5,493.5,493.5,493.5,10,LGHL,3257
2019-08-12,493.5,493.5,493.5,493.5,10,LGHL,3257
2019-08-13,495.0,495.0,494.0,494.0,662,LGHL,3257
2019-08-14,494.0,494.0,494.0,494.0,40,LGHL,3257
2019-08-15,498.5,498.5,494.5,494.5,416,LGHL,3257
2019-08-16,495.5,495.5,494.0,494.5,4320,LGHL,3257
2019-08-19,498.5,498.5,495.5,495.5,90,LGHL,3257
2019-08-20,495.0,497.5,494.5,495.0,240,LGHL,3257
2019-08-21,494.5,497.0,494.0,495.5,130,LGHL,3257
2019-08-22,493.5,497.0,491.0,495.0,440,LGHL,3257
2019-08-23,494.0,495.0,493.5,493.5,410,LGHL,3257
2019-08-26,492.5,497.0,492.5,497.0,1756,LGHL,3257
2019-08-27,495.0,495.0,495.0,495.0,10,LGHL,3257
2019-08-28,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-08-29,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-08-30,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-03,494.0,494.0,494.0,494.0,2,LGHL,3257
2019-09-04,494.0,494.0,494.0,494.0,0,LGHL,3257
2019-09-05,494.0,494.0,494.0,494.0,0,LGHL,3257
2019-09-06,494.0,494.0,494.0,494.0,0,LGHL,3257
2019-09-09,494.0,494.0,494.0,494.0,0,LGHL,3257
2019-09-10,495.0,495.0,495.0,495.0,976,LGHL,3257
2019-09-11,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-12,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-13,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-16,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-17,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-18,495.0,495.0,495.0,495.0,2,LGHL,3257
2019-09-19,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-20,495.0,495.0,495.0,495.0,0,LGHL,3257
2019-09-23,495.5,496.5,495.0,496.5,32,LGHL,3257
2019-09-24,498.5,498.5,498.5,498.5,26,LGHL,3257
