Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,MLGO,MLGO,MLGO,MLGO,MLGO,,
Date,,,,,,,
2021-04-13,1944.0,1950.0,1940.0,1942.0,333,MLGO,3591
2021-04-14,1958.0,1960.0,1944.800048828125,1946.0,692,MLGO,3591
2021-04-15,1970.0,2130.0,1960.0,1960.0,1390,MLGO,3591
2021-04-16,1978.0,1988.0,1970.0,1970.0,916,MLGO,3591
2021-04-19,1978.0,1988.0,1978.0,1978.0,295,MLGO,3591
2021-04-20,1984.0,1986.0,1978.0,1980.0,87,MLGO,3591
2021-04-21,1980.0,1980.0,1980.0,1980.0,5,MLGO,3591
2021-04-22,1980.0,1982.5999755859375,1978.0,1980.0,112,MLGO,3591
2021-04-23,1980.0,1983.0,1980.0,1980.0,32,MLGO,3591
2021-04-26,1980.0,1980.0,1980.0,1980.0,0,MLGO,3591
2021-04-27,1980.0,1988.0,1980.0,1986.0,63,MLGO,3591
2021-04-28,1982.0,1982.0,1982.0,1982.0,5,MLGO,3591
2021-04-29,1984.0,1988.0,1980.0,1988.0,43,MLGO,3591
2021-04-30,1988.0,1988.0,1984.0,1984.0,7,MLGO,3591
2021-05-03,1990.0,1990.0,1988.0,1988.0,12,MLGO,3591
2021-05-04,1990.0,1990.0,1988.0,1988.0,13,MLGO,3591
2021-05-05,1992.0,1992.0,1990.0,1990.0,42,MLGO,3591
2021-05-06,1990.0,1992.0,1986.0,1990.0,14,MLGO,3591
2021-05-07,1992.0,1992.0,1990.0,1990.0,19,MLGO,3591
2021-05-10,1992.0,1992.0,1992.0,1992.0,0,MLGO,3591
2021-05-11,1992.0,1992.0,1990.0,1990.0,25,MLGO,3591
2021-05-12,1992.0,1992.0,1992.0,1992.0,0,MLGO,3591
2021-05-13,1982.0,1982.0,1982.0,1982.0,8,MLGO,3591
2021-05-14,1982.0,1982.0,1982.0,1982.0,0,MLGO,3591
2021-05-17,1982.0,1982.0,1982.0,1982.0,0,MLGO,3591
2021-05-18,1974.0,1974.0,1974.0,1974.0,7,MLGO,3591
2021-05-19,1968.0,1972.0,1934.0,1970.0,198,MLGO,3591
2021-05-20,1968.0,1968.0,1968.0,1968.0,2,MLGO,3591
2021-05-21,1968.0,1968.0,1968.0,1968.0,0,MLGO,3591
2021-05-24,1968.0,1970.0,1968.0,1970.0,2,MLGO,3591
2021-05-25,1974.0,1974.0,1968.0,1968.0,2,MLGO,3591
2021-05-26,1982.0,1982.0,1974.0,1980.0,31,MLGO,3591
2021-05-27,1982.0,1982.0,1980.0,1980.0,47,MLGO,3591
2021-05-28,1982.0,1982.0,1982.0,1982.0,5,MLGO,3591
2021-06-01,1982.0,1982.0,1982.0,1982.0,11,MLGO,3591
2021-06-02,1982.0,1986.0,1982.0,1982.0,12,MLGO,3591
2021-06-03,1986.0,1986.0,1986.0,1986.0,3,MLGO,3591
2021-06-04,1986.0,1986.0,1984.0,1984.0,295,MLGO,3591
2021-06-07,1986.0,1986.0,1986.0,1986.0,0,MLGO,3591
2021-06-08,1986.0,1986.0,1986.0,1986.0,4,MLGO,3591
2021-06-09,1988.0,1988.0,1984.0,1986.0,32,MLGO,3591
2021-06-10,1990.0,2000.0,1978.0,1988.0,1828,MLGO,3591
2021-06-11,2006.0,2012.5999755859375,1990.0,1990.0,326,MLGO,3591
2021-06-14,1992.0,2010.0,1990.0,2004.0,308,MLGO,3591
2021-06-15,1990.0,1996.0,1986.0,1992.0,1048,MLGO,3591
2021-06-16,1990.0,2000.0,1988.0,1989.0,234,MLGO,3591
2021-06-17,1996.0,1996.0,1990.0,1990.4000244140625,211,MLGO,3591
2021-06-18,1990.0,1996.0,1988.0,1992.0,217,MLGO,3591
2021-06-21,1988.0,1994.0,1988.0,1988.0,138,MLGO,3591
2021-06-22,1994.0,1994.0,1988.0,1994.0,212,MLGO,3591
2021-06-23,1988.0,1996.0,1988.0,1988.0,100,MLGO,3591
2021-06-24,1996.0,1996.0,1988.0,1990.0,121,MLGO,3591
2021-06-25,1988.0,1996.0,1988.0,1992.0,197,MLGO,3591
2021-06-28,1990.0,1996.0,1988.0,1994.0,121,MLGO,3591
2021-06-29,1990.0,1994.0,1986.0,1993.199951171875,222,MLGO,3591
2021-06-30,1990.0,2000.0,1986.0,1998.0,611,MLGO,3591
2021-07-01,1990.0,1996.0,1986.0,1996.0,465,MLGO,3591
2021-07-02,1990.0,1996.0,1990.0,1996.0,442,MLGO,3591
2021-07-06,1994.0,1998.0,1986.0,1986.0,200,MLGO,3591
2021-07-07,1990.0,2000.0,1990.0,1994.0,333,MLGO,3591
2021-07-08,1995.0,2000.0,1989.199951171875,1996.0,105,MLGO,3591
2021-07-09,2002.0,2002.0,1988.0,1998.0,111,MLGO,3591
2021-07-12,1990.0,2008.0,1988.0,1994.0,123,MLGO,3591
2021-07-13,1992.0,2008.0,1990.0,1992.0,73,MLGO,3591
2021-07-14,1990.0,1999.0,1988.0,1999.0,67,MLGO,3591
2021-07-15,1990.0,2006.0,1986.0,1994.0,86,MLGO,3591
2021-07-16,1995.5999755859375,1996.0,1988.0,1990.0,32,MLGO,3591
2021-07-19,1990.0,1996.0,1986.0,1994.0,42,MLGO,3591
2021-07-20,1992.0,1998.800048828125,1991.0,1991.0,54,MLGO,3591
2021-07-21,1996.0,1998.0,1990.0,1991.199951171875,50,MLGO,3591
2021-07-22,2000.0,2000.0,1990.0,1994.0,36,MLGO,3591
2021-07-23,1990.0,1996.0,1990.0,1996.0,46,MLGO,3591
2021-07-26,1990.0,1994.0,1988.0,1994.0,92,MLGO,3591
2021-07-27,1996.0,2000.0,1988.0,1991.0,92,MLGO,3591
2021-07-28,1995.800048828125,1996.0,1990.0,1992.0,126,MLGO,3591
2021-07-29,1992.0,2000.0,1990.0,1990.0,112,MLGO,3591
2021-07-30,1990.0,1996.0,1988.0,1994.0,72,MLGO,3591
2021-08-02,1994.800048828125,1996.0,1991.0,1992.800048828125,55,MLGO,3591
2021-08-03,1990.0,2000.0,1990.0,1996.0,131,MLGO,3591
2021-08-04,1996.0,1996.0,1988.0,1994.0,40,MLGO,3591
2021-08-05,1990.0,1996.0,1990.0,1996.0,52,MLGO,3591
2021-08-06,1990.0,1994.0,1989.0,1994.0,40,MLGO,3591
2021-08-09,1988.0,1992.0,1988.0,1990.0,47,MLGO,3591
2021-08-10,1988.0,1992.0,1988.0,1992.0,68,MLGO,3591
2021-08-11,1992.0,1994.0,1988.0,1988.0,41,MLGO,3591
2021-08-12,1988.0,1992.0,1988.0,1992.0,523,MLGO,3591
2021-08-13,1996.0,1996.0,1990.0,1990.0,20,MLGO,3591
2021-08-16,2000.0,2000.0,1988.0,1992.0,34,MLGO,3591
2021-08-17,1990.0,2006.0,1988.0,2006.0,21,MLGO,3591
2021-08-18,1994.0,2008.0,1992.0,1992.0,17,MLGO,3591
2021-08-19,1994.0,1994.0,1992.0,1994.0,27,MLGO,3591
2021-08-20,1991.800048828125,1992.0,1988.0,1992.0,43,MLGO,3591
2021-08-23,1996.0,1998.0,1996.0,1996.0,11,MLGO,3591
2021-08-24,1996.0,2004.0,1991.800048828125,2004.0,29,MLGO,3591
2021-08-25,1990.4000244140625,2000.0,1990.0,1990.0,27,MLGO,3591
2021-08-26,1992.0,1994.0,1992.0,1994.0,25,MLGO,3591
2021-08-27,1999.0,2005.800048828125,1992.0,1992.0,17,MLGO,3591
2021-08-30,1996.0,1996.0,1992.0,1994.0,66,MLGO,3591
2021-08-31,1992.0,1994.0,1991.199951171875,1994.0,8,MLGO,3591
2021-09-01,1996.199951171875,2004.0,1991.5999755859375,1992.0,28,MLGO,3591
