Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,NAAS,NAAS,NAAS,NAAS,NAAS,,
Date,,,,,,,
2017-10-20,1661.0,1786.0,1600.0,1605.0,115447,NAAS,3771
2017-10-23,1514.0,1749.699951171875,1471.0,1719.0,25868,NAAS,3771
2017-10-24,1427.0,1532.0,1355.0,1532.0,21661,NAAS,3771
2017-10-25,1221.0,1465.0,1110.0,1433.0,37713,NAAS,3771
2017-10-26,1230.0,1312.0,1167.0,1173.0,17462,NAAS,3771
2017-10-27,1374.0,1394.0,1236.0,1244.0,15840,NAAS,3771
2017-10-30,1436.0,1439.0,1370.0,1379.0,8734,NAAS,3771
2017-10-31,1414.0,1449.0,1405.0,1435.0,6578,NAAS,3771
2017-11-01,1292.0,1436.0,1226.0,1403.0,17583,NAAS,3771
2017-11-02,1285.0,1342.0,1239.0,1290.0,5876,NAAS,3771
2017-11-03,1333.0,1342.0,1290.0,1290.0,1451,NAAS,3771
2017-11-06,1357.0,1364.0,1250.0,1324.0,5681,NAAS,3771
2017-11-07,1275.0,1373.0,1240.0,1351.0,4727,NAAS,3771
2017-11-08,1231.0,1319.0,1220.0,1319.0,2757,NAAS,3771
2017-11-09,1213.0,1239.0,1201.0,1219.0,2782,NAAS,3771
2017-11-10,1142.0,1218.0,1105.0,1212.0,10041,NAAS,3771
2017-11-13,1081.0,1142.0,1063.0,1142.0,8424,NAAS,3771
2017-11-14,1032.0,1118.0,1021.0,1111.0,6943,NAAS,3771
2017-11-15,972.0,1023.0,959.5,1023.0,7900,NAAS,3771
2017-11-16,989.0,1029.699951171875,960.0,991.0,11869,NAAS,3771
2017-11-17,1069.0,1085.0,985.0,991.0,6423,NAAS,3771
2017-11-20,978.0,1072.0,962.0,1061.0,6788,NAAS,3771
2017-11-21,975.0,1002.0,950.0,972.0,5399,NAAS,3771
2017-11-22,1006.0,1014.0,975.0,976.0,2715,NAAS,3771
2017-11-24,963.0,980.0,952.0,975.0,6833,NAAS,3771
2017-11-27,1059.0,1071.0,975.0,985.0,6535,NAAS,3771
2017-11-28,992.0,1079.0,950.0,1073.0,8510,NAAS,3771
2017-11-29,997.0,1022.7000122070312,980.0,1000.0,4050,NAAS,3771
2017-11-30,1017.0,1020.0,981.0,1005.0,3657,NAAS,3771
2017-12-01,1006.0,1033.0,992.0,1017.0,3664,NAAS,3771
2017-12-04,1007.0,1012.5,999.0,1009.0,2232,NAAS,3771
2017-12-05,1037.0,1050.0,1001.0,1001.0,1881,NAAS,3771
2017-12-06,1056.0,1070.0,1020.0,1036.0,2403,NAAS,3771
2017-12-07,1081.0,1097.0,1056.0,1056.0,2278,NAAS,3771
2017-12-08,1115.0,1128.0,1086.0,1088.0,2244,NAAS,3771
2017-12-11,1176.0,1198.0,1124.0,1124.0,5425,NAAS,3771
2017-12-12,1230.0,1231.0,1150.0,1176.0,5559,NAAS,3771
2017-12-13,1197.0,1267.0,1191.0,1215.0,3986,NAAS,3771
2017-12-14,1220.0,1259.5,1175.0,1207.0,3566,NAAS,3771
2017-12-15,1236.0,1275.0,1198.5,1207.0,2067,NAAS,3771
2017-12-18,1234.0,1264.0,1195.0,1246.0,4592,NAAS,3771
2017-12-19,1261.0,1273.0,1219.0,1243.0,1969,NAAS,3771
2017-12-20,1253.0,1279.0,1231.0,1279.0,2979,NAAS,3771
2017-12-21,1255.0,1265.0,1202.0,1246.0,3634,NAAS,3771
2017-12-22,1250.0,1260.0,1219.0,1247.0,1515,NAAS,3771
2017-12-26,1280.0,1296.0,1231.0,1240.0,1307,NAAS,3771
2017-12-27,1424.0,1440.0,1291.0,1291.0,9328,NAAS,3771
2017-12-28,1462.0,1468.0,1392.0,1420.0,3257,NAAS,3771
2017-12-29,1479.0,1519.0,1419.0,1429.0,4020,NAAS,3771
2018-01-02,1488.0,1506.0,1453.0,1490.0,2979,NAAS,3771
2018-01-03,1531.0,1542.5,1440.0,1476.0,4677,NAAS,3771
2018-01-04,1511.0,1566.5,1485.0,1543.0,3610,NAAS,3771
2018-01-05,1500.0,1522.5,1480.0,1500.0,2724,NAAS,3771
2018-01-08,1494.0,1531.0,1460.0,1509.0,2373,NAAS,3771
2018-01-09,1449.0,1503.0,1446.0,1496.0,2815,NAAS,3771
2018-01-10,1491.0,1505.0,1465.0,1465.0,3046,NAAS,3771
2018-01-11,1498.0,1510.0,1477.0,1491.0,3809,NAAS,3771
2018-01-12,1496.0,1511.0,1448.5999755859375,1499.0,1972,NAAS,3771
2018-01-16,1464.0,1506.0,1456.0,1506.0,4707,NAAS,3771
2018-01-17,1496.0,1508.0,1459.0,1471.0,2042,NAAS,3771
2018-01-18,1495.0,1506.0,1473.0,1485.0,2292,NAAS,3771
2018-01-19,1630.0,1670.0,1493.9000244140625,1500.0,7261,NAAS,3771
2018-01-22,1630.0,1672.0,1618.0,1650.0,4384,NAAS,3771
2018-01-23,1606.0,1632.0,1567.0,1617.0,3388,NAAS,3771
2018-01-24,1640.0,1671.0,1570.0,1598.0,4198,NAAS,3771
2018-01-25,1634.0,1653.0,1624.0,1653.0,3303,NAAS,3771
2018-01-26,1630.0,1659.0,1611.0,1637.0,3953,NAAS,3771
2018-01-29,1650.0,1657.0,1625.0,1625.0,3185,NAAS,3771
2018-01-30,1645.0,1655.0,1600.0,1650.0,2889,NAAS,3771
2018-01-31,1645.0,1656.0,1626.0,1645.0,3391,NAAS,3771
2018-02-01,1645.0,1650.0,1614.0,1650.0,3760,NAAS,3771
2018-02-02,1600.0,1650.0,1579.0,1649.0,3769,NAAS,3771
2018-02-05,1400.0,1583.0,1305.0,1583.0,4998,NAAS,3771
2018-02-06,1561.0,1565.0,1312.0999755859375,1372.0,5458,NAAS,3771
2018-02-07,1580.0,1592.0,1408.0999755859375,1488.0,3755,NAAS,3771
2018-02-08,1527.0,1610.0,1501.0,1591.0,2570,NAAS,3771
2018-02-09,1554.0,1560.0,1460.699951171875,1520.0,3370,NAAS,3771
2018-02-12,1597.0,1600.0,1544.0,1565.0,2203,NAAS,3771
2018-02-13,1600.0,1601.0,1567.0,1586.0,2330,NAAS,3771
2018-02-14,1634.0,1638.0,1575.0,1600.0,1925,NAAS,3771
2018-02-15,1647.0,1650.0,1618.0,1642.0,759,NAAS,3771
2018-02-16,1639.0,1650.0,1614.0,1650.0,568,NAAS,3771
2018-02-20,1638.0,1660.0,1610.0,1640.0,1446,NAAS,3771
2018-02-21,1631.0,1642.0,1600.0,1642.0,1634,NAAS,3771
2018-02-22,1606.0,1637.0,1581.0,1637.0,1138,NAAS,3771
2018-02-23,1648.0,1660.0,1602.5,1619.0,689,NAAS,3771
2018-02-26,1592.0,1650.0,1590.0,1650.0,1176,NAAS,3771
2018-02-27,1649.0,1658.5,1577.0,1589.0,983,NAAS,3771
2018-02-28,1649.0,1650.0,1606.0999755859375,1637.0,2720,NAAS,3771
2018-03-01,1555.0,1644.0,1555.0,1644.0,1132,NAAS,3771
2018-03-02,1538.0,1565.0,1423.0,1565.0,2446,NAAS,3771
2018-03-05,1539.0,1546.0,1513.0,1521.0,335,NAAS,3771
2018-03-06,1584.0,1599.0,1514.0,1549.0,744,NAAS,3771
2018-03-07,1581.0,1593.0,1541.0,1571.0,330,NAAS,3771
2018-03-08,1565.0,1594.0,1545.5,1579.0,520,NAAS,3771
2018-03-09,1567.0,1614.0,1545.0,1571.0,740,NAAS,3771
2018-03-12,1708.0,1724.0,1552.0,1576.0,4364,NAAS,3771
2018-03-13,1741.0,1860.0,1708.0,1712.0,3417,NAAS,3771
2018-03-14,1708.0,1750.0,1690.0,1750.0,2016,NAAS,3771
2018-03-15,1634.0,1800.0,1613.0,1736.0,2152,NAAS,3771
2018-03-16,1434.0,1785.0,1412.0,1688.0,3194,NAAS,3771
2018-03-19,1648.0,1650.0,1441.0,1441.0,4882,NAAS,3771
2018-03-20,1698.0,1725.0,1603.0,1639.0,4325,NAAS,3771
2018-03-21,1703.0,1714.0,1619.0,1700.0,1411,NAAS,3771
2018-03-22,1547.0,1685.0,1525.0,1685.0,1487,NAAS,3771
2018-03-23,1583.0,1640.0,1531.699951171875,1534.0,1836,NAAS,3771
2018-03-26,1494.0,1602.0,1473.0999755859375,1602.0,1287,NAAS,3771
2018-03-27,1506.0,1562.9000244140625,1492.0,1504.0,821,NAAS,3771
2018-03-28,1510.0,1548.0,1497.0,1501.0,1063,NAAS,3771
2018-03-29,1531.0,1552.0,1491.0999755859375,1510.0,534,NAAS,3771
2018-04-02,1502.0,1530.0,1470.0,1518.0,688,NAAS,3771
2018-04-03,1488.0,1530.0,1467.0,1497.0,585,NAAS,3771
2018-04-04,1506.0,1521.0,1452.0,1459.0,332,NAAS,3771
2018-04-05,1528.0,1567.0,1470.0,1517.0,392,NAAS,3771
2018-04-06,1495.0,1524.0,1484.0,1515.0,216,NAAS,3771
2018-04-09,1536.0,1600.0,1509.0,1509.0,724,NAAS,3771
2018-04-10,1498.0,1569.0,1498.0,1552.0,1202,NAAS,3771
2018-04-11,1539.0,1560.0,1467.0999755859375,1508.0,383,NAAS,3771
2018-04-12,1536.0,1593.0,1519.0,1550.0,193,NAAS,3771
2018-04-13,1504.0,1533.0,1470.0,1533.0,304,NAAS,3771
2018-04-16,1493.0,1520.0,1481.0,1507.0,168,NAAS,3771
2018-04-17,1497.0,1526.5,1490.0,1500.0,202,NAAS,3771
2018-04-18,1509.0,1519.4000244140625,1491.0,1495.0,278,NAAS,3771
2018-04-19,1582.0,1590.0,1509.0,1509.0,465,NAAS,3771
2018-04-20,1610.0,1610.0,1521.0,1591.0,196,NAAS,3771
2018-04-23,1603.0,1610.0,1540.0,1598.0,564,NAAS,3771
2018-04-24,1624.0,1659.0,1567.0,1599.0,475,NAAS,3771
2018-04-25,1645.0,1650.0,1554.0,1610.0,1064,NAAS,3771
2018-04-26,1572.0,1645.0,1556.300048828125,1645.0,345,NAAS,3771
2018-04-27,1595.0,1631.0,1576.0,1631.0,458,NAAS,3771
2018-04-30,1633.0,1644.0,1518.0999755859375,1608.0,584,NAAS,3771
2018-05-01,1560.0,1621.0,1560.0,1621.0,131,NAAS,3771
2018-05-02,1570.0,1590.0,1560.0,1579.0,351,NAAS,3771
2018-05-03,1563.0,1581.0,1555.0,1577.0,450,NAAS,3771
2018-05-04,1558.0,1586.0,1554.0,1586.0,278,NAAS,3771
2018-05-07,1569.0,1583.0,1565.0,1565.0,328,NAAS,3771
2018-05-08,1554.0,1598.5,1550.0,1565.0,242,NAAS,3771
2018-05-09,1602.0,1639.0,1567.0,1567.0,655,NAAS,3771
2018-05-10,1617.0,1653.0,1605.0,1623.0,1210,NAAS,3771
2018-05-11,1715.0,1818.0,1617.0,1640.0,6479,NAAS,3771
2018-05-14,1721.0,1772.0,1706.0,1761.0,1903,NAAS,3771
2018-05-15,1775.0,1799.0,1712.0999755859375,1712.0999755859375,720,NAAS,3771
2018-05-16,1702.0,1800.0,1698.0,1775.0,1854,NAAS,3771
2018-05-17,1634.0,1699.0,1601.0,1630.0,1047,NAAS,3771
2018-05-18,1587.0,1648.0,1560.0,1570.0,1400,NAAS,3771
2018-05-21,1624.0,1655.0,1579.0,1579.0,978,NAAS,3771
2018-05-22,1611.0,1645.0,1580.0,1638.0,827,NAAS,3771
2018-05-23,1618.0,1637.5,1610.0,1611.0,407,NAAS,3771
2018-05-24,1603.0,1620.0,1584.5,1620.0,538,NAAS,3771
2018-05-25,1602.0,1630.0,1572.0,1572.0,739,NAAS,3771
2018-05-29,1593.0,1619.0,1584.0,1598.0,502,NAAS,3771
2018-05-30,1574.0,1599.5,1550.0,1599.0,865,NAAS,3771
2018-05-31,1569.0,1677.0,1563.0,1612.0,2670,NAAS,3771
2018-06-01,1638.0,1649.5,1577.0,1600.0,837,NAAS,3771
