Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,NTCT,NTCT,NTCT,NTCT,NTCT,,
Date,,,,,,,
1999-08-12,13.75,15.0,11.125,12.0,3495500,NTCT,3978
1999-08-13,13.875,15.625,13.875,14.5,846700,NTCT,3978
1999-08-16,13.0625,13.875,12.625,13.875,315800,NTCT,3978
1999-08-17,13.0,13.25,12.0,13.0,195100,NTCT,3978
1999-08-18,12.625,13.0625,12.5,13.0,188400,NTCT,3978
1999-08-19,13.3125,13.75,12.125,12.625,170300,NTCT,3978
1999-08-20,15.625,16.4375,13.625,13.875,422100,NTCT,3978
1999-08-23,20.375,20.875,16.375,16.375,984600,NTCT,3978
1999-08-24,17.75,20.0,17.75,19.75,501200,NTCT,3978
1999-08-25,17.75,18.5625,16.5625,18.25,313200,NTCT,3978
1999-08-26,19.0,19.4375,18.0,18.0625,197600,NTCT,3978
1999-08-27,20.375,20.375,18.5,19.71875,173400,NTCT,3978
1999-08-30,23.25,24.0,21.0,21.0,362300,NTCT,3978
1999-08-31,23.625,24.0625,21.0,23.9375,286500,NTCT,3978
1999-09-01,27.6875,27.875,23.625,23.96875,394800,NTCT,3978
1999-09-02,34.0,36.25,25.5625,26.0,873800,NTCT,3978
1999-09-03,36.5,41.25,36.0,37.75,923500,NTCT,3978
1999-09-07,31.0,35.875,29.125,32.0,711600,NTCT,3978
1999-09-08,28.25,31.375,28.0,30.4375,658000,NTCT,3978
1999-09-09,29.125,31.125,28.25,29.65625,554000,NTCT,3978
1999-09-10,26.625,29.625,25.375,29.25,501400,NTCT,3978
1999-09-13,23.625,26.25,22.0,26.0,464200,NTCT,3978
1999-09-14,27.0,27.625,22.375,23.75,503600,NTCT,3978
1999-09-15,26.5,30.875,26.25,30.5,574200,NTCT,3978
1999-09-16,26.375,27.5,23.25,27.0,309800,NTCT,3978
1999-09-17,26.8125,28.0,24.75,27.1875,179600,NTCT,3978
1999-09-20,26.0,27.375,25.1875,26.375,89000,NTCT,3978
1999-09-21,24.0,25.8125,24.0,25.8125,139900,NTCT,3978
1999-09-22,24.25,24.375,22.5,23.3125,241900,NTCT,3978
1999-09-23,21.5625,24.875,21.25,24.75,178200,NTCT,3978
1999-09-24,23.0,23.0,20.0,20.0,185500,NTCT,3978
1999-09-27,21.875,25.75,21.875,25.5,247300,NTCT,3978
1999-09-28,22.5,22.5,20.78125,21.875,83500,NTCT,3978
1999-09-29,20.75,22.9375,20.5,22.4375,84300,NTCT,3978
1999-09-30,21.4375,22.0,19.375,21.5625,229900,NTCT,3978
1999-10-01,22.5,22.5,20.9375,21.25,51200,NTCT,3978
1999-10-04,22.0,23.25,21.25,22.125,51800,NTCT,3978
1999-10-05,23.125,24.4375,22.125,22.9375,180500,NTCT,3978
1999-10-06,23.4375,24.5,22.5,22.5,89400,NTCT,3978
1999-10-07,22.875,24.625,22.625,23.625,126400,NTCT,3978
1999-10-08,24.25,24.375,23.0,23.6875,102000,NTCT,3978
1999-10-11,27.0,27.0,24.5,24.5625,224400,NTCT,3978
1999-10-12,24.0,27.125,24.0,26.9375,125700,NTCT,3978
1999-10-13,24.0,25.8125,22.875,22.875,80100,NTCT,3978
1999-10-14,24.375,24.8125,23.25,24.125,80100,NTCT,3978
1999-10-15,22.8125,24.25,22.5,23.0,66500,NTCT,3978
