Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,NVRI,NVRI,NVRI,NVRI,NVRI,,
Date,,,,,,,
1980-03-17,1.063993215560913,1.0803624687620275,1.063993215560913,0.0,42000,NVRI,4024
1980-03-18,1.023070216178894,1.0721775805609297,1.023070216178894,0.0,307200,NVRI,4024
1980-03-19,1.0394384860992432,1.0394384860992432,1.0312540549936435,0.0,13200,NVRI,4024
1980-03-20,1.0353469848632812,1.0435314201347237,1.0353469848632812,0.0,128400,NVRI,4024
1980-03-21,1.023070216178894,1.039439087866601,1.023070216178894,0.0,388800,NVRI,4024
1980-03-24,1.0148850679397583,1.0312543088395283,1.0107930387093151,0.0,34800,NVRI,4024
1980-03-25,0.982147753238678,1.0026090398779388,0.982147753238678,0.0,42000,NVRI,4024
1980-03-26,0.9944241642951965,0.9944241642951965,0.9903317588972035,0.0,126000,NVRI,4024
1980-03-27,0.9739631414413452,0.9903320179969519,0.9739631414413452,0.0,46800,NVRI,4024
1980-03-28,0.9903311133384705,0.9903311133384705,0.9821466825370704,0.0,50400,NVRI,4024
1980-03-31,0.9903311133384705,0.998515918799097,0.9903311133384705,0.0,7200,NVRI,4024
1980-04-01,0.9985163807868958,0.9985163807868958,0.9944239761631323,0.0,8400,NVRI,4024
1980-04-02,1.0353469848632812,1.0353469848632812,1.0067008994240865,0.0,51600,NVRI,4024
1980-04-03,1.0394384860992432,1.0435308889816632,1.0312540549936435,0.0,18000,NVRI,4024
1980-04-07,1.0435316562652588,1.0435316562652588,1.0435316562652588,0.0,6000,NVRI,4024
1980-04-08,1.0476235151290894,1.0476235151290894,1.0394387076199385,0.0,54000,NVRI,4024
1980-04-09,1.0476235151290894,1.0476235151290894,1.043531111374514,0.0,20400,NVRI,4024
1980-04-10,1.0476235151290894,1.0599003517334955,1.0476235151290894,0.0,31200,NVRI,4024
1980-04-11,1.0476235151290894,1.05580794797892,1.0476235151290894,0.0,26400,NVRI,4024
1980-04-14,1.0476235151290894,1.0517155442243447,1.0476235151290894,0.0,19200,NVRI,4024
1980-04-15,1.0476235151290894,1.0517155442243447,1.0476235151290894,0.0,10800,NVRI,4024
1980-04-16,1.0394384860992432,1.0558077229696827,1.0394384860992432,0.0,14400,NVRI,4024
1980-04-17,1.023070216178894,1.039439087866601,1.023070216178894,0.0,16800,NVRI,4024
1980-04-18,1.023070216178894,1.0312546520227475,1.0148854056755834,0.0,25200,NVRI,4024
1980-04-21,0.9985163807868958,1.0230700592106767,0.9985163807868958,0.0,68400,NVRI,4024
1980-04-22,1.0107934474945068,1.0107934474945068,0.9985166055195108,0.0,282000,NVRI,4024
1980-04-23,1.0148850679397583,1.0230698757193095,1.0148850679397583,0.0,52800,NVRI,4024
1980-04-24,1.0148850679397583,1.0148850679397583,1.0067006348195395,0.0,66000,NVRI,4024
1980-04-25,1.0189781188964844,1.0230705253850019,1.0189781188964844,0.0,6000,NVRI,4024
1980-04-28,1.023070216178894,1.023070216178894,1.023070216178894,0.0,4800,NVRI,4024
1980-04-29,1.023070216178894,1.023070216178894,1.0148854056755834,0.0,36000,NVRI,4024
1980-04-30,1.006701111793518,1.0230703604490217,0.9985166747955213,0.0,14400,NVRI,4024
1980-05-01,1.0107934474945068,1.0148854783798495,1.0107934474945068,0.0,7200,NVRI,4024
1980-05-02,1.006701111793518,1.0148855487915147,1.006701111793518,0.0,16800,NVRI,4024
1980-05-05,1.002608060836792,1.002608060836792,1.002608060836792,0.0,2400,NVRI,4024
1980-05-06,1.002608060836792,1.002608060836792,1.002608060836792,0.0,2400,NVRI,4024
1980-05-07,1.002608060836792,1.002608060836792,1.002608060836792,0.0,20400,NVRI,4024
1980-05-08,0.9985163807868958,1.0026084107512594,0.9985163807868958,0.0,46800,NVRI,4024
1980-05-09,1.002608060836792,1.002608060836792,0.9985160323005636,0.0,18000,NVRI,4024
1980-05-12,1.006701111793518,1.006701111793518,1.006701111793518,0.0,10800,NVRI,4024
1980-05-13,1.006701111793518,1.006701111793518,1.006701111793518,0.0,7200,NVRI,4024
1980-05-14,1.002608060836792,1.0067004640322892,1.002608060836792,0.0,6000,NVRI,4024
1980-05-15,1.0435316562652588,1.0435316562652588,1.0107935331120697,0.0,68400,NVRI,4024
1980-05-16,1.0435316562652588,1.0435316562652588,1.0435316562652588,0.0,205200,NVRI,4024
1980-05-19,1.0189781188964844,1.0394394020199305,1.0189781188964844,0.0,28800,NVRI,4024
1980-05-20,1.0148850679397583,1.0148850679397583,1.0148850679397583,0.0,4800,NVRI,4024
1980-05-21,1.0107934474945068,1.0148854783798495,1.0107934474945068,0.0,3600,NVRI,4024
1980-05-22,1.0148850679397583,1.018977471829534,1.0148850679397583,0.0,10800,NVRI,4024
1980-05-23,1.0189781188964844,1.0230705253850019,1.0189781188964844,0.0,9600,NVRI,4024
1980-05-27,1.0312546491622925,1.0312546491622925,1.0230702133411407,0.0,40800,NVRI,4024
1980-05-28,1.0476235151290894,1.0476235151290894,1.031254274770108,0.0,110400,NVRI,4024
1980-05-29,1.0476235151290894,1.05580794797892,1.0476235151290894,0.0,16800,NVRI,4024
1980-05-30,1.0517162084579468,1.055808614797168,1.0394393640998403,0.0,55200,NVRI,4024
1980-06-02,1.0517162084579468,1.0517162084579468,1.0517162084579468,0.0,13200,NVRI,4024
1980-06-03,1.0517162084579468,1.059901021136389,1.0517162084579468,0.0,7200,NVRI,4024
1980-06-04,1.0476235151290894,1.05580794797892,1.0476235151290894,0.0,26400,NVRI,4024
1980-06-05,1.0599009990692139,1.0599009990692139,1.0558085928151968,0.0,12000,NVRI,4024
1980-06-06,1.072177767753601,1.072177767753601,1.0599009245146649,0.0,22800,NVRI,4024
1980-06-09,1.0517162084579468,1.059901021136389,1.0517162084579468,0.0,39600,NVRI,4024
1980-06-10,1.0599009990692139,1.063993030663682,1.0558085928151968,0.0,22800,NVRI,4024
1980-06-11,1.063993215560913,1.0721780294912773,1.063993215560913,0.0,18000,NVRI,4024
1980-06-12,1.063993215560913,1.0721780294912773,1.063993215560913,0.0,9600,NVRI,4024
