Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,QNRX,QNRX,QNRX,QNRX,QNRX,,
Date,,,,,,,
2016-08-01,15900.0,16080.0,15450.0,15750.0,57,QNRX,4613
2016-08-02,15300.0,15750.0,15030.0,15750.0,18,QNRX,4613
2016-08-03,14700.0,15300.0,14130.0,15300.0,26,QNRX,4613
2016-08-04,13890.0,14730.0,13890.0,14670.0,9,QNRX,4613
2016-08-05,14100.0,14970.0,13650.0,14970.0,8,QNRX,4613
2016-08-08,14880.0,14970.0,14400.0,14430.0,11,QNRX,4613
2016-08-09,15600.0,15810.0,15450.0,15660.0,27,QNRX,4613
2016-08-10,15000.0,15750.0,14820.0,15750.0,7,QNRX,4613
2016-08-11,15120.0,15540.0,15120.0,15540.0,1,QNRX,4613
2016-08-12,15570.0,15570.0,14487.0,14487.0,2,QNRX,4613
2016-08-15,14970.0,15000.0,14490.0,15000.0,5,QNRX,4613
2016-08-16,14670.0,15150.0,14580.0,14790.0,3,QNRX,4613
2016-08-17,14430.0,14430.0,14100.0,14190.0,7,QNRX,4613
2016-08-18,13170.0,14190.0,12900.0,14190.0,14,QNRX,4613
2016-08-19,13770.0,13800.0,12900.0,12900.0,9,QNRX,4613
2016-08-22,13920.0,13950.0,13302.0,13740.0,8,QNRX,4613
2016-08-23,14370.0,14820.0,14235.0,14820.0,6,QNRX,4613
2016-08-24,14280.0,14700.0,14070.0,14700.0,6,QNRX,4613
2016-08-25,14220.0,14250.0,14076.0,14076.0,2,QNRX,4613
2016-08-26,14460.0,14460.0,13890.0,13920.0,1,QNRX,4613
2016-08-29,14310.0,14310.0,13965.0,14130.0,2,QNRX,4613
2016-08-30,14130.0,14190.0,13950.0,14190.0,1,QNRX,4613
2016-08-31,13410.0,13920.0,13350.0,13830.0,7,QNRX,4613
2016-09-01,13200.0,13320.0,12930.0,13260.0,8,QNRX,4613
2016-09-02,13290.0,13290.0,12720.0,13200.0,5,QNRX,4613
2016-09-06,13770.0,14010.0,13470.0,14010.0,11,QNRX,4613
2016-09-07,13890.0,13890.0,13380.0,13650.0,1,QNRX,4613
2016-09-08,13890.0,14040.0,13890.0,13920.0,3,QNRX,4613
2016-09-09,13302.0,13710.0,13260.0,13650.0,16,QNRX,4613
2016-09-12,13830.0,13830.0,13500.0,13530.0,2,QNRX,4613
2016-09-13,13830.0,13950.0,13740.0,13950.0,2,QNRX,4613
2016-09-14,13590.0,13830.0,13290.0,13830.0,5,QNRX,4613
2016-09-15,13380.0,13590.0,13380.0,13590.0,1,QNRX,4613
2016-09-16,13560.0,13950.0,13380.0,13470.0,6,QNRX,4613
2016-09-19,14280.0,14280.0,14070.0,14100.0,5,QNRX,4613
2016-09-20,13950.0,13980.0,13530.0,13980.0,3,QNRX,4613
2016-09-21,13500.0,13680.0,13206.0,13680.0,4,QNRX,4613
2016-09-22,13470.0,13530.0,13170.0,13500.0,2,QNRX,4613
2016-09-23,13590.0,13590.0,13140.0,13350.0,1,QNRX,4613
2016-09-26,13320.0,13470.0,13170.0,13470.0,2,QNRX,4613
2016-09-27,13440.0,13440.0,13200.0,13260.0,2,QNRX,4613
2016-09-28,13920.0,13920.0,13356.0,13500.0,2,QNRX,4613
2016-09-29,13620.0,13740.0,13110.0,13740.0,3,QNRX,4613
2016-09-30,13800.0,14100.0,13710.0,14100.0,4,QNRX,4613
2016-10-03,13755.0,13824.0,13290.0,13824.0,2,QNRX,4613
2016-10-04,13890.0,13890.0,13710.0,13800.0,1,QNRX,4613
2016-10-05,13710.0,13710.0,13500.0,13650.0,4,QNRX,4613
2016-10-06,13620.0,13650.0,13380.0,13650.0,3,QNRX,4613
2016-10-07,13830.0,13830.0,13500.0,13740.0,1,QNRX,4613
2016-10-10,13200.0,13500.0,13050.0,13500.0,3,QNRX,4613
2016-10-11,13230.0,13380.0,12900.0,12900.0,1,QNRX,4613
2016-10-12,13200.0,13260.0,13110.0,13260.0,0,QNRX,4613
2016-10-13,12960.0,13110.0,12090.0,13050.0,5,QNRX,4613
2016-10-14,12660.0,13380.0,12360.0,12750.0,1,QNRX,4613
2016-10-17,12570.0,12900.0,12210.0,12630.0,2,QNRX,4613
2016-10-18,12690.0,12870.0,12090.0,12360.0,2,QNRX,4613
2016-10-19,12300.0,12300.0,11880.0,12150.0,1,QNRX,4613
2016-10-20,11550.0,11910.0,11550.0,11880.0,2,QNRX,4613
2016-10-21,11586.0,11586.0,11040.0,11550.0,2,QNRX,4613
2016-10-24,12120.0,12237.0,11520.0,11520.0,6,QNRX,4613
2016-10-25,12480.0,12480.0,12480.0,12480.0,0,QNRX,4613
2016-10-26,12840.0,12840.0,11880.0,12480.0,1,QNRX,4613
2016-10-27,12180.0,12600.0,12000.0,12540.0,4,QNRX,4613
2016-10-28,12900.0,12900.0,12060.0,12078.0,3,QNRX,4613
2016-10-31,12573.0,12720.0,12573.0,12690.0,1,QNRX,4613
2016-11-01,12450.0,12450.0,12300.0,12390.0,1,QNRX,4613
2016-11-02,12330.0,12480.0,12180.0,12180.0,1,QNRX,4613
2016-11-03,12300.0,12300.0,12300.0,12300.0,0,QNRX,4613
2016-11-04,12300.0,12300.0,12000.0,12270.0,1,QNRX,4613
2016-11-07,11850.0,11850.0,11340.0,11520.0,1,QNRX,4613
2016-11-08,11280.0,12420.0,11280.0,11580.0,1,QNRX,4613
2016-11-09,10680.0,11610.0,10440.0,11460.0,8,QNRX,4613
2016-11-10,11400.0,11595.0,10617.0,10860.0,3,QNRX,4613
2016-11-11,11190.0,11340.0,10950.0,11340.0,1,QNRX,4613
2016-11-14,10950.0,11550.0,10560.0,11220.0,5,QNRX,4613
2016-11-15,10656.0,10725.0,10656.0,10668.0,0,QNRX,4613
2016-11-16,10656.0,10656.0,10656.0,10656.0,0,QNRX,4613
2016-11-17,10380.0,10500.0,10350.0,10500.0,1,QNRX,4613
2016-11-18,10680.0,10680.0,10680.0,10680.0,0,QNRX,4613
2016-11-21,10320.0,10320.0,9930.0,10140.0,1,QNRX,4613
2016-11-22,10170.0,10170.0,10170.0,10170.0,0,QNRX,4613
2016-11-23,10170.0,10170.0,10170.0,10170.0,0,QNRX,4613
2016-11-25,10143.0,10143.0,10143.0,10143.0,0,QNRX,4613
2016-11-28,9990.0,10140.0,9990.0,10110.0,1,QNRX,4613
2016-11-29,9864.0,10290.0,9864.0,10290.0,0,QNRX,4613
2016-11-30,9600.0,9600.0,9600.0,9600.0,1,QNRX,4613
2016-12-01,8538.0,8820.0,8130.0,8790.0,4,QNRX,4613
2016-12-02,8850.0,8850.0,8250.0,8250.0,2,QNRX,4613
2016-12-05,8460.0,8880.0,7980.0,8790.0,7,QNRX,4613
2016-12-06,8190.0,8499.0,8190.0,8460.0,4,QNRX,4613
2016-12-07,8010.0,8100.0,7650.0,8100.0,3,QNRX,4613
2016-12-08,8400.0,8640.0,8160.0,8160.0,1,QNRX,4613
2016-12-09,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-12,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-13,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-14,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-15,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-16,8400.0,8400.0,8400.0,8400.0,0,QNRX,4613
2016-12-19,8190.0,8250.0,7800.0,7860.0,1,QNRX,4613
2016-12-20,8190.0,8190.0,8190.0,8190.0,0,QNRX,4613
2016-12-21,7980.0,8190.0,7380.0,7380.0,1,QNRX,4613
2016-12-22,7980.0,7980.0,7980.0,7980.0,0,QNRX,4613
2016-12-23,8079.0,8250.0,6900.0,6900.0,2,QNRX,4613
2016-12-27,8400.0,9000.0,8400.0,8910.0,6,QNRX,4613
2016-12-28,9240.0,9660.0,8850.0,8850.0,3,QNRX,4613
2016-12-29,9120.0,9150.0,8700.0,8700.0,1,QNRX,4613
2016-12-30,9270.0,9270.0,9270.0,9270.0,0,QNRX,4613
2017-01-03,9204.0,9570.0,9204.0,9570.0,1,QNRX,4613
2017-01-04,9840.0,10500.0,9570.0,9570.0,4,QNRX,4613
2017-01-05,10350.0,10350.0,10350.0,10350.0,0,QNRX,4613
2017-01-06,9750.0,9750.0,9750.0,9750.0,0,QNRX,4613
2017-01-09,10044.0,10500.0,9750.0,10170.0,4,QNRX,4613
2017-01-10,10578.0,10650.0,10428.0,10635.0,1,QNRX,4613
2017-01-11,9960.0,9960.0,9750.0,9750.0,2,QNRX,4613
2017-01-12,18330.0,26340.0,12141.0,13350.0,2504,QNRX,4613
2017-01-13,13050.0,17235.0,12300.0,16200.0,173,QNRX,4613
2017-01-17,10830.0,13500.0,10500.0,13500.0,45,QNRX,4613
2017-01-18,11580.0,12000.0,11250.0,11610.0,31,QNRX,4613
2017-01-19,11280.0,11880.0,11130.0,11850.0,9,QNRX,4613
2017-01-20,11460.0,11460.0,11010.0,11040.0,11,QNRX,4613
2017-01-23,10620.0,10680.0,10200.0,10200.0,18,QNRX,4613
2017-01-24,10140.0,10266.0,9750.0,9900.0,16,QNRX,4613
2017-01-25,10080.0,10830.0,9930.0,10560.0,15,QNRX,4613
2017-01-26,9870.0,10290.0,9450.0,10200.0,11,QNRX,4613
2017-01-27,9540.0,9870.0,9327.0,9870.0,8,QNRX,4613
2017-01-30,9417.0,9750.0,9300.0,9420.0,13,QNRX,4613
2017-01-31,9291.0,9480.0,8820.0,8820.0,10,QNRX,4613
2017-02-01,10350.0,11550.0,9510.0,9510.0,26,QNRX,4613
2017-02-02,12060.0,17130.0,10668.0,10920.0,137,QNRX,4613
2017-02-03,11220.0,12030.0,10440.0,11700.0,23,QNRX,4613
2017-02-06,12150.0,12735.0,11790.0,12210.0,12,QNRX,4613
2017-02-07,12510.0,13017.0,12330.0,12330.0,9,QNRX,4613
2017-02-08,14880.0,20310.0,14220.0,16260.0,1891,QNRX,4613
2017-02-09,14970.0,15570.0,13890.0,13890.0,74,QNRX,4613
2017-02-10,15180.0,15300.0,14700.0,14700.0,28,QNRX,4613
2017-02-13,15450.0,15450.0,14670.0,15150.0,34,QNRX,4613
2017-02-14,18360.0,20250.0,15360.0,15360.0,519,QNRX,4613
2017-02-15,18000.0,19200.0,17172.0,18000.0,80,QNRX,4613
2017-02-16,17490.0,18450.0,17250.0,18450.0,34,QNRX,4613
2017-02-17,17490.0,17910.0,17100.0,17310.0,12,QNRX,4613
2017-02-21,20160.0,23310.0,19590.0,21300.0,632,QNRX,4613
2017-02-22,18150.0,20610.0,17910.0,20610.0,49,QNRX,4613
2017-02-23,18660.0,19320.0,18090.0,18090.0,14,QNRX,4613
2017-02-24,18420.0,19419.0,18060.0,18750.0,10,QNRX,4613
2017-02-27,18750.0,19500.0,18420.0,19050.0,17,QNRX,4613
2017-02-28,19770.0,20970.0,18660.0,18660.0,56,QNRX,4613
2017-03-01,20430.0,21000.0,19890.0,20220.0,22,QNRX,4613
2017-03-02,20550.0,21870.0,20430.0,20550.0,24,QNRX,4613
2017-03-03,20220.0,21750.0,19680.0,21750.0,8,QNRX,4613
2017-03-06,19050.0,20130.0,18780.0,20130.0,13,QNRX,4613
2017-03-07,19230.0,19290.0,18000.0,18840.0,12,QNRX,4613
2017-03-08,19530.0,20010.0,19020.0,19320.0,10,QNRX,4613
2017-03-09,19050.0,19530.0,18615.0,19350.0,6,QNRX,4613
2017-03-10,19950.0,20517.0,18978.0,19104.0,6,QNRX,4613
2017-03-13,19170.0,19815.0,19080.0,19680.0,13,QNRX,4613
2017-03-14,18780.0,19050.0,18720.0,18960.0,7,QNRX,4613
2017-03-15,19080.0,19425.0,18900.0,19050.0,6,QNRX,4613
2017-03-16,18690.0,19170.0,18300.0,18870.0,5,QNRX,4613
2017-03-17,19050.0,19530.0,18720.0,19050.0,3,QNRX,4613
2017-03-20,18720.0,19050.0,18720.0,19050.0,4,QNRX,4613
2017-03-21,18030.0,18900.0,18000.0,18900.0,9,QNRX,4613
2017-03-22,17820.0,18357.0,17469.0,17910.0,10,QNRX,4613
2017-03-23,18681.0,19290.0,18150.0,19290.0,7,QNRX,4613
2017-03-24,18792.0,19239.0,18300.0,18300.0,2,QNRX,4613
2017-03-27,32700.0,40500.0,25650.0,26310.0,3042,QNRX,4613
2017-03-28,24900.0,32250.0,23700.0,30960.0,417,QNRX,4613
