Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,RGLS,RGLS,RGLS,RGLS,RGLS,,
Date,,,,,,,
2012-10-09,525.5999755859375,532.7999877929688,508.79998779296875,532.7999877929688,297,RGLS,4737
2012-10-10,498.0,522.0,498.0,522.0,170,RGLS,4737
2012-10-11,498.0,514.7999877929688,482.3999938964844,514.7999877929688,427,RGLS,4737
2012-10-12,508.79998779296875,528.0,504.0,528.0,40,RGLS,4737
2012-10-15,508.79998779296875,525.5999755859375,504.0,511.20001220703125,476,RGLS,4737
2012-10-16,504.0,520.7999877929688,498.0,510.0,418,RGLS,4737
2012-10-17,502.79998779296875,510.0,499.20001220703125,505.20001220703125,473,RGLS,4737
2012-10-18,535.2000122070312,535.2000122070312,492.0,492.0,1130,RGLS,4737
2012-10-19,566.4000244140625,592.7999877929688,506.3999938964844,506.3999938964844,2392,RGLS,4737
2012-10-22,576.0,590.4000244140625,541.2000122070312,590.4000244140625,212,RGLS,4737
2012-10-23,580.7999877929688,588.0,554.4000244140625,580.7999877929688,165,RGLS,4737
2012-10-24,614.4000244140625,646.7999877929688,580.7999877929688,594.0,402,RGLS,4737
2012-10-25,616.7999877929688,628.7999877929688,608.4000244140625,624.0,501,RGLS,4737
2012-10-26,613.2000122070312,613.2000122070312,606.0,612.0,150,RGLS,4737
2012-10-31,573.5999755859375,624.0,518.4000244140625,624.0,292,RGLS,4737
2012-11-01,598.7999877929688,626.4000244140625,588.0,626.4000244140625,114,RGLS,4737
2012-11-02,571.2000122070312,602.4000244140625,571.2000122070312,594.0,75,RGLS,4737
2012-11-05,603.5999755859375,622.7999877929688,528.0,583.2000122070312,362,RGLS,4737
2012-11-06,600.0,608.4000244140625,580.7999877929688,601.2000122070312,168,RGLS,4737
2012-11-07,596.4000244140625,600.0,564.0,588.0,144,RGLS,4737
2012-11-08,570.0,600.0,570.0,598.7999877929688,89,RGLS,4737
2012-11-09,589.2000122070312,600.0,553.2000122070312,582.0,294,RGLS,4737
2012-11-12,588.0,600.0,558.0,558.0,248,RGLS,4737
2012-11-13,564.0,564.0,564.0,564.0,5,RGLS,4737
2012-11-14,584.4000244140625,586.7999877929688,556.7999877929688,576.0,217,RGLS,4737
2012-11-15,568.7999877929688,574.7999877929688,540.0,550.7999877929688,83,RGLS,4737
2012-11-16,562.7999877929688,578.4000244140625,526.7999877929688,540.0,331,RGLS,4737
2012-11-19,556.7999877929688,562.7999877929688,530.4000244140625,537.5999755859375,295,RGLS,4737
2012-11-20,522.0,543.5999755859375,510.0,540.0,195,RGLS,4737
2012-11-21,541.2000122070312,542.4000244140625,522.0,522.0,230,RGLS,4737
2012-11-23,574.7999877929688,574.7999877929688,540.0,540.0,33,RGLS,4737
2012-11-26,564.0,574.7999877929688,532.7999877929688,562.7999877929688,59,RGLS,4737
2012-11-27,568.7999877929688,572.4000244140625,543.5999755859375,559.2000122070312,43,RGLS,4737
2012-11-28,520.7999877929688,568.7999877929688,498.0,535.2000122070312,400,RGLS,4737
2012-11-29,570.0,570.0,522.0,550.7999877929688,257,RGLS,4737
2012-11-30,570.0,603.5999755859375,558.0,603.5999755859375,140,RGLS,4737
2012-12-03,577.2000122070312,579.5999755859375,558.0,579.5999755859375,88,RGLS,4737
2012-12-04,562.7999877929688,579.5999755859375,541.2000122070312,579.5999755859375,235,RGLS,4737
2012-12-05,552.0,582.0,537.5999755859375,566.4000244140625,288,RGLS,4737
2012-12-06,564.0,564.0,536.4000244140625,555.5999755859375,131,RGLS,4737
2012-12-07,536.4000244140625,570.0,529.2000122070312,561.5999755859375,172,RGLS,4737
2012-12-10,556.7999877929688,567.5999755859375,528.0,567.5999755859375,247,RGLS,4737
2012-12-11,532.7999877929688,562.7999877929688,529.2000122070312,538.7999877929688,161,RGLS,4737
2012-12-12,552.0,556.7999877929688,508.79998779296875,530.4000244140625,115,RGLS,4737
2012-12-13,552.0,556.7999877929688,525.5999755859375,555.5999755859375,142,RGLS,4737
2012-12-14,519.5999755859375,572.4000244140625,519.5999755859375,542.4000244140625,191,RGLS,4737
2012-12-17,542.4000244140625,574.7999877929688,522.0,537.5999755859375,321,RGLS,4737
2012-12-18,594.0,597.5999755859375,546.0,546.0,553,RGLS,4737
2012-12-19,618.0,624.0,558.0,558.0,636,RGLS,4737
2012-12-20,624.0,624.0,609.5999755859375,624.0,1250,RGLS,4737
2012-12-21,624.0,626.4000244140625,588.0,610.7999877929688,10688,RGLS,4737
2012-12-24,618.0,714.0,612.0,662.4000244140625,1108,RGLS,4737
2012-12-26,621.5999755859375,645.5999755859375,597.5999755859375,622.7999877929688,386,RGLS,4737
2012-12-27,686.4000244140625,716.4000244140625,625.2000122070312,625.2000122070312,474,RGLS,4737
2012-12-28,720.0,736.7999877929688,682.7999877929688,694.7999877929688,881,RGLS,4737
2012-12-31,756.0,778.7999877929688,723.5999755859375,723.5999755859375,843,RGLS,4737
2013-01-02,766.7999877929688,774.0,728.4000244140625,774.0,528,RGLS,4737
2013-01-03,752.4000244140625,780.0,744.0,771.5999755859375,343,RGLS,4737
2013-01-04,715.2000122070312,780.0,690.0,763.2000122070312,503,RGLS,4737
2013-01-07,709.2000122070312,739.2000122070312,691.2000122070312,716.4000244140625,383,RGLS,4737
2013-01-08,727.2000122070312,741.5999755859375,680.4000244140625,708.0,330,RGLS,4737
2013-01-09,718.7999877929688,727.2000122070312,704.4000244140625,727.2000122070312,206,RGLS,4737
2013-01-10,681.5999755859375,722.4000244140625,672.0,721.2000122070312,339,RGLS,4737
2013-01-11,619.2000122070312,682.7999877929688,600.0,682.7999877929688,1103,RGLS,4737
2013-01-14,567.5999755859375,614.4000244140625,561.5999755859375,576.0,799,RGLS,4737
2013-01-15,582.0,588.0,560.4000244140625,566.4000244140625,186,RGLS,4737
2013-01-16,607.2000122070312,610.7999877929688,564.0,582.0,123,RGLS,4737
2013-01-17,634.7999877929688,634.7999877929688,595.2000122070312,610.7999877929688,121,RGLS,4737
2013-01-18,646.7999877929688,658.7999877929688,600.0,631.2000122070312,127,RGLS,4737
2013-01-22,668.4000244140625,678.0,616.7999877929688,649.2000122070312,402,RGLS,4737
2013-01-23,696.0,708.0,664.7999877929688,684.0,213,RGLS,4737
2013-01-24,704.4000244140625,711.5999755859375,636.0,694.7999877929688,293,RGLS,4737
2013-01-25,690.0,717.5999755859375,674.4000244140625,704.4000244140625,313,RGLS,4737
2013-01-28,688.7999877929688,711.5999755859375,672.0,688.7999877929688,262,RGLS,4737
2013-01-29,700.7999877929688,711.5999755859375,682.7999877929688,686.4000244140625,139,RGLS,4737
