Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,RZLT,RZLT,RZLT,RZLT,RZLT,,
Date,,,,,,,
2013-01-14,480.0,600.0,375.0,375.0,47,RZLT,4880
2013-01-15,495.0,495.0,480.0,480.0,17,RZLT,4880
2013-01-16,495.0,495.0,495.0,495.0,0,RZLT,4880
2013-01-17,465.0,480.0,420.0,480.0,37,RZLT,4880
2013-01-18,510.0,537.0,495.0,495.0,39,RZLT,4880
2013-01-22,600.0,660.0,600.0,660.0,14,RZLT,4880
2013-01-23,675.0,750.0,606.0,606.0,15,RZLT,4880
2013-01-24,750.0,750.0,675.0,675.0,1,RZLT,4880
2013-01-25,675.0,750.0,675.0,750.0,12,RZLT,4880
2013-01-28,675.0,675.0,675.0,675.0,0,RZLT,4880
2013-01-29,600.0,600.0,600.0,600.0,8,RZLT,4880
2013-01-30,600.0,600.0,600.0,600.0,0,RZLT,4880
2013-01-31,600.0,600.0,600.0,600.0,1,RZLT,4880
2013-02-01,600.0,600.0,600.0,600.0,0,RZLT,4880
2013-02-04,600.0,600.0,600.0,600.0,0,RZLT,4880
2013-02-05,600.0,600.0,600.0,600.0,0,RZLT,4880
2013-02-06,660.0,660.0,660.0,660.0,1,RZLT,4880
2013-02-07,660.0,660.0,660.0,660.0,0,RZLT,4880
2013-02-08,660.0,750.0,615.0,660.0,4,RZLT,4880
2013-02-11,525.0,600.0,525.0,600.0,20,RZLT,4880
2013-02-12,480.0,555.0,480.0,495.0,25,RZLT,4880
2013-02-13,480.0,480.0,480.0,480.0,0,RZLT,4880
2013-02-14,480.0,480.0,480.0,480.0,0,RZLT,4880
2013-02-15,480.0,480.0,480.0,480.0,0,RZLT,4880
2013-02-19,615.0,675.0,495.0,600.0,330,RZLT,4880
2013-02-20,615.0,705.0,570.0,675.0,180,RZLT,4880
2013-02-21,600.0,645.0,600.0,645.0,18,RZLT,4880
2013-02-22,540.0,585.0,540.0,585.0,142,RZLT,4880
2013-02-25,540.0,675.0,540.0,555.0,82,RZLT,4880
2013-02-26,510.0,540.0,453.0,540.0,106,RZLT,4880
2013-02-27,483.0,510.0,483.0,510.0,10,RZLT,4880
2013-02-28,480.0,483.0,480.0,483.0,27,RZLT,4880
2013-03-01,465.0,495.0,465.0,480.0,124,RZLT,4880
2013-03-04,495.0,534.0,465.0,510.0,321,RZLT,4880
2013-03-05,480.0,480.0,480.0,480.0,73,RZLT,4880
2013-03-06,453.0,474.0,453.0,474.0,25,RZLT,4880
2013-03-07,471.0,471.0,447.0,456.0,97,RZLT,4880
2013-03-08,447.0,465.0,447.0,465.0,15,RZLT,4880
2013-03-11,447.0,465.0,420.0,450.0,18,RZLT,4880
2013-03-12,435.0,450.0,420.0,447.0,16,RZLT,4880
2013-03-13,378.0,420.0,378.0,420.0,37,RZLT,4880
2013-03-14,450.0,510.0,417.0,417.0,278,RZLT,4880
2013-03-15,477.0,492.0,456.0,480.0,29,RZLT,4880
2013-03-18,474.0,480.0,450.0,480.0,83,RZLT,4880
2013-03-19,465.0,474.0,450.0,474.0,25,RZLT,4880
2013-03-20,435.0,450.0,435.0,450.0,13,RZLT,4880
2013-03-21,405.0,435.0,405.0,435.0,16,RZLT,4880
2013-03-22,420.0,426.0,420.0,426.0,18,RZLT,4880
2013-03-25,435.0,435.0,381.0,405.0,59,RZLT,4880
2013-03-26,429.0,450.0,420.0,435.0,30,RZLT,4880
2013-03-27,384.0,420.0,378.0,405.0,39,RZLT,4880
2013-03-28,420.0,435.0,387.0,405.0,148,RZLT,4880
2013-04-01,420.0,420.0,420.0,420.0,2,RZLT,4880
2013-04-02,375.0,420.0,300.0,387.0,271,RZLT,4880
2013-04-03,390.0,390.0,345.0,375.0,33,RZLT,4880
2013-04-04,405.0,405.0,363.0,399.0,22,RZLT,4880
2013-04-05,405.0,405.0,360.0,363.0,121,RZLT,4880
2013-04-08,306.0,405.0,306.0,405.0,19,RZLT,4880
2013-04-09,354.0,372.0,339.0,372.0,31,RZLT,4880
2013-04-10,369.0,369.0,354.0,360.0,64,RZLT,4880
2013-04-11,369.0,369.0,354.0,369.0,7,RZLT,4880
2013-04-12,360.0,369.0,315.0,354.0,200,RZLT,4880
2013-04-15,345.0,366.0,345.0,345.0,6,RZLT,4880
2013-04-16,360.0,369.0,315.0,333.0,65,RZLT,4880
2013-04-17,360.0,363.0,330.0,330.0,82,RZLT,4880
2013-04-18,360.0,360.0,336.0,336.0,34,RZLT,4880
2013-04-19,375.0,375.0,318.0,360.0,301,RZLT,4880
2013-04-22,354.0,354.0,330.0,330.0,6,RZLT,4880
2013-04-23,354.0,354.0,354.0,354.0,0,RZLT,4880
2013-04-24,351.0,354.0,333.0,333.0,97,RZLT,4880
2013-04-25,345.0,354.0,318.0,354.0,201,RZLT,4880
2013-04-26,339.0,339.0,330.0,330.0,15,RZLT,4880
2013-04-29,339.0,339.0,324.0,339.0,186,RZLT,4880
2013-04-30,300.0,333.0,255.60000610351562,333.0,178,RZLT,4880
2013-05-01,345.0,345.0,300.0,300.0,82,RZLT,4880
2013-05-02,345.0,345.0,339.0,345.0,77,RZLT,4880
2013-05-03,327.0,357.0,315.0,354.0,139,RZLT,4880
