Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,SIFY,SIFY,SIFY,SIFY,SIFY,,
Date,,,,,,,
1999-10-19,201.57911682128906,267.23428691273006,170.34854942644145,258.36196663010287,1060433,SIFY,5049
1999-10-20,283.5592956542969,300.94903969317113,217.19435411818483,224.64710156341667,641817,SIFY,5049
1999-10-21,255.52281188964844,282.494664255778,238.4879577636719,268.653845278422,254717,SIFY,5049
1999-10-22,227.84115600585938,264.75000370774313,226.4215849404023,261.2010760441005,158333,SIFY,5049
1999-10-25,227.13136291503906,227.84114842414854,204.41822662353516,227.13136291503906,86383,SIFY,5049
1999-10-26,233.51943969726562,253.03854179962065,215.77480142239742,225.00201332532887,134133,SIFY,5049
1999-10-27,224.64712524414062,246.29558439089035,224.2922324712431,246.29558439089035,54800,SIFY,5049
1999-10-28,218.9688262939453,241.32706949737897,215.77479155059766,229.9705015210317,63850,SIFY,5049
1999-10-29,220.0335235595703,229.26073583787488,210.80631128126575,228.5509502780053,76783,SIFY,5049
1999-11-01,237.06837463378906,244.16623016174682,218.6139502610989,221.453092472282,105783,SIFY,5049
1999-11-02,232.80967712402344,254.8130307546476,229.97053472007192,249.13474594674457,73283,SIFY,5049
1999-11-03,227.13136291503906,241.327073097229,223.93732812404633,240.6172875881195,52533,SIFY,5049
1999-11-04,221.45309448242188,231.03519953214206,217.1943811269907,230.32541397290353,47817,SIFY,5049
1999-11-05,227.84115600585938,234.22922580041617,222.87265727675964,231.39008366950205,56133,SIFY,5049
1999-11-08,232.80967712402344,239.90753313390218,227.1313923161204,227.1313923161204,39250,SIFY,5049
1999-11-09,244.1662139892578,249.84449803551962,221.45307780421058,232.98709227317988,80083,SIFY,5049
1999-11-10,295.9805603027344,303.788200982183,236.3585769323994,239.5526117558102,251633,SIFY,5049
1999-11-11,330.05029296875,352.05364583333335,312.30565356182797,317.983938172043,168767,SIFY,5049
1999-11-12,323.6622009277344,340.69705360814146,285.33378239681844,337.14812596638996,123267,SIFY,5049
1999-11-15,337.85791015625,344.0685335047105,314.4349878134848,340.69705225840335,50250,SIFY,5049
1999-11-16,336.4383544921875,351.3438512101958,323.66221444818035,351.3438512101958,59917,SIFY,5049
1999-11-17,333.59918212890625,341.40682256171044,326.50132718999333,340.6970370678191,45650,SIFY,5049
1999-11-18,313.7252197265625,340.34217841377085,310.8860774665936,339.98728563127474,42933,SIFY,5049
1999-11-19,340.6970520019531,344.2459796269735,315.14477310180666,317.9839152018229,62983,SIFY,5049
1999-11-22,425.8713684082031,438.6475094604492,359.86130630493165,360.57109191894534,170533,SIFY,5049
1999-11-23,418.0636901855469,460.650823311409,399.6092658310066,459.9410377593113,121000,SIFY,5049
1999-11-24,451.4236145019531,474.1367523385294,407.41690994358663,414.5147655175167,82917,SIFY,5049
1999-11-26,599.0589599609375,604.0274584440258,485.4932803474896,511.04555826051535,106150,SIFY,5049
1999-11-29,782.1837158203125,861.6797014572226,572.7969679373795,602.6079625512208,201000,SIFY,5049
1999-11-30,666.8435668945312,757.341230310234,628.8700375397069,743.8553039973058,192467,SIFY,5049
1999-12-01,616.0938720703125,692.3958205122003,599.0590184646817,659.7456844347413,130950,SIFY,5049
1999-12-02,653.3576049804688,692.750703379617,630.2895743863729,630.9993599431143,81817,SIFY,5049
1999-12-03,693.46044921875,731.7888670875448,681.3940954452405,698.0740550733271,89500,SIFY,5049
1999-12-06,769.4075317382812,779.3445293806576,698.428977149879,732.8535761252541,87350,SIFY,5049
1999-12-07,891.4906616210938,905.6863727934042,802.7674667941537,806.3163945872313,123283,SIFY,5049
1999-12-08,860.2601318359375,965.3083987597978,842.515492152853,923.4310491077184,96433,SIFY,5049
1999-12-09,829.029541015625,919.8820934556935,766.5684112130779,901.4276687413046,70800,SIFY,5049
1999-12-10,937.6267700195312,953.9518386875474,880.8439224786058,944.0148403678854,84050,SIFY,5049
1999-12-13,925.5603637695312,965.3083548516584,897.1689415680119,965.3083548516584,36633,SIFY,5049
1999-12-14,775.4407348632812,909.2353147458703,766.5684152424199,908.5255291762013,93983,SIFY,5049
1999-12-15,690.6213989257812,766.568459239305,658.6810464574769,748.8238189791359,115533,SIFY,5049
1999-12-16,823.3512573242188,829.0295418574892,736.0476326251852,737.4672037585028,103267,SIFY,5049
1999-12-17,823.3512573242188,834.7078263907597,766.568411991514,811.9946882576778,44867,SIFY,5049
1999-12-20,930.5288696289062,942.5952241549867,865.9383836363583,885.812379326373,79083,SIFY,5049
1999-12-21,950.0479736328125,993.6997856450785,863.8090279500432,959.6300787086757,87317,SIFY,5049
1999-12-22,925.5603637695312,959.6300704113545,891.490657127708,956.7909281912025,27033,SIFY,5049
1999-12-23,909.2352905273438,959.6300646315135,891.4906517582699,956.7909224284616,18183,SIFY,5049
