Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,SNES,SNES,SNES,SNES,SNES,,
Date,,,,,,,
2016-12-08,391680.0,409200.0,384000.0,396000.0,8,SNES,5152
2016-12-09,384000.0,407040.0,384000.0,386400.0,1,SNES,5152
2016-12-12,384000.0,398400.0,384000.0,398400.0,0,SNES,5152
2016-12-13,384000.0,398400.0,357120.0,384000.0,1,SNES,5152
2016-12-14,384000.0,386400.0,384000.0,386400.0,4,SNES,5152
2016-12-15,384000.0,394560.0,384000.0,394560.0,1,SNES,5152
2016-12-16,384000.0,391200.0,384000.0,391200.0,0,SNES,5152
2016-12-19,388800.0,393600.0,384240.0,391200.0,0,SNES,5152
2016-12-20,390624.0,391200.0,385056.0,391200.0,0,SNES,5152
2016-12-21,385920.0,387840.0,384000.0,387840.0,0,SNES,5152
2016-12-22,384816.0,384960.0,384000.0,384000.0,1,SNES,5152
2016-12-23,393120.0,398400.0,385920.0,388800.0,1,SNES,5152
2016-12-27,396000.0,431040.0,389280.0,431040.0,1,SNES,5152
2016-12-28,384000.0,414720.0,384000.0,406560.0,2,SNES,5152
2016-12-29,391200.0,403200.0,386880.0,390240.0,2,SNES,5152
2016-12-30,391200.0,402240.0,387360.0,393600.0,0,SNES,5152
2017-01-03,384960.0,408384.0,384960.0,405600.0,2,SNES,5152
2017-01-04,395040.0,407040.0,391680.0,407040.0,0,SNES,5152
2017-01-05,395520.0,408000.0,392640.0,397920.0,1,SNES,5152
2017-01-06,391680.0,405120.0,384000.0,405120.0,1,SNES,5152
2017-01-09,375840.0,395520.0,366240.0,386400.0,2,SNES,5152
2017-01-10,378720.0,394080.0,354240.0,394080.0,1,SNES,5152
2017-01-11,388800.0,395040.0,369600.0,384480.0,0,SNES,5152
2017-01-12,387360.0,395040.0,384480.0,393600.0,1,SNES,5152
2017-01-13,450240.0,457920.0,386640.0,390720.0,1,SNES,5152
2017-01-17,468000.0,512880.0,451200.0,485760.0,1,SNES,5152
2017-01-18,473760.0,507600.0,448800.0,468000.0,1,SNES,5152
2017-01-19,451200.0,472800.0,403296.0,472800.0,0,SNES,5152
2017-01-20,423120.0,444000.0,413280.0,444000.0,0,SNES,5152
2017-01-23,360000.0,402720.0,339120.0,374400.0,5,SNES,5152
2017-01-24,354240.0,381120.0,347040.0,381120.0,3,SNES,5152
2017-01-25,346560.0,378720.0,346080.0,373440.0,1,SNES,5152
2017-01-26,342240.0,368400.0,338400.0,356160.0,1,SNES,5152
2017-01-27,359520.0,375936.0,350400.0,359040.0,1,SNES,5152
2017-01-30,362880.0,374016.0,351360.0,356640.0,1,SNES,5152
2017-01-31,371520.0,392352.0,359328.0,378720.0,0,SNES,5152
2017-02-01,390960.0,431520.0,384960.0,431520.0,0,SNES,5152
2017-02-02,398400.0,415200.0,395040.0,407520.0,1,SNES,5152
2017-02-03,408000.0,431520.0,406560.0,431520.0,0,SNES,5152
2017-02-06,406080.0,426720.0,405600.0,426720.0,1,SNES,5152
2017-02-07,412800.0,420960.0,408000.0,412800.0,0,SNES,5152
2017-02-08,411360.0,415200.0,408000.0,408480.0,0,SNES,5152
2017-02-09,405600.0,416160.0,405600.0,416160.0,0,SNES,5152
2017-02-10,407520.0,430080.0,407520.0,407520.0,0,SNES,5152
2017-02-13,400800.0,419040.0,400800.0,410400.0,0,SNES,5152
2017-02-14,391200.0,437280.0,384000.0,437280.0,0,SNES,5152
2017-02-15,391200.0,408000.0,391200.0,399840.0,0,SNES,5152
2017-02-16,384000.0,407520.0,384000.0,401760.0,0,SNES,5152
2017-02-17,386880.0,408000.0,386880.0,404640.0,0,SNES,5152
2017-02-21,388800.0,396000.0,388800.0,392160.0,0,SNES,5152
2017-02-22,392160.0,407040.0,389280.0,403200.0,0,SNES,5152
2017-02-23,387840.0,402960.0,387840.0,394320.0,0,SNES,5152
2017-02-24,389280.0,403200.0,389280.0,397920.0,0,SNES,5152
2017-02-27,389760.0,396000.0,389280.0,394080.0,0,SNES,5152
2017-02-28,389280.0,402144.0,389280.0,389712.0,0,SNES,5152
2017-03-01,402720.0,407520.0,393120.0,393120.0,0,SNES,5152
2017-03-02,396480.0,403200.0,396480.0,397440.0,0,SNES,5152
2017-03-03,408000.0,432000.0,408000.0,432000.0,0,SNES,5152
2017-03-06,425760.0,433920.0,396000.0,408480.0,0,SNES,5152
2017-03-07,410880.0,460800.0,403200.0,431520.0,0,SNES,5152
2017-03-08,408000.0,458352.0,408000.0,458352.0,1,SNES,5152
2017-03-09,399360.0,437616.0,398880.0,422400.0,0,SNES,5152
2017-03-10,405120.0,413280.0,404640.0,408000.0,0,SNES,5152
2017-03-13,417600.0,441600.0,408480.0,428160.0,1,SNES,5152
2017-03-14,440640.0,449280.0,417120.0,425280.0,0,SNES,5152
2017-03-15,432480.0,453120.0,432480.0,442080.0,1,SNES,5152
2017-03-16,425280.0,454080.0,412800.0,435504.0,0,SNES,5152
2017-03-17,398400.0,440160.0,396960.0,434400.0,1,SNES,5152
2017-03-20,407520.0,447648.0,395520.0,403200.0,1,SNES,5152
2017-03-21,396480.0,425760.0,396000.0,416160.0,1,SNES,5152
2017-03-22,385920.0,399360.0,359040.0,399360.0,1,SNES,5152
2017-03-23,406560.0,406560.0,384480.0,388800.0,0,SNES,5152
2017-03-24,397440.0,406560.0,377568.0,404160.0,1,SNES,5152
2017-03-27,400800.0,406080.0,391680.0,391680.0,0,SNES,5152
2017-03-28,393600.0,406080.0,380640.0,398400.0,0,SNES,5152
2017-03-29,393600.0,397920.0,385920.0,385920.0,0,SNES,5152
2017-03-30,384480.0,427536.0,384480.0,390240.0,0,SNES,5152
2017-03-31,379680.0,408000.0,378720.0,408000.0,2,SNES,5152
2017-04-03,384000.0,421104.0,376800.0,376800.0,1,SNES,5152
2017-04-04,383040.0,392640.0,383040.0,388800.0,0,SNES,5152
2017-04-05,383520.0,385968.0,375360.0,383520.0,0,SNES,5152
2017-04-06,380160.0,384000.0,374880.0,378240.0,0,SNES,5152
2017-04-07,383520.0,386880.0,378480.0,378480.0,0,SNES,5152
2017-04-10,376800.0,408000.0,376800.0,390720.0,0,SNES,5152
2017-04-11,381600.0,391200.0,380688.0,390240.0,0,SNES,5152
2017-04-12,387840.0,395232.0,380640.0,395232.0,0,SNES,5152
2017-04-13,384000.0,384000.0,379200.0,384000.0,0,SNES,5152
2017-04-17,386400.0,393600.0,385440.0,393600.0,0,SNES,5152
2017-04-18,384000.0,393600.0,378144.0,392640.0,0,SNES,5152
2017-04-19,369600.0,388800.0,369600.0,384000.0,0,SNES,5152
2017-04-20,366720.0,384000.0,363360.0,374400.0,0,SNES,5152
2017-04-21,366720.0,376320.0,360960.0,372000.0,0,SNES,5152
2017-04-24,361536.0,381600.0,359520.0,366240.0,0,SNES,5152
2017-04-25,367680.0,384000.0,367680.0,384000.0,0,SNES,5152
2017-04-26,353760.0,364176.0,353760.0,357936.0,0,SNES,5152
2017-04-27,349920.0,364272.0,349920.0,358080.0,1,SNES,5152
2017-04-28,343200.0,355200.0,336000.0,343200.0,1,SNES,5152
2017-05-01,339360.0,383520.0,335040.0,347040.0,0,SNES,5152
2017-05-02,327360.0,342720.0,327360.0,335040.0,1,SNES,5152
2017-05-03,312480.0,327360.0,311040.0,327360.0,1,SNES,5152
2017-05-04,315840.0,315840.0,307680.0,312480.0,1,SNES,5152
2017-05-05,355200.0,355200.0,312000.0,316320.0,0,SNES,5152
2017-05-08,325440.0,351792.0,321120.0,337920.0,1,SNES,5152
