Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,SYRE,SYRE,SYRE,SYRE,SYRE,,
Date,,,,,,,
2016-04-07,244.25,268.0,240.25,250.0,57132,SYRE,5374
2016-04-08,299.75,318.75,250.0,250.0,22416,SYRE,5374
2016-04-11,260.5,301.0,257.5,296.75,7304,SYRE,5374
2016-04-12,241.25,268.5,235.5,261.0,7728,SYRE,5374
2016-04-13,251.75,271.5,246.25,248.5,2836,SYRE,5374
2016-04-14,244.0,261.0,243.75,254.25,1584,SYRE,5374
2016-04-15,249.0,256.0,245.75,253.75,1392,SYRE,5374
2016-04-18,242.75,252.0,241.25,251.75,1292,SYRE,5374
2016-04-19,212.25,250.0,209.0,250.0,5216,SYRE,5374
2016-04-20,213.5,221.9499969482422,210.0,218.25,768,SYRE,5374
2016-04-21,214.75,220.0,212.5,220.0,492,SYRE,5374
2016-04-22,229.75,236.25,212.75,224.0,3660,SYRE,5374
2016-04-25,242.5,256.25,230.5,235.25,4884,SYRE,5374
2016-04-26,247.25,253.75,229.5,245.0,6308,SYRE,5374
2016-04-27,238.0,246.25,232.75,239.75,1856,SYRE,5374
2016-04-28,229.75,244.375,223.25,238.0,1436,SYRE,5374
2016-04-29,219.0,232.97500610351562,213.75,230.0,2948,SYRE,5374
2016-05-02,244.0,250.0,221.9499969482422,224.75,4552,SYRE,5374
2016-05-03,235.0,251.25,232.5,250.0,2116,SYRE,5374
2016-05-04,227.5,247.25,215.0,241.25,1332,SYRE,5374
2016-05-05,215.375,231.25,214.25,225.5,1496,SYRE,5374
2016-05-06,217.75,231.25,215.0,217.75,1164,SYRE,5374
2016-05-09,220.25,231.25,218.0,218.0,3216,SYRE,5374
2016-05-10,219.25,223.375,215.27499389648438,221.5,708,SYRE,5374
2016-05-11,203.625,222.5,202.0,215.5,3324,SYRE,5374
2016-05-12,186.5,216.5,182.5,202.5,3008,SYRE,5374
2016-05-13,179.25,186.0,167.0,179.75,2288,SYRE,5374
2016-05-16,180.75,212.5,178.75,183.5,21528,SYRE,5374
2016-05-17,182.0,188.0,170.25,175.5,3332,SYRE,5374
2016-05-18,185.25,200.0,175.0,175.0,672,SYRE,5374
2016-05-19,184.0,193.75,175.5,175.5,1272,SYRE,5374
2016-05-20,186.5,190.0,179.25,185.0,1520,SYRE,5374
2016-05-23,182.75,193.75,176.75,186.75,2600,SYRE,5374
2016-05-24,184.0,206.0,177.5,200.0,4204,SYRE,5374
2016-05-25,184.5,187.0,179.75,180.5,880,SYRE,5374
2016-05-26,186.25,187.25,177.75,181.75,1452,SYRE,5374
2016-05-27,181.0,185.0,171.25,182.75,2876,SYRE,5374
2016-05-31,187.5,190.0,171.25,181.25,1380,SYRE,5374
2016-06-01,184.5,192.5,182.5,187.5,1196,SYRE,5374
2016-06-02,192.0,192.0,182.0,182.0,2280,SYRE,5374
2016-06-03,190.0,192.0,183.625,192.0,488,SYRE,5374
2016-06-06,189.75,190.375,181.8249969482422,190.0,452,SYRE,5374
2016-06-07,183.75,187.25,177.8000030517578,182.75,716,SYRE,5374
2016-06-08,181.5,189.75,179.75,179.75,412,SYRE,5374
2016-06-09,181.25,190.0,171.75,181.25,5960,SYRE,5374
2016-06-10,157.0,179.5,146.25,179.5,3820,SYRE,5374
2016-06-13,154.25,162.75,151.0,155.25,1760,SYRE,5374
2016-06-14,147.25,163.5,132.75,154.0,1744,SYRE,5374
2016-06-15,134.0,156.75,125.25,147.25,9092,SYRE,5374
2016-06-16,130.0,146.25,126.25,134.0,4896,SYRE,5374
2016-06-17,111.5,137.25,109.75,135.0,8572,SYRE,5374
2016-06-20,111.75,121.5,107.25,115.25,4100,SYRE,5374
2016-06-21,109.0,116.9000015258789,107.625,114.0,2376,SYRE,5374
2016-06-22,111.375,117.57499694824219,102.5,110.25,1400,SYRE,5374
2016-06-23,120.0,128.25,112.25,114.5,4476,SYRE,5374
2016-06-24,134.0,135.5,118.375,124.75,2636,SYRE,5374
2016-06-27,136.25,149.25,134.0,134.0,3900,SYRE,5374
2016-06-28,136.25,149.5,130.25,133.75,2792,SYRE,5374
2016-06-29,130.75,145.75,125.5,145.75,1480,SYRE,5374
2016-06-30,121.5,128.75,118.0,125.0,1212,SYRE,5374
2016-07-01,121.25,145.125,116.25,145.125,1260,SYRE,5374
2016-07-05,114.5,123.25,110.75,123.25,1056,SYRE,5374
2016-07-06,114.0,117.25,106.25,114.75,348,SYRE,5374
2016-07-07,99.0,112.25,97.25,112.25,3588,SYRE,5374
2016-07-08,105.25,108.19999694824219,99.0,99.0,1380,SYRE,5374
2016-07-11,103.0,107.5,101.25,107.44999694824219,2176,SYRE,5374
2016-07-12,105.0,109.5,101.69999694824219,103.25,1556,SYRE,5374
2016-07-13,118.75,119.0,104.75,104.75,1824,SYRE,5374
2016-07-14,116.25,122.0,116.25,117.5,1420,SYRE,5374
2016-07-15,113.0,116.94999694824219,109.25,114.9749984741211,1268,SYRE,5374
2016-07-18,112.0,117.6500015258789,106.25,117.6500015258789,1464,SYRE,5374
2016-07-19,116.0,118.7249984741211,110.0,110.0,948,SYRE,5374
2016-07-20,114.25,118.25,113.75,118.25,732,SYRE,5374
2016-07-21,113.5,115.2750015258789,110.0,114.25,516,SYRE,5374
2016-07-22,116.25,116.5,110.0,110.0,348,SYRE,5374
2016-07-25,112.75,117.5,112.0,117.5,604,SYRE,5374
2016-07-26,117.5,118.25,112.5,114.6500015258789,900,SYRE,5374
2016-07-27,117.5,126.17500305175781,115.25,117.5,508,SYRE,5374
2016-07-28,120.25,123.375,118.0,119.0,244,SYRE,5374
