Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,TTEC,TTEC,TTEC,TTEC,TTEC,,
Date,,,,,,,
1996-08-01,13.98745346069336,14.919950358072917,12.84773503056279,13.469399628815829,3440500,TTEC,5631
1996-08-02,15.334391593933105,15.334391593933105,14.091062545776367,14.091062545776367,356400,TTEC,5631
1996-08-05,16.163278579711914,16.992164660722782,14.919949458195612,14.919949458195612,336100,TTEC,5631
1996-08-06,15.748831748962402,16.577717630486738,15.334388808200234,16.577717630486738,227300,TTEC,5631
1996-08-07,15.956053733825684,16.163275210888354,15.748832256763013,15.748832256763013,90600,TTEC,5631
1996-08-08,15.852446556091309,16.163278841504862,15.541614270677753,16.163278841504862,115600,TTEC,5631
1996-08-09,15.956053733825684,16.163275210888354,15.541610779700342,15.541610779700342,74500,TTEC,5631
1996-08-12,16.163278579711914,16.163278579711914,15.74883553920648,15.74883553920648,148000,TTEC,5631
1996-08-13,15.748831748962402,16.16327468972457,15.127167337819149,16.16327468972457,73600,TTEC,5631
1996-08-14,15.230778694152832,15.74883239123286,14.919946475904814,15.74883239123286,144200,TTEC,5631
1996-08-15,14.919949531555176,15.334392574098374,14.919949531555176,14.919949531555176,85500,TTEC,5631
1996-08-16,17.199384689331055,17.199384689331055,14.919948164238987,15.127169666520084,108300,TTEC,5631
1996-08-19,16.57771873474121,17.821047639846803,16.57771873474121,17.406604671478274,144800,TTEC,5631
1996-08-20,16.888553619384766,16.992164377785897,16.163278310576832,16.577721344181363,172900,TTEC,5631
1996-08-21,16.57771873474121,16.99216170310974,16.370497250556948,16.99216170310974,112800,TTEC,5631
1996-08-22,18.85715675354004,19.064378256326194,16.370498720106188,16.784941725678497,192500,TTEC,5631
1996-08-23,21.447425842285156,21.55103659514644,18.54632476216929,19.064378526475696,191100,TTEC,5631
1996-08-26,20.92937660217285,23.001592107338478,20.92937660217285,21.551041253722538,297300,TTEC,5631
1996-08-27,19.893266677856445,21.44742813706398,19.27160209417343,21.44742813706398,202200,TTEC,5631
1996-08-28,20.722150802612305,21.343815326690674,20.41131854057312,20.929372310638428,161500,TTEC,5631
1996-08-29,22.37992286682129,22.587144374847412,20.722150802612305,20.929372310638428,87900,TTEC,5631
1996-08-30,21.861867904663086,22.379921646479747,21.758257156299752,22.379921646479747,56700,TTEC,5631
1996-09-03,22.27631378173828,22.37992454351381,20.61854159332985,21.24020616398301,120200,TTEC,5631
1996-09-04,21.75826072692871,22.58714684985933,20.929374603998095,22.58714684985933,88500,TTEC,5631
1996-09-05,21.965476989746094,22.172698470781434,21.34381254664007,21.965476989746094,53500,TTEC,5631
1996-09-06,21.551040649414062,22.172705283531776,21.551040649414062,22.172705283531776,42400,TTEC,5631
1996-09-09,22.48353385925293,22.587144614364693,21.447426308135285,21.447426308135285,75600,TTEC,5631
1996-09-10,24.037694931030273,24.037694931030273,21.965479850769043,22.587144374847412,196200,TTEC,5631
1996-09-11,24.037694931030273,24.244916439056396,23.623251914978027,24.037694931030273,291200,TTEC,5631
1996-09-12,24.244916915893555,24.244916915893555,23.623252379588592,24.0376954037919,32400,TTEC,5631
1996-09-13,26.213518142700195,26.42073962999427,23.83047103881836,24.244914013406504,102800,TTEC,5631
1996-09-16,27.24962615966797,27.76767988893922,26.006297209416957,26.109907955271208,292000,TTEC,5631
1996-09-17,27.35324478149414,27.87129865993153,26.31713702461936,27.87129865993153,358200,TTEC,5631
1996-09-18,29.011009216308594,29.2182307107108,27.35323726109096,27.664069502694268,166500,TTEC,5631
1996-09-19,31.497663497924805,33.466267466545105,29.114616588542336,29.42544879411396,409200,TTEC,5631
1996-09-20,28.1821231842041,33.15543904024012,26.627961979192847,32.11933157023262,635000,TTEC,5631
1996-09-23,25.281021118164062,28.80378635594102,25.073799633588948,28.285732644503234,216600,TTEC,5631
