Price,Close,High,Low,Open,Volume,Symbol,StockID
Ticker,VIVK,VIVK,VIVK,VIVK,VIVK,,
Date,,,,,,,
2009-09-03,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-04,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-08,1500.0,1500.0,1500.0,1500.0,0,VIVK,5853
2009-09-09,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-10,1500.0,1500.0,1500.0,1500.0,0,VIVK,5853
2009-09-11,1500.0,1500.0,1500.0,1500.0,0,VIVK,5853
2009-09-14,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-15,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-16,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-17,1500.0,1500.0,1500.0,1500.0,33,VIVK,5853
2009-09-18,1650.0,1650.0,1500.0,1500.0,33,VIVK,5853
2009-09-21,1650.0,1650.0,1650.0,1650.0,33,VIVK,5853
2009-09-22,1650.0,1650.0,1650.0,1650.0,33,VIVK,5853
2009-09-23,1650.0,1650.0,1650.0,1650.0,33,VIVK,5853
2009-09-24,1800.0,1800.0,1650.0,1650.0,33,VIVK,5853
2009-09-25,1950.0,1950.0,1800.0,1950.0,33,VIVK,5853
2009-09-28,1650.0,1950.0,1650.0,1950.0,33,VIVK,5853
2009-09-29,1800.0,2037.0,1650.0,1650.0,33,VIVK,5853
2009-09-30,1650.0,1890.0,1200.0,1650.0,33,VIVK,5853
2009-10-01,1560.0,1770.0,1500.0,1770.0,33,VIVK,5853
2009-10-02,1620.0,1680.0,1620.0,1680.0,33,VIVK,5853
2009-10-05,1620.0,1620.0,1050.0,1050.0,0,VIVK,5853
2009-10-06,1470.0,1620.0,1470.0,1620.0,33,VIVK,5853
2009-10-07,1440.0,1440.0,1440.0,1440.0,33,VIVK,5853
2009-10-08,1440.0,1440.0,1440.0,1440.0,33,VIVK,5853
2009-10-09,1410.0,1410.0,1410.0,1410.0,33,VIVK,5853
2009-10-12,1470.0,1500.0,1050.0,1200.0,33,VIVK,5853
2009-10-13,1470.0,1470.0,1050.0,1050.0,33,VIVK,5853
2009-10-14,1470.0,1470.0,1470.0,1470.0,0,VIVK,5853
2009-10-15,1200.0,1200.0,1050.0,1200.0,33,VIVK,5853
2009-10-16,1200.0,1200.0,1200.0,1200.0,0,VIVK,5853
2009-10-19,1200.0,1200.0,1200.0,1200.0,33,VIVK,5853
2009-10-20,1050.0,1200.0,330.0,1200.0,33,VIVK,5853
2009-10-21,906.0,906.0,510.0,600.0,33,VIVK,5853
2009-10-22,900.0,900.0,900.0,900.0,33,VIVK,5853
2009-10-23,900.0,900.0,900.0,900.0,0,VIVK,5853
2009-10-26,900.0,900.0,900.0,900.0,0,VIVK,5853
2009-10-27,1260.0,1410.0,900.0,900.0,33,VIVK,5853
2009-10-28,1200.0,1320.0,1080.0,1080.0,33,VIVK,5853
2009-10-29,1500.0,1500.0,1260.0,1260.0,33,VIVK,5853
2009-10-30,1350.0,1500.0,1320.0,1500.0,33,VIVK,5853
2009-11-02,1410.0,1410.0,1350.0,1350.0,33,VIVK,5853
2009-11-03,1500.0,1836.0,1500.0,1836.0,33,VIVK,5853
2009-11-04,1350.0,1500.0,1350.0,1500.0,33,VIVK,5853
2009-11-05,1410.0,1410.0,1410.0,1410.0,33,VIVK,5853
2009-11-06,1350.0,1410.0,1200.0,1410.0,33,VIVK,5853
2009-11-09,1410.0,1440.0,1290.0,1350.0,33,VIVK,5853
2009-11-10,1470.0,1470.0,1380.0,1410.0,33,VIVK,5853
2009-11-11,1680.0,1680.0,1440.0,1440.0,133,VIVK,5853
2009-11-12,1740.0,1890.0,1200.0,1890.0,200,VIVK,5853
2009-11-13,1650.0,1770.0,1350.0,1620.0,133,VIVK,5853
2009-11-16,1530.0,1650.0,1440.0,1650.0,33,VIVK,5853
2009-11-17,1440.0,1800.0,1350.0,1792.5,100,VIVK,5853
2009-11-18,1407.0,1620.0,1350.0,1500.0,67,VIVK,5853
2009-11-19,1320.0,1500.0,1290.0,1500.0,100,VIVK,5853
2009-11-20,1242.0,1440.0,1050.0,1350.0,133,VIVK,5853
2009-11-23,1050.0,1290.0,960.0,1200.0,33,VIVK,5853
2009-11-24,1080.0,1170.0,870.0,990.5999755859375,67,VIVK,5853
2009-11-25,990.0,1230.0,900.0,900.0,33,VIVK,5853
2009-11-27,900.0,1170.0,900.0,990.0,33,VIVK,5853
2009-11-30,900.0,990.0,660.0,900.0,67,VIVK,5853
2009-12-01,900.0,960.0,690.0,690.0,33,VIVK,5853
2009-12-02,720.0,900.0,660.0,720.0,33,VIVK,5853
2009-12-03,720.0,720.0,660.0,720.0,33,VIVK,5853
2009-12-04,720.0,839.7000122070312,660.0,720.0,33,VIVK,5853
2009-12-07,660.0,870.0,660.0,870.0,33,VIVK,5853
2009-12-08,735.0,735.0,633.0,633.0,33,VIVK,5853
2009-12-09,663.0,810.0,663.0,735.0,33,VIVK,5853
2009-12-10,810.0,1077.0,630.0,630.0,533,VIVK,5853
2009-12-11,795.0,870.0,720.0,840.0,167,VIVK,5853
2009-12-14,885.0,960.0,825.0,855.0,1067,VIVK,5853
2009-12-15,750.0,855.0,660.0,840.0,333,VIVK,5853
2009-12-16,690.0,825.0,660.0,750.0,233,VIVK,5853
2009-12-17,615.0,690.0,570.0,675.0,200,VIVK,5853
2009-12-18,540.0,630.0,540.0,600.0,100,VIVK,5853
2009-12-21,600.0,600.0,510.0,540.0,133,VIVK,5853
2009-12-22,555.0,600.0,450.0,570.0,367,VIVK,5853
2009-12-23,510.0,555.0,480.0,555.0,67,VIVK,5853
2009-12-24,540.0,540.0,480.0,510.0,33,VIVK,5853
2009-12-28,483.0,540.0,483.0,540.0,67,VIVK,5853
2009-12-29,531.0,570.0,480.0,483.0,33,VIVK,5853
2009-12-30,510.0,570.0,510.0,570.0,33,VIVK,5853
2009-12-31,510.0,540.0,480.0,480.0,33,VIVK,5853
2010-01-04,570.0,570.0,510.0,540.0,33,VIVK,5853
2010-01-05,510.0,570.0,510.0,525.0,33,VIVK,5853
2010-01-06,495.29998779296875,510.0,495.0,510.0,33,VIVK,5853
2010-01-07,495.0,510.0,495.0,495.29998779296875,33,VIVK,5853
2010-01-08,480.0,510.0,450.0,480.0,67,VIVK,5853
2010-01-11,462.0,480.0,450.0,450.0,33,VIVK,5853
2010-01-12,495.0,510.0,450.0,465.0,67,VIVK,5853
2010-01-13,495.0,510.0,450.0,510.0,33,VIVK,5853
2010-01-14,495.0,495.0,420.0,420.0,33,VIVK,5853
2010-01-15,501.0,501.0,420.0,420.0,33,VIVK,5853
2010-01-19,480.0,510.0,480.0,510.0,33,VIVK,5853
2010-01-20,450.0,495.0,420.0,495.0,33,VIVK,5853
2010-01-21,429.0,450.0,426.0,450.0,33,VIVK,5853
2010-01-22,450.0,450.0,360.0,429.0,33,VIVK,5853
2010-01-25,420.0,450.0,360.0,360.0,33,VIVK,5853
2010-01-26,420.0,420.0,390.0,420.0,33,VIVK,5853
2010-01-27,447.0,447.0,390.0,390.0,33,VIVK,5853
2010-01-28,420.0,450.0,375.0,390.0,33,VIVK,5853
2010-01-29,360.0,420.0,360.0,360.29998779296875,33,VIVK,5853
2010-02-01,360.0,420.0,345.0,390.0,33,VIVK,5853
2010-02-02,315.0,330.0,270.0,330.0,100,VIVK,5853
2010-02-03,330.0,330.0,330.0,330.0,33,VIVK,5853
2010-02-04,312.0,312.0,270.0,285.0,33,VIVK,5853
2010-02-05,285.0,300.0,270.0,270.0,33,VIVK,5853
2010-02-08,270.0,270.0,255.0,270.0,33,VIVK,5853
2010-02-09,240.0,270.0,210.0,252.0,33,VIVK,5853
2010-02-10,210.0,240.0,207.0,240.0,33,VIVK,5853
2010-02-11,300.0,300.0,210.0,210.0,33,VIVK,5853
2010-02-12,270.0,300.0,270.0,300.0,33,VIVK,5853
2010-02-16,390.0,420.0,270.0,300.0,33,VIVK,5853
2010-02-17,417.0,417.0,213.0,390.0,67,VIVK,5853
2010-02-18,390.0,390.0,330.0,390.0,33,VIVK,5853
2010-02-19,420.0,420.0,330.0,390.0,67,VIVK,5853
2010-02-22,435.0,435.0,390.0,434.70001220703125,67,VIVK,5853
2010-02-23,390.0,420.0,300.0,420.0,33,VIVK,5853
2010-02-24,307.5,390.0,306.29998779296875,390.0,33,VIVK,5853
2010-02-25,330.0,390.0,306.29998779296875,306.29998779296875,33,VIVK,5853
2010-02-26,330.0,354.0,309.0,330.0,33,VIVK,5853
2010-03-01,300.0,330.0,270.0,330.0,67,VIVK,5853
2010-03-02,273.0,300.0,255.0,300.0,33,VIVK,5853
2010-03-03,300.0,375.0,255.3000030517578,270.0,33,VIVK,5853
2010-03-04,300.0,300.0,300.0,300.0,33,VIVK,5853
2010-03-05,375.0,375.0,300.0,300.0,67,VIVK,5853
2010-03-08,300.0,375.0,285.0,375.0,33,VIVK,5853
2010-03-09,300.0,306.0,273.0,273.0,33,VIVK,5853
2010-03-10,345.0,360.0,273.29998779296875,273.29998779296875,67,VIVK,5853
2010-03-11,285.29998779296875,345.0,285.29998779296875,345.0,33,VIVK,5853
2010-03-12,312.0,312.0,285.0,285.29998779296875,33,VIVK,5853
2010-03-15,312.0,312.0,285.0,312.0,33,VIVK,5853
2010-03-16,300.0,339.0,300.0,315.0,100,VIVK,5853
2010-03-17,315.0,360.0,300.0,300.0,33,VIVK,5853
2010-03-18,359.70001220703125,359.70001220703125,306.0,306.0,33,VIVK,5853
2010-03-19,345.0,372.0,300.0,354.0,133,VIVK,5853
2010-03-22,240.0,345.0,240.0,345.0,67,VIVK,5853
2010-03-23,300.0,300.0,255.0,255.0,33,VIVK,5853
2010-03-24,285.0,300.0,270.0,285.0,33,VIVK,5853
2010-03-25,285.0,300.0,270.0,270.0,33,VIVK,5853
2010-03-26,270.0,285.0,270.0,270.0,33,VIVK,5853
2010-03-29,255.0,297.0,255.0,285.0,33,VIVK,5853
2010-03-30,285.0,285.0,240.0,240.0,33,VIVK,5853
2010-03-31,285.0,285.0,255.0,285.0,33,VIVK,5853
2010-04-01,297.0,300.0,270.0,285.0,133,VIVK,5853
2010-04-05,282.0,297.0,256.5,297.0,33,VIVK,5853
2010-04-06,285.0,285.0,258.29998779296875,285.0,33,VIVK,5853
2010-04-07,270.0,285.0,258.0,285.0,67,VIVK,5853
2010-04-08,240.0,285.0,240.0,279.0,33,VIVK,5853
2010-04-09,270.0,270.0,240.0,240.0,33,VIVK,5853
2010-04-12,285.0,285.0,240.0,279.0,33,VIVK,5853
2010-04-13,240.0,270.0,240.0,270.0,33,VIVK,5853
2010-04-14,240.0,240.3000030517578,240.0,240.0,33,VIVK,5853
2010-04-15,238.5,270.0,238.5,240.0,33,VIVK,5853
2010-04-16,267.0,270.0,238.5,270.0,33,VIVK,5853
2010-04-19,238.5,255.0,238.5,255.0,33,VIVK,5853
2010-04-20,255.0,261.0,210.0,255.0,100,VIVK,5853
2010-04-21,267.0,267.0,225.0,267.0,33,VIVK,5853
2010-04-22,225.0,267.0,225.0,267.0,33,VIVK,5853
2010-04-23,240.0,240.0,225.0,225.0,33,VIVK,5853
2010-04-26,210.0,240.0,210.0,240.0,33,VIVK,5853
2010-04-27,225.0,225.0,210.0,210.3000030517578,67,VIVK,5853
2010-04-28,204.0,225.0,204.0,225.0,33,VIVK,5853
2010-04-29,249.0,249.0,204.0,204.0,33,VIVK,5853
2010-04-30,525.0,562.5,255.0,255.0,1900,VIVK,5853
2010-05-03,423.0,585.0,390.0,561.0,1733,VIVK,5853
2010-05-04,297.0,444.0,276.29998779296875,444.0,1067,VIVK,5853
2010-05-05,237.0,285.0,214.5,279.0,1200,VIVK,5853
2010-05-06,205.5,270.0,204.60000610351562,240.0,600,VIVK,5853
2010-05-07,171.0,234.0,154.5,234.0,1033,VIVK,5853
2010-05-10,210.0,223.5,150.0,168.0,467,VIVK,5853
2010-05-11,180.0,221.10000610351562,165.0,210.0,133,VIVK,5853
2010-05-12,195.0,210.0,166.8000030517578,186.0,433,VIVK,5853
2010-05-13,180.0,201.0,165.0,201.0,67,VIVK,5853
2010-05-14,165.0,180.0,159.0,180.0,100,VIVK,5853
2010-05-17,153.0,180.0,150.89999389648438,180.0,167,VIVK,5853
2010-05-18,147.0,153.0,135.0,150.0,133,VIVK,5853
2010-05-19,135.0,147.0,135.0,135.0,100,VIVK,5853
2010-05-20,150.0,180.0,135.0,135.0,167,VIVK,5853
2010-05-21,144.3000030517578,165.0,141.0,153.0,133,VIVK,5853
2010-05-24,120.0,153.0,120.0,153.0,100,VIVK,5853
2010-05-25,114.0,132.0,90.0,120.0,67,VIVK,5853
2010-05-26,105.0,120.0,75.0,75.0,200,VIVK,5853
2010-05-27,132.0,132.0,97.5,105.0,33,VIVK,5853
2010-05-28,108.0,132.0,108.0,132.0,33,VIVK,5853
2010-06-01,119.0999984741211,119.4000015258789,117.0,119.4000015258789,33,VIVK,5853
2010-06-02,114.0,119.0999984741211,105.0,119.0999984741211,33,VIVK,5853
2010-06-03,95.0999984741211,114.0,94.5,114.0,33,VIVK,5853
2010-06-04,110.69999694824219,114.0,90.0,102.0,167,VIVK,5853
2010-06-07,90.0,150.0,81.0,144.0,2367,VIVK,5853
2010-06-08,70.5,93.0,66.0,82.5,967,VIVK,5853
2010-06-09,57.0,75.0,57.0,70.5,1000,VIVK,5853
2010-06-10,49.5,66.0,46.79999923706055,60.0,300,VIVK,5853
2010-06-11,48.0,49.5,39.0,48.900001525878906,867,VIVK,5853
2010-06-14,47.400001525878906,53.400001525878906,42.0,53.400001525878906,533,VIVK,5853
2010-06-15,39.0,43.5,3.9000000953674316,42.0,700,VIVK,5853
2010-06-16,45.0,53.400001525878906,39.0,53.400001525878906,133,VIVK,5853
2010-06-17,39.0,47.099998474121094,39.0,47.099998474121094,200,VIVK,5853
2010-06-18,43.5,43.5,33.29999923706055,39.0,167,VIVK,5853
2010-06-21,42.0,45.0,39.0,45.0,100,VIVK,5853
2010-06-22,36.0,45.0,33.0,43.5,1600,VIVK,5853
2010-06-23,36.599998474121094,42.0,36.0,39.0,200,VIVK,5853
2010-06-24,37.79999923706055,39.0,34.5,36.599998474121094,100,VIVK,5853
2010-06-25,40.5,40.5,37.5,39.0,67,VIVK,5853
2010-06-28,35.70000076293945,40.79999923706055,35.70000076293945,40.5,367,VIVK,5853
2010-06-29,39.599998474121094,40.20000076293945,33.0,33.0,100,VIVK,5853
2010-06-30,45.0,60.0,39.0,45.0,633,VIVK,5853
2010-07-01,39.0,45.0,36.0,39.29999923706055,233,VIVK,5853
2010-07-02,45.0,51.0,39.0,39.0,67,VIVK,5853
2010-07-06,45.0,51.0,40.5,51.0,33,VIVK,5853
2010-07-07,40.5,42.0,40.5,42.0,67,VIVK,5853
2010-07-08,39.599998474121094,40.5,39.0,40.5,33,VIVK,5853
2010-07-09,42.0,45.0,40.5,40.5,33,VIVK,5853
2010-07-12,39.0,45.0,36.0,42.0,167,VIVK,5853
2010-07-13,42.0,45.0,42.0,42.0,100,VIVK,5853
2010-07-14,46.5,46.5,42.0,42.0,33,VIVK,5853
2010-07-15,51.0,51.0,43.5,45.0,67,VIVK,5853
2010-07-16,48.0,51.0,48.0,51.0,33,VIVK,5853
2010-07-19,50.70000076293945,50.70000076293945,39.0,48.0,67,VIVK,5853
2010-07-20,50.70000076293945,50.70000076293945,45.0,45.0,33,VIVK,5853
2010-07-21,45.0,45.0,45.0,45.0,33,VIVK,5853
2010-07-22,54.0,60.0,45.0,45.0,633,VIVK,5853
2010-07-23,55.5,55.5,48.29999923706055,53.70000076293945,133,VIVK,5853
2010-07-26,54.29999923706055,59.70000076293945,54.29999923706055,55.20000076293945,100,VIVK,5853
2010-07-27,59.400001525878906,60.0,51.0,54.599998474121094,33,VIVK,5853
2010-07-28,51.0,54.0,51.0,51.0,67,VIVK,5853
2010-07-29,45.0,51.0,45.0,48.0,33,VIVK,5853
2010-07-30,51.0,51.0,45.0,45.0,33,VIVK,5853
2010-08-02,51.0,51.0,45.900001525878906,51.0,33,VIVK,5853
2010-08-03,45.900001525878906,45.900001525878906,45.900001525878906,45.900001525878906,33,VIVK,5853
2010-08-04,49.5,49.79999923706055,49.5,49.79999923706055,33,VIVK,5853
2010-08-05,51.0,51.0,49.5,49.5,133,VIVK,5853
2010-08-06,51.0,51.0,51.0,51.0,33,VIVK,5853
2010-08-09,45.0,45.0,45.0,45.0,33,VIVK,5853
2010-08-10,51.0,51.0,45.0,45.0,33,VIVK,5853
2010-08-11,51.0,51.0,49.5,49.5,33,VIVK,5853
2010-08-12,45.0,45.0,45.0,45.0,33,VIVK,5853
2010-08-13,54.0,54.0,54.0,54.0,33,VIVK,5853
2010-08-16,51.0,51.0,45.0,48.0,133,VIVK,5853
2010-08-17,45.0,45.0,45.0,45.0,33,VIVK,5853
2010-08-18,45.0,45.0,45.0,45.0,33,VIVK,5853
2010-08-19,48.0,48.0,42.0,42.0,33,VIVK,5853
2010-08-20,38.400001525878906,45.0,33.0,43.5,600,VIVK,5853
2010-08-23,39.0,40.5,33.0,37.5,67,VIVK,5853
2010-08-24,34.5,36.0,33.0,36.0,67,VIVK,5853
2010-08-25,36.0,36.0,34.5,34.5,33,VIVK,5853
2010-08-26,30.0,33.29999923706055,24.0,30.0,567,VIVK,5853
2010-08-27,30.0,33.0,28.5,30.0,67,VIVK,5853
2010-08-30,21.0,30.0,21.0,27.0,33,VIVK,5853
2010-08-31,21.0,27.0,21.0,21.0,33,VIVK,5853
2010-09-01,21.0,24.0,21.0,21.0,33,VIVK,5853
2010-09-02,27.0,27.0,24.0,24.0,133,VIVK,5853
2010-09-03,27.0,30.0,27.0,30.0,233,VIVK,5853
2010-09-07,27.0,30.0,24.0,30.0,67,VIVK,5853
2010-09-08,28.5,30.0,27.0,27.0,100,VIVK,5853
2010-09-09,22.5,27.0,22.5,27.0,33,VIVK,5853
2010-09-10,35.70000076293945,35.70000076293945,24.0,33.0,100,VIVK,5853
2010-09-13,30.0,36.0,24.899999618530273,36.0,67,VIVK,5853
2010-09-14,30.0,33.0,30.0,33.0,33,VIVK,5853
2010-09-15,28.5,30.0,28.5,30.0,33,VIVK,5853
2010-09-16,30.0,30.0,28.5,28.5,133,VIVK,5853
2010-09-17,30.0,30.0,30.0,30.0,33,VIVK,5853
2010-09-20,27.0,36.0,27.0,36.0,33,VIVK,5853
2010-09-21,27.0,27.0,27.0,27.0,0,VIVK,5853
2010-09-22,27.0,27.0,27.0,27.0,0,VIVK,5853
2010-09-23,24.299999237060547,30.0,24.0,27.0,67,VIVK,5853
2010-09-24,21.299999237060547,27.0,18.299999237060547,27.0,533,VIVK,5853
2010-09-27,21.0,27.0,21.0,25.5,1067,VIVK,5853
2010-09-28,21.0,21.600000381469727,21.0,21.0,200,VIVK,5853
2010-09-29,21.0,21.0,18.299999237060547,18.299999237060547,100,VIVK,5853
2010-09-30,19.5,24.0,18.299999237060547,24.0,33,VIVK,5853
2010-10-01,21.0,21.0,21.0,21.0,33,VIVK,5853
2010-10-04,15.0,21.0,14.699999809265137,21.0,367,VIVK,5853
2010-10-05,16.5,16.5,12.899999618530273,12.899999618530273,600,VIVK,5853
2010-10-06,17.700000762939453,17.700000762939453,15.0,16.5,333,VIVK,5853
2010-10-07,15.0,17.700000762939453,13.800000190734863,17.700000762939453,367,VIVK,5853
2010-10-08,13.800000190734863,15.0,13.800000190734863,15.0,167,VIVK,5853
2010-10-11,12.300000190734863,13.800000190734863,12.0,13.800000190734863,133,VIVK,5853
2010-10-12,13.5,13.5,12.0,12.0,233,VIVK,5853
2010-10-13,12.899999618530273,13.800000190734863,12.0,13.5,133,VIVK,5853
2010-10-14,13.199999809265137,13.5,12.600000381469727,13.5,100,VIVK,5853
2010-10-15,14.399999618530273,15.0,12.600000381469727,12.899999618530273,633,VIVK,5853
2010-10-18,12.600000381469727,15.600000381469727,10.800000190734863,14.399999618530273,1200,VIVK,5853
2010-10-19,13.199999809265137,13.5,12.600000381469727,13.5,67,VIVK,5853
2010-10-20,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,67,VIVK,5853
2010-10-21,11.699999809265137,12.899999618530273,11.699999809265137,11.699999809265137,67,VIVK,5853
2010-10-22,12.0,12.0,10.800000190734863,10.800000190734863,67,VIVK,5853
2010-10-25,12.0,12.0,12.0,12.0,333,VIVK,5853
2010-10-26,12.300000190734863,12.300000190734863,12.0,12.0,600,VIVK,5853
2010-10-27,11.100000381469727,12.0,11.100000381469727,12.0,400,VIVK,5853
2010-10-28,12.0,12.300000190734863,10.800000190734863,12.0,800,VIVK,5853
2010-10-29,10.800000190734863,12.0,10.800000190734863,12.0,200,VIVK,5853
